index,energy_cm-1
1,0.0
2,82258.9119133
3,82258.9543992821
4,82259.158
5,82259.2850014
6,97492.2112
7,97492.221701
8,97492.304
9,97492.319433
10,97492.319611
11,102823.882
12,102823.893
13,102823.906
14,102823.922
15,105291.646
16,105291.654
17,105291.669
18,105291.681
19,106632.160
20,106632.165
21,106632.173
22,106632.181
23,107440.440
24,107440.447
25,107440.452
26,107440.458
27,107965.049
28,107965.054
29,107965.059
30,107965.065
31,108316.566
32,108316.570
33,108316.575
34,108316.579
35,108569.239
36,108569.243
37,108569.247
38,108569.252
39,108760.663
40,108760.667
41,108760.671
42,108760.675
43,108910.223
44,108910.226
45,108910.230
46,108910.233
47,109028.768
48,109028.771
49,109028.774
50,109028.778
51,109123.584
52,109123.587
53,109123.590
54,109123.593
55,109200.000
56,109203.000
57,109206.000
58,109209.000
59,109212.000
60,109215.000
61,109218.000
62,109221.000
63,109224.000
64,109227.000
65,109230.000
66,109233.000
67,109236.000
68,109239.000
69,109242.000
70,109245.000
71,109248.000
72,109251.000
73,109254.000
74,109257.000
75,109260.000
76,109263.000
77,109266.000
78,109269.000
79,109272.000
80,109275.000
81,109278.000
82,109281.000
83,109284.000
84,109287.000
85,109290.000
86,109293.000
87,109296.000
88,109299.000
89,109302.000
90,109305.000
91,109308.000
92,109311.000
93,109314.000
94,109317.000
95,109320.000
96,109323.000
97,109326.000
98,109329.000
99,109332.000
100,109335.000
101,109338.000
102,109341.000
103,109344.000
104,109347.000
105,109350.000
106,109353.000
