index,energy_cm-1
0,0.0
1,16956.17025
2,16973.36619
3,25739.999
4,29172.837
5,29172.887
6,30266.99
7,30272.58
8,33200.673
9,34548.729
10,34548.764
11,34586.92
12,34586.92
13,35040.38
14,35042.85
15,36372.618
16,37036.752
17,37036.772
18,37057.65
19,37057.65
20,37059.54
21,37296.32
22,37297.61
23,38012.042
24,38387.255
25,38387.268
26,38399.79
27,38399.79
28,38400.9
29,38400.904
30,38401.147
31,38401.153
32,38540.18
33,38540.93
34,38968.51
35,39200.93
36,39200.93
37,39208.98
38,39208.98
39,39209.725
40,39209.887
41,39298.35
42,39298.84
43,39574.85
44,39728.7
45,39728.7
46,39734.16
47,39734.16
48,39734.678
49,39734.79
50,39794.479
51,39794.81
52,39983.27
53,40090.31
54,40090.31
55,40094.19
56,40094.19
57,40094.581
58,40094.66
59,40136.81
60,40137.043
61,40271.396
62,40348.915
63,40348.918
64,40351.761
65,40351.761
66,40352.015
67,40352.073
68,40382.925
69,40383.097
70,40482.236
71,40540.093
72,40540.095
73,40542.293
74,40542.293
75,40542.484
76,40565.783
77,40565.913
78,40641.148
79,40685.509
80,40685.509
81,40687.203
82,40687.352
83,40705.344
84,40705.444
85,40763.884
86,40798.642
87,40798.644
88,40799.974
89,40800.091
90,40814.273
91,40814.352
92,40860.648
93,40888.386
94,40888.387
95,40889.452
96,40889.546
97,40900.922
98,40900.985
99,40938.281
100,40960.771
101,40960.771
102,40961.637
103,40961.714
104,40970.976
105,40971.028
106,41001.515
107,41020.0
108,41020.001
109,41020.714
110,41020.777
111,41028.419
112,41028.462
113,41053.701
114,41069.079
115,41069.08
116,41069.674
117,41069.727
118,41076.106
119,41076.141
120,41097.271
121,41110.202
122,41110.202
123,41110.703
124,41110.747
125,41110.748
126,41116.126
127,41116.156
128,41134.023
129,41144.999
130,41145.0
131,41145.425
132,41145.463
133,41150.04
134,41150.066
135,41174.705
136,41174.705
137,41175.07
138,41175.102
139,41449.451
140,248170.0
141,249489.0
142,263745.3
143,266586.7
144,266933.9
145,267282.3
146,267576.0
147,268513.9
148,268897.4
149,269086.5
150,269726.0
151,270196.0
152,270582.0
153,270877.0
154,273236.0
155,280596.0
156,280778.0
157,281019.0
158,282076.0
159,282332.0
160,286300.4
161,286849.5
162,287374.8
163,288452.0
164,288642.0
165,290234.0
166,290489.0
167,290786.0
168,291380.0
169,292090.0
170,292219.6
171,292289.2
172,292340.6
173,292399.4
174,292449.7
175,292913.9
176,293010.3
177,293133.1
178,293528.0
179,295054.0
180,295294.0
181,295526.0
182,295740.0
183,295749.0
184,296576.0
185,296618.0
186,296808.0
187,297048.0
188,297074.0
189,297121.0
190,297645.0
191,297724.0
192,297848.0
193,298350.0
194,298986.0
195,300040.0
196,300621.0
197,300777.0
198,301423.0
