Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
"=""2p6.3s""","=""2S""","=""1/2""","=""""","=""0.00000""","=""""","=""0""","=""                                                                                              ""","=""L13237"""
"=""2p6.3p""","=""2P*""","=""1/2""","=""""","=""16956.17025""","=""""","=""0.00004""","=""                                                                                              ""","="""""
"=""2p6.3p""","=""2P*""","=""3/2""","=""""","=""16973.36619""","=""""","=""0.00005""","=""                                                                                              ""","="""""
"=""2p6.4s""","=""2S""","=""1/2""","=""""","=""25739.999""","=""""","=""0.003""","=""                                                                                              ""","="""""
"=""2p6.3d""","=""2D""","=""5/2""","=""""","=""29172.837""","=""""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.3d""","=""2D""","=""3/2""","=""""","=""29172.887""","=""""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.4p""","=""2P*""","=""1/2""","=""""","=""30266.99""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.4p""","=""2P*""","=""3/2""","=""""","=""30272.58""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.5s""","=""2S""","=""1/2""","=""""","=""33200.673""","=""""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.4d""","=""2D""","=""5/2""","=""""","=""34548.729""","=""""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.4d""","=""2D""","=""3/2""","=""""","=""34548.764""","=""""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.4f""","=""2F*""","=""7/2""","=""""","=""34586.92""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.4f""","=""2F*""","=""5/2""","=""""","=""34586.92""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.5p""","=""2P*""","=""1/2""","=""""","=""35040.38""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.5p""","=""2P*""","=""3/2""","=""""","=""35042.85""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.6s""","=""2S""","=""1/2""","=""""","=""36372.618""","=""""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.5d""","=""2D""","=""5/2""","=""""","=""37036.752""","=""""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.5d""","=""2D""","=""3/2""","=""""","=""37036.772""","=""""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.5f""","=""2F*""","=""7/2""","=""""","=""37057.65""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.5f""","=""2F*""","=""5/2""","=""""","=""37057.65""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.5g""","=""2G""","=""7/2,9/2""","=""""","=""37059.54""","=""""","=""0.07""","=""                                                                                              ""","="""""
"=""2p6.6p""","=""2P*""","=""1/2""","=""""","=""37296.32""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.6p""","=""2P*""","=""3/2""","=""""","=""37297.61""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.7s""","=""2S""","=""1/2""","=""""","=""38012.042""","=""""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.6d""","=""2D""","=""5/2""","=""""","=""38387.255""","=""""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.6d""","=""2D""","=""3/2""","=""""","=""38387.268""","=""""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.6f""","=""2F*""","=""7/2""","=""""","=""38399.79""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.6f""","=""2F*""","=""5/2""","=""""","=""38399.79""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.6g""","=""2G""","=""7/2""","=""[""","=""38400.900""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.6g""","=""2G""","=""9/2""","=""[""","=""38400.904""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.6h""","=""2H*""","=""11/2""","=""[""","=""38401.147""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.6h""","=""2H*""","=""9/2""","=""[""","=""38401.153""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.7p""","=""2P*""","=""1/2""","=""""","=""38540.18""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.7p""","=""2P*""","=""3/2""","=""""","=""38540.93""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.8s""","=""2S""","=""1/2""","=""""","=""38968.51""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.7d""","=""2D""","=""5/2""","=""""","=""39200.93""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.7d""","=""2D""","=""3/2""","=""""","=""39200.93""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.7f""","=""2F*""","=""7/2""","=""""","=""39208.98""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.7f""","=""2F*""","=""5/2""","=""""","=""39208.98""","=""""","=""0.02""","=""                                                                                              ""","="""""
