Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""1s.6h""","=""1H*""","=""5""",11,"=""[""","=""195262.793144011""","=""]""","=""0.000000002""","=""L22715c200"""
"=""1s.7h""","=""1H*""","=""5""",11,"=""[""","=""196071.413606244""","=""]""","=""0.000000002""","=""L22715c200"""
"=""1s.8h""","=""1H*""","=""5""",11,"=""[""","=""196596.239598879""","=""]""","=""0.000000002""","=""L22715c200"""
"=""1s.9h""","=""1H*""","=""5""",11,"=""[""","=""196956.058475412""","=""]""","=""0.000000002""","=""L22715c200"""
"=""1s.10h""","=""1H*""","=""5""",11,"=""[""","=""197213.434667510""","=""]""","=""0.000000002""","=""L22715c200"""
"=""1s.11h""","=""1H*""","=""5""",11,"=""[""","=""197403.863828356""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.12h""","=""1H*""","=""5""",11,"=""[""","=""197548.700735045""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.13h""","=""1H*""","=""5""",11,"=""[""","=""197661.417840857""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.14h""","=""1H*""","=""5""",11,"=""[""","=""197750.855365750""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.15h""","=""1H*""","=""5""",11,"=""[""","=""197823.008961228""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.16h""","=""1H*""","=""5""",11,"=""[""","=""197882.061365218""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.17h""","=""1H*""","=""5""",11,"=""[""","=""197931.002532496""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.18h""","=""1H*""","=""5""",11,"=""[""","=""197972.015691148""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.19h""","=""1H*""","=""5""",11,"=""[""","=""198006.725113621""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.20h""","=""1H*""","=""5""",11,"=""[""","=""198036.359446217""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.21h""","=""1H*""","=""5""",11,"=""[""","=""198061.861953810""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.22h""","=""1H*""","=""5""",11,"=""[""","=""198083.966520025""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.23h""","=""1H*""","=""5""",11,"=""[""","=""198103.251041369""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.24h""","=""1H*""","=""5""",11,"=""[""","=""198120.175585740""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.25h""","=""1H*""","=""5""",11,"=""[""","=""198135.110088567""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.26h""","=""1H*""","=""5""",11,"=""[""","=""198148.354741008""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.27h""","=""1H*""","=""5""",11,"=""[""","=""198160.155193696""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.28h""","=""1H*""","=""5""",11,"=""[""","=""198170.714029727""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.29h""","=""1H*""","=""5""",11,"=""[""","=""198180.199517614""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.30h""","=""1H*""","=""5""",11,"=""[""","=""198188.752357006""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.31h""","=""1H*""","=""5""",11,"=""[""","=""198196.490926483""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.32h""","=""1H*""","=""5""",11,"=""[""","=""198203.515401864""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.33h""","=""1H*""","=""5""",11,"=""[""","=""198209.911014541""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.34h""","=""1H*""","=""5""",11,"=""[""","=""198215.750649116""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.35h""","=""1H*""","=""5""",11,"=""[""","=""198221.096929126""","=""]""","=""0.000000002""","=""L22715c201"""
