Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""4d10.5s""","=""2S""","=""1/2""",2,"=""""","=""0.000000""","=""""","=""0""","=""L3466"""
"=""4d10.5p""","=""2P*""","=""1/2""",2,"=""""","=""29552.05741""","=""""","=""0.00014""","=""L12037"""
"=""4d10.5p""","=""2P*""","=""3/2""",4,"=""""","=""30472.66516""","=""""","=""0.00022""","=""L12037"""
"=""4d9.5s2""","=""2D""","=""5/2""",6,"=""""","=""30242.298349""","=""""","=""0.000006""","=""L9025"""
"=""4d9.5s2""","=""2D""","=""3/2""",4,"=""""","=""34714.22643""","=""""","=""0.00010""","=""L12037"""
"=""4d10.6s""","=""2S""","=""1/2""",2,"=""""","=""42556.147""","=""""","=""0.001""","=""L17163"""
"=""4d10.6p""","=""2P*""","=""1/2""",2,"=""""","=""48297.406""","=""""","=""0.002""","=""L17163"""
"=""4d10.6p""","=""2P*""","=""3/2""",4,"=""""","=""48500.8105""","=""""","=""0.0004""","=""L9025"""
"=""4d10.5d""","=""2D""","=""3/2""",4,"=""""","=""48743.969""","=""""","=""0.002""","=""L11755"""
"=""4d10.5d""","=""2D""","=""5/2""",6,"=""""","=""48764.219""","=""""","=""0.002""","=""L11755"""
"=""4d10.7s""","=""2S""","=""1/2""",2,"=""""","=""51886.965""","=""""","=""0.001""","=""L17163"""
"=""4d10.7p""","=""2P*""","=""1/2""",2,"=""""","=""54041.037""","=""""","=""0.002""","=""L17163"""
"=""4d10.7p""","=""2P*""","=""3/2""",4,"=""""","=""54121.108""","=""""","=""0.001""","=""L17163"""
"=""4d10.6d""","=""2D""","=""3/2""",4,"=""""","=""54203.119""","=""""","=""0.002""","=""L15300"""
"=""4d10.6d""","=""2D""","=""5/2""",6,"=""""","=""54213.564""","=""""","=""0.003""","=""L15300"""
"=""4d10.4f""","=""2F*""","=""5/2""",6,"=""""","=""54204.729""","=""""","=""0.002""","=""L17163"""
"=""4d10.4f""","=""2F*""","=""7/2""",8,"=""""","=""54204.745""","=""""","=""0.003""","=""L17163"""
"=""4d10.8s""","=""2S""","=""1/2""",2,"=""""","=""55581.246""","=""""","=""0.003""","=""L15300"""
"=""4d9.5s.(3D).5p""","=""4P*""","=""5/2""",6,"=""""","=""56223.489""","=""""","=""0.004""","=""L11755"""
"=""4d9.5s.(3D).5p""","=""4P*""","=""3/2""",4,"=""""","=""58504.586""","=""""","=""0.005""","=""L11755"""
"=""4d9.5s.(3D).5p""","=""4P*""","=""1/2""",2,"=""""","=""60537.45""","=""""","=""0.10""","=""L2489"""
