Date,Value
2014-01,1.4
2014-02,1.5
2014-03,1.6
2014-04,2.9
2014-05,3.7
2014-06,3.6
2014-07,3.3
2014-08,3.2
2014-09,3.0
2014-10,2.9
2014-11,2.4
2014-12,2.4
2015-01,2.2
2015-02,2.0
2015-03,2.2
2015-04,2.3
2015-05,2.1
2015-06,2.0
2015-07,0.2
2015-08,0.2
2015-09,0.0
2015-10,0.3
2015-11,0.3
2015-12,0.2
2016-01,0.0
2016-02,-0.1
2016-03,-0.2
2016-04,-0.3
2016-05,-0.4
2016-06,-0.4
2016-07,-0.5
2016-08,-0.5
2016-09,-0.5
2016-10,-0.4
2016-11,-0.5
2016-12,0.3
2017-01,0.4
2017-02,0.3
2017-03,0.2
2017-04,0.4
2017-05,0.4
2017-06,0.4
2017-07,0.4
2017-08,0.7
2017-09,0.7
2017-10,0.2
2017-11,0.6
2017-12,1.0
2018-01,1.4
2018-02,1.5
2018-03,1.2
2018-04,0.6
2018-05,0.7
2018-06,0.7
2018-07,0.8
2018-08,0.9
2018-09,1.2
2018-10,1.4
2018-11,0.8
2018-12,0.3
2019-01,0.2
2019-02,0.2
2019-03,0.5
2019-04,0.9
2019-05,0.7
2019-06,0.6
2019-07,0.5
2019-08,0.3
2019-09,0.2
2019-10,0.4
2019-11,0.5
2019-12,0.6
2020-01,0.7
2020-02,0.4
2020-03,0.4
2020-04,0.2
2020-05,-0.1
2020-06,-0.4
2020-07,-0.5
2020-08,-0.4
2020-09,-0.2
2020-10,-0.4
2020-11,-0.9
2020-12,-1.2
2021-01,-0.6
2021-02,-0.4
2021-03,-0.2
2021-04,0.6
2021-05,0.8
2021-06,0.2
2021-07,-0.4
2021-08,-0.5
2021-09,0.2
2021-10,0.1
2021-11,0.6
2021-12,0.8
2022-01,0.9
2022-02,1.0
2022-03,1.2
2022-04,2.1
2022-05,2.4
2022-06,2.4
2022-07,2.6
2022-08,3.0
2022-09,3.0
2022-10,3.7
2022-11,3.8
2022-12,4.0
2023-01,4.3
2023-02,3.3
2023-03,3.2
2023-04,3.5
2023-05,3
