case_id,class,label,operation,rank,system_kind,case_file,source_ref
INT01,INT_FREE,TRACEABLE,multiplicative,2,free_prime_monoid,corpus/cases/INT01.json,parent Phase-1 integer control / route-traceability equivalence
INT02,INT_FREE,TRACEABLE,multiplicative,2,free_prime_monoid,corpus/cases/INT02.json,parent Phase-1 integer control / route-traceability equivalence
INT03,INT_FREE,TRACEABLE,multiplicative,2,free_prime_monoid,corpus/cases/INT03.json,parent Phase-1 integer control / route-traceability equivalence
INT04,INT_FREE,TRACEABLE,multiplicative,3,free_prime_monoid,corpus/cases/INT04.json,parent Phase-1 integer control / route-traceability equivalence
INT05,INT_FREE,TRACEABLE,multiplicative,3,free_prime_monoid,corpus/cases/INT05.json,parent Phase-1 integer control / route-traceability equivalence
INT06,INT_FREE,TRACEABLE,multiplicative,4,free_prime_monoid,corpus/cases/INT06.json,parent Phase-1 integer control / route-traceability equivalence
R1F01,R1_FREE,TRACEABLE,additive,1,rank1,corpus/cases/R1F01.json,02_NONREF/systems/RANK1_ROUTE_CLOSURE_THEOREM.md
R1F02,R1_FREE,TRACEABLE,additive,1,rank1,corpus/cases/R1F02.json,02_NONREF/systems/RANK1_ROUTE_CLOSURE_THEOREM.md
R1F03,R1_FREE,TRACEABLE,additive,1,rank1,corpus/cases/R1F03.json,02_NONREF/systems/RANK1_ROUTE_CLOSURE_THEOREM.md
R1F04,R1_FREE,TRACEABLE,additive,1,rank1,corpus/cases/R1F04.json,02_NONREF/systems/RANK1_ROUTE_CLOSURE_THEOREM.md
R1F05,R1_FREE,TRACEABLE,additive,1,rank1,corpus/cases/R1F05.json,02_NONREF/systems/RANK1_ROUTE_CLOSURE_THEOREM.md
R1F06,R1_FREE,TRACEABLE,additive,1,rank1,corpus/cases/R1F06.json,02_NONREF/systems/RANK1_ROUTE_CLOSURE_THEOREM.md
R1N01,R1_FAIL,NON_TRACEABLE,additive,1,rank1,corpus/cases/R1N01.json,02_NONREF/systems/RANK1_ROUTE_CLOSURE_THEOREM.md
R1N02,R1_FAIL,NON_TRACEABLE,additive,1,rank1,corpus/cases/R1N02.json,02_NONREF/systems/RANK1_ROUTE_CLOSURE_THEOREM.md
R1N03,R1_FAIL,NON_TRACEABLE,additive,1,rank1,corpus/cases/R1N03.json,02_NONREF/systems/RANK1_ROUTE_CLOSURE_THEOREM.md
R1N04,R1_FAIL,NON_TRACEABLE,additive,1,rank1,corpus/cases/R1N04.json,02_NONREF/systems/RANK1_ROUTE_CLOSURE_THEOREM.md
R1N05,R1_FAIL,NON_TRACEABLE,additive,1,rank1,corpus/cases/R1N05.json,02_NONREF/systems/RANK1_ROUTE_CLOSURE_THEOREM.md
R1N06,R1_FAIL,NON_TRACEABLE,additive,1,rank1,corpus/cases/R1N06.json,02_NONREF/systems/RANK1_ROUTE_CLOSURE_THEOREM.md
AFF01,AFF_FREE,TRACEABLE,additive,2,affine,corpus/cases/AFF01.json,02_NONREF/systems/AFFINE_ROUTE_CLOSURE_THEOREM.md
AFF02,AFF_FREE,TRACEABLE,additive,2,affine,corpus/cases/AFF02.json,02_NONREF/systems/AFFINE_ROUTE_CLOSURE_THEOREM.md
AFF03,AFF_FREE,TRACEABLE,additive,2,affine,corpus/cases/AFF03.json,02_NONREF/systems/AFFINE_ROUTE_CLOSURE_THEOREM.md
AFF04,AFF_FREE,TRACEABLE,additive,2,affine,corpus/cases/AFF04.json,02_NONREF/systems/AFFINE_ROUTE_CLOSURE_THEOREM.md
AFF05,AFF_FREE,TRACEABLE,additive,3,affine,corpus/cases/AFF05.json,02_NONREF/systems/AFFINE_ROUTE_CLOSURE_THEOREM.md
AFF06,AFF_FREE,TRACEABLE,additive,3,affine,corpus/cases/AFF06.json,02_NONREF/systems/AFFINE_ROUTE_CLOSURE_THEOREM.md
AFN01,AFF_FAIL,NON_TRACEABLE,additive,2,affine,corpus/cases/AFN01.json,02_NONREF/systems/AFFINE_ROUTE_CLOSURE_THEOREM.md
AFN02,AFF_FAIL,NON_TRACEABLE,additive,2,affine,corpus/cases/AFN02.json,02_NONREF/systems/AFFINE_ROUTE_CLOSURE_THEOREM.md
AFN03,AFF_FAIL,NON_TRACEABLE,additive,3,affine,corpus/cases/AFN03.json,02_NONREF/systems/AFFINE_ROUTE_CLOSURE_THEOREM.md
AFN04,AFF_FAIL,NON_TRACEABLE,additive,2,affine,corpus/cases/AFN04.json,02_NONREF/systems/AFFINE_ROUTE_CLOSURE_THEOREM.md
AFN05,AFF_FAIL,NON_TRACEABLE,additive,2,affine,corpus/cases/AFN05.json,02_NONREF/systems/AFFINE_ROUTE_CLOSURE_THEOREM.md
AFN06,AFF_FAIL,NON_TRACEABLE,additive,2,affine,corpus/cases/AFN06.json,02_NONREF/systems/AFFINE_ROUTE_CLOSURE_THEOREM.md
