case_id,class,label,N,method,enumeration_depth,elements_enumerated,H_128,ladder_file,record_file
INT01,INT_FREE,TRACEABLE,128,prime_exponent_log_spectrum,18,190,13.065564428360934,corpus/ladders/INT01_system.csv,corpus/ladders/INT01_system.json
INT02,INT_FREE,TRACEABLE,128,prime_exponent_log_spectrum,22,276,15.695525074947216,corpus/ladders/INT02_system.csv,corpus/ladders/INT02_system.json
INT03,INT_FREE,TRACEABLE,128,prime_exponent_log_spectrum,18,190,19.901041614111321,corpus/ladders/INT03_system.csv,corpus/ladders/INT03_system.json
INT04,INT_FREE,TRACEABLE,128,prime_exponent_log_spectrum,11,364,8.1241506033066297,corpus/ladders/INT04_system.csv,corpus/ladders/INT04_system.json
INT05,INT_FREE,TRACEABLE,128,prime_exponent_log_spectrum,12,455,8.5896998822029857,corpus/ladders/INT05_system.csv,corpus/ladders/INT05_system.json
INT06,INT_FREE,TRACEABLE,128,prime_exponent_log_spectrum,9,715,6.6644090203504076,corpus/ladders/INT06_system.csv,corpus/ladders/INT06_system.json
R1F01,R1_FREE,TRACEABLE,128,rank1_element_spectrum,127,128,127,corpus/ladders/R1F01_system.csv,corpus/ladders/R1F01_system.json
R1F02,R1_FREE,TRACEABLE,128,rank1_element_spectrum,127,128,254,corpus/ladders/R1F02_system.csv,corpus/ladders/R1F02_system.json
R1F03,R1_FREE,TRACEABLE,128,rank1_element_spectrum,127,128,381,corpus/ladders/R1F03_system.csv,corpus/ladders/R1F03_system.json
R1F04,R1_FREE,TRACEABLE,128,rank1_element_spectrum,127,128,635,corpus/ladders/R1F04_system.csv,corpus/ladders/R1F04_system.json
R1F05,R1_FREE,TRACEABLE,128,rank1_element_spectrum,127,128,889,corpus/ladders/R1F05_system.csv,corpus/ladders/R1F05_system.json
R1F06,R1_FREE,TRACEABLE,128,rank1_element_spectrum,127,128,1397,corpus/ladders/R1F06_system.csv,corpus/ladders/R1F06_system.json
R1N01,R1_FAIL,NON_TRACEABLE,128,rank1_element_spectrum,64,192,128,corpus/ladders/R1N01_system.csv,corpus/ladders/R1N01_system.json
R1N02,R1_FAIL,NON_TRACEABLE,128,rank1_element_spectrum,64,315,129,corpus/ladders/R1N02_system.csv,corpus/ladders/R1N02_system.json
R1N03,R1_FAIL,NON_TRACEABLE,128,rank1_element_spectrum,43,170,130,corpus/ladders/R1N03_system.csv,corpus/ladders/R1N03_system.json
R1N04,R1_FAIL,NON_TRACEABLE,128,rank1_element_spectrum,43,210,131,corpus/ladders/R1N04_system.csv,corpus/ladders/R1N04_system.json
R1N05,R1_FAIL,NON_TRACEABLE,128,rank1_element_spectrum,33,160,133,corpus/ladders/R1N05_system.csv,corpus/ladders/R1N05_system.json
R1N06,R1_FAIL,NON_TRACEABLE,128,rank1_element_spectrum,34,224,136,corpus/ladders/R1N06_system.csv,corpus/ladders/R1N06_system.json
AFF01,AFF_FREE,TRACEABLE,128,affine_sqrt_prime_projection,16,153,23.438064151966902,corpus/ladders/AFF01_system.csv,corpus/ladders/AFF01_system.json
AFF02,AFF_FREE,TRACEABLE,128,affine_sqrt_prime_projection,22,276,31.430535617403876,corpus/ladders/AFF02_system.csv,corpus/ladders/AFF02_system.json
AFF03,AFF_FREE,TRACEABLE,128,affine_sqrt_prime_projection,20,231,34.783880732967511,corpus/ladders/AFF03_system.csv,corpus/ladders/AFF03_system.json
AFF04,AFF_FREE,TRACEABLE,128,affine_sqrt_prime_projection,18,190,56.632758658955503,corpus/ladders/AFF04_system.csv,corpus/ladders/AFF04_system.json
AFF05,AFF_FREE,TRACEABLE,128,affine_sqrt_prime_projection,9,220,13.504749842314226,corpus/ladders/AFF05_system.csv,corpus/ladders/AFF05_system.json
AFF06,AFF_FREE,TRACEABLE,128,affine_sqrt_prime_projection,15,816,21.531040680792209,corpus/ladders/AFF06_system.csv,corpus/ladders/AFF06_system.json
AFN01,AFF_FAIL,NON_TRACEABLE,128,affine_sqrt_prime_projection,12,169,33.941125496954285,corpus/ladders/AFN01_system.csv,corpus/ladders/AFN01_system.json
AFN02,AFF_FAIL,NON_TRACEABLE,128,affine_sqrt_prime_projection,19,400,28.141406665871934,corpus/ladders/AFN02_system.csv,corpus/ladders/AFN02_system.json
AFN03,AFF_FAIL,NON_TRACEABLE,128,affine_sqrt_prime_projection,9,385,22.131184507117602,corpus/ladders/AFN03_system.csv,corpus/ladders/AFN03_system.json
AFN04,AFF_FAIL,NON_TRACEABLE,128,affine_sqrt_prime_projection,16,289,47.511802794325362,corpus/ladders/AFN04_system.csv,corpus/ladders/AFN04_system.json
AFN05,AFF_FAIL,NON_TRACEABLE,128,affine_sqrt_prime_projection,20,441,57.618378476558696,corpus/ladders/AFN05_system.csv,corpus/ladders/AFN05_system.json
AFN06,AFF_FAIL,NON_TRACEABLE,128,affine_sqrt_prime_projection,25,676,36.340958876930571,corpus/ladders/AFN06_system.csv,corpus/ladders/AFN06_system.json
