ladder,domain,kappa,epsilon,nu_V,vuln_count,inv,rho,Ak
i8192_s00_P_SCALE,unknown,0.010000,0.00250000,307,612,305.9405,0.996549,0.586500
i8192_s00_P_SCALE,unknown,0.011253,0.00281334,307,612,305.9919,0.996716,0.583800
i8192_s00_P_SCALE,unknown,0.012664,0.00316595,307,612,305.9380,0.996541,0.587700
i8192_s00_P_SCALE,unknown,0.014251,0.00356276,307,612,306.0218,0.996814,0.582400
i8192_s00_P_SCALE,unknown,0.016037,0.00400930,307,612,305.9738,0.996657,0.585300
i8192_s00_P_SCALE,unknown,0.018047,0.00451180,307,612,306.0902,0.997036,0.578400
i8192_s00_P_SCALE,unknown,0.020309,0.00507729,307,612,305.9141,0.996463,0.587500
i8192_s00_P_SCALE,unknown,0.022855,0.00571366,307,612,306.0522,0.996913,0.575900
i8192_s00_P_SCALE,unknown,0.025719,0.00642978,307,612,305.9794,0.996676,0.582400
i8192_s00_P_SCALE,unknown,0.028943,0.00723567,307,612,305.9189,0.996479,0.586600
i8192_s00_P_SCALE,unknown,0.032570,0.00814255,307,612,305.9678,0.996638,0.583000
i8192_s00_P_SCALE,unknown,0.036652,0.00916310,307,612,306.0196,0.996807,0.587400
i8192_s00_P_SCALE,unknown,0.041246,0.01031157,307,612,306.0388,0.996869,0.578700
i8192_s00_P_SCALE,unknown,0.046416,0.01160397,307,612,306.0731,0.996981,0.580500
i8192_s00_P_SCALE,unknown,0.052233,0.01305836,307,612,305.9857,0.996696,0.590000
i8192_s00_P_SCALE,unknown,0.058780,0.01469504,307,612,306.0670,0.996961,0.579600
i8192_s00_P_SCALE,unknown,0.066147,0.01653685,307,612,305.9416,0.996552,0.587600
i8192_s00_P_SCALE,unknown,0.074438,0.01860951,307,612,305.9452,0.996564,0.580500
i8192_s00_P_SCALE,unknown,0.083768,0.02094194,307,612,305.9706,0.996647,0.585500
i8192_s00_P_SCALE,unknown,0.094267,0.02356671,307,612,306.0309,0.996843,0.581100
i8192_s00_P_SCALE,unknown,0.106082,0.02652046,307,612,305.9843,0.996692,0.583100
i8192_s00_P_SCALE,unknown,0.119378,0.02984442,307,612,305.8726,0.996328,0.588600
i8192_s00_P_SCALE,unknown,0.134340,0.03358498,307,612,306.0446,0.996888,0.576900
i8192_s00_P_SCALE,unknown,0.151178,0.03779438,307,612,306.0644,0.996952,0.580800
i8192_s00_P_SCALE,unknown,0.170125,0.04253136,307,612,305.9163,0.996470,0.592100
i8192_s00_P_SCALE,unknown,0.191448,0.04786205,307,612,305.9502,0.996580,0.589000
i8192_s00_P_SCALE,unknown,0.215443,0.05386087,307,612,306.0488,0.996902,0.580000
i8192_s00_P_SCALE,unknown,0.242446,0.06061155,307,612,305.9622,0.996620,0.581400
i8192_s00_P_SCALE,unknown,0.272833,0.06820833,307,612,305.9445,0.996562,0.587100
i8192_s00_P_SCALE,unknown,0.307029,0.07675727,307,612,305.9499,0.996579,0.586800
i8192_s00_P_SCALE,unknown,0.345511,0.08637768,307,612,306.0173,0.996799,0.579700
i8192_s00_P_SCALE,unknown,0.388816,0.09720388,307,612,306.0474,0.996897,0.576000
i8192_s00_P_SCALE,unknown,0.437548,0.10938698,307,612,305.9774,0.996669,0.580300
i8192_s00_P_SCALE,unknown,0.492388,0.12309707,307,612,306.0155,0.996793,0.582400
i8192_s00_P_SCALE,unknown,0.554102,0.13852551,308,615,305.9548,0.993360,0.637700
i8192_s00_P_SCALE,unknown,0.623551,0.15588768,308,615,305.9936,0.993486,0.638900
i8192_s00_P_SCALE,unknown,0.701704,0.17542596,308,615,306.1582,0.994020,0.632800
i8192_s00_P_SCALE,unknown,0.789652,0.19741307,308,615,306.2244,0.994235,0.624200
i8192_s00_P_SCALE,unknown,0.888624,0.22215595,308,615,306.2748,0.994399,0.623600
i8192_s00_P_SCALE,unknown,1.000000,0.25000000,308,615,306.2792,0.994413,0.621800
i8192_s01_P_SCALE,unknown,0.010000,0.00250000,308,615,307.5479,0.998532,0.552500
i8192_s01_P_SCALE,unknown,0.011253,0.00281334,308,615,307.4725,0.998287,0.555600
i8192_s01_P_SCALE,unknown,0.012664,0.00316595,308,615,307.4906,0.998346,0.553000
i8192_s01_P_SCALE,unknown,0.014251,0.00356276,308,615,307.4895,0.998343,0.553700
i8192_s01_P_SCALE,unknown,0.016037,0.00400930,308,615,307.4678,0.998272,0.559100
i8192_s01_P_SCALE,unknown,0.018047,0.00451180,308,615,307.4611,0.998250,0.552400
i8192_s01_P_SCALE,unknown,0.020309,0.00507729,308,615,307.5444,0.998521,0.547800
i8192_s01_P_SCALE,unknown,0.022855,0.00571366,308,615,307.5652,0.998588,0.551000
i8192_s01_P_SCALE,unknown,0.025719,0.00642978,308,615,307.5185,0.998437,0.554100
i8192_s01_P_SCALE,unknown,0.028943,0.00723567,308,615,307.4255,0.998135,0.559200
i8192_s01_P_SCALE,unknown,0.032570,0.00814255,308,615,307.5419,0.998513,0.546500
i8192_s01_P_SCALE,unknown,0.036652,0.00916310,308,615,307.4423,0.998189,0.559200
i8192_s01_P_SCALE,unknown,0.041246,0.01031157,308,615,307.5017,0.998382,0.558000
i8192_s01_P_SCALE,unknown,0.046416,0.01160397,308,615,307.4888,0.998340,0.552300
i8192_s01_P_SCALE,unknown,0.052233,0.01305836,308,615,307.5381,0.998500,0.559700
i8192_s01_P_SCALE,unknown,0.058780,0.01469504,308,615,307.4067,0.998074,0.560800
i8192_s01_P_SCALE,unknown,0.066147,0.01653685,308,615,307.4507,0.998217,0.562400
i8192_s01_P_SCALE,unknown,0.074438,0.01860951,308,615,307.4990,0.998373,0.557500
i8192_s01_P_SCALE,unknown,0.083768,0.02094194,308,615,307.4334,0.998160,0.558700
i8192_s01_P_SCALE,unknown,0.094267,0.02356671,308,615,307.3882,0.998014,0.561800
i8192_s01_P_SCALE,unknown,0.106082,0.02652046,308,615,307.5628,0.998581,0.551500
i8192_s01_P_SCALE,unknown,0.119378,0.02984442,308,615,307.5756,0.998622,0.559100
i8192_s01_P_SCALE,unknown,0.134340,0.03358498,308,615,307.4503,0.998215,0.558600
i8192_s01_P_SCALE,unknown,0.151178,0.03779438,308,615,307.5167,0.998431,0.552900
i8192_s01_P_SCALE,unknown,0.170125,0.04253136,308,615,307.4479,0.998207,0.552900
i8192_s01_P_SCALE,unknown,0.191448,0.04786205,308,615,307.4599,0.998246,0.555200
i8192_s01_P_SCALE,unknown,0.215443,0.05386087,308,615,307.4077,0.998077,0.562000
i8192_s01_P_SCALE,unknown,0.242446,0.06061155,308,615,307.4563,0.998235,0.555800
i8192_s01_P_SCALE,unknown,0.272833,0.06820833,308,615,307.5406,0.998508,0.553600
i8192_s01_P_SCALE,unknown,0.307029,0.07675727,308,615,307.6950,0.999010,0.542100
i8192_s01_P_SCALE,unknown,0.345511,0.08637768,308,615,307.3788,0.997983,0.561000
i8192_s01_P_SCALE,unknown,0.388816,0.09720388,308,615,307.4311,0.998153,0.564700
i8192_s01_P_SCALE,unknown,0.437548,0.10938698,308,615,307.4840,0.998325,0.555600
i8192_s01_P_SCALE,unknown,0.492388,0.12309707,308,615,307.5352,0.998491,0.549800
i8192_s01_P_SCALE,unknown,0.554102,0.13852551,309,617,307.6430,0.995608,0.602400
