section,metric,value
scale,edges,437
scale,layers,5
scale,source_nodes,419
scale,persistence_mean_sources,0.4307875894988067
scale,persistence_p90_sources,0.75
scale,branch_fraction_all,0.023289665211062592
scale,merge_fraction_all,0.046579330422125184
scale,entropy_mean_sources,0.027177114776942863
scale,conservation_mean,1.2198507615717233
time,edges,0
time,layers,1
time,source_nodes,0
time,persistence_mean_sources,
time,persistence_p90_sources,
time,branch_fraction_all,0.0
time,merge_fraction_all,0.0
time,entropy_mean_sources,
time,conservation_mean,
stitch,eligible_sources,0
stitch,cells,0
stitch,mean_defect,
stitch,p90_defect,
stitch,max_defect,
null_quality,swap_attempts_total,218500
null_quality,swap_accepted_total,215979
null_quality,mean_mobility_fraction,0.9884622425629291
null_quality,median_mobility_fraction,0.988558352402746
null_quality,zero_mobility_null_fraction,0.0
null_quality,unique_graphs,100
null_quality,unique_graph_fraction,1.0
null_quality,real_graph_match_fraction,0.0
null_quality,flags,
verdict,class,UNDERRESOLVED
