section,metric,value
scale,edges,5158
scale,layers,4
scale,source_nodes,4824
scale,persistence_mean_sources,0.4623410724156992
scale,persistence_p90_sources,0.6666666666666666
scale,branch_fraction_all,0.025841518069991416
scale,merge_fraction_all,0.03327929817869744
scale,entropy_mean_sources,0.04371767476203284
scale,conservation_mean,0.7407823523784963
time,edges,8930
time,layers,10
time,source_nodes,8782
time,persistence_mean_sources,0.500708519952428
time,persistence_p90_sources,0.8888888888888888
time,branch_fraction_all,0.013635930199294365
time,merge_fraction_all,0.011061314007819205
time,entropy_mean_sources,0.012820375098706966
time,conservation_mean,1.0421316026875225
stitch,eligible_sources,3957
stitch,cells,27
stitch,mean_defect,0.014189542445777914
stitch,p90_defect,0.0
stitch,max_defect,0.9156276794201046
null_quality,swap_attempts_total,7044000
null_quality,swap_accepted_total,7036032
null_quality,mean_mobility_fraction,0.9988688245315164
null_quality,median_mobility_fraction,0.9988784781374219
null_quality,zero_mobility_null_fraction,0.0
null_quality,unique_graphs,100
null_quality,unique_graph_fraction,1.0
null_quality,real_graph_match_fraction,0.0
null_quality,flags,
verdict,class,CONSTRAINED_ROUTING
