ladder,domain,kappa,epsilon,nu_V,vuln_count,inv,rho,Ak
P_TIME,unknown,0.010000,0.00111111,998,1991,995.4821,0.997477,0.588000
P_TIME,unknown,0.011253,0.00125037,998,1991,995.5204,0.997515,0.586400
P_TIME,unknown,0.012664,0.00140709,998,1991,995.5966,0.997592,0.589900
P_TIME,unknown,0.014251,0.00158345,998,1991,995.4927,0.997488,0.590400
P_TIME,unknown,0.016037,0.00178191,998,1991,995.3512,0.997346,0.598700
P_TIME,unknown,0.018047,0.00200525,998,1991,995.6652,0.997661,0.582600
P_TIME,unknown,0.020309,0.00225658,998,1991,995.2849,0.997279,0.596300
P_TIME,unknown,0.022855,0.00253940,998,1991,995.2611,0.997256,0.597500
P_TIME,unknown,0.025719,0.00285768,998,1991,995.4162,0.997411,0.600100
P_TIME,unknown,0.028943,0.00321585,998,1991,995.4869,0.997482,0.588800
P_TIME,unknown,0.032570,0.00361891,998,1991,995.6022,0.997597,0.585000
P_TIME,unknown,0.036652,0.00407249,998,1991,995.3944,0.997389,0.593800
P_TIME,unknown,0.041246,0.00458292,998,1991,995.7346,0.997730,0.581300
P_TIME,unknown,0.046416,0.00515732,998,1991,995.4247,0.997420,0.597600
P_TIME,unknown,0.052233,0.00580372,998,1991,995.4537,0.997449,0.588600
P_TIME,unknown,0.058780,0.00653113,998,1991,995.6692,0.997665,0.589300
P_TIME,unknown,0.066147,0.00734971,998,1991,995.5201,0.997515,0.591400
P_TIME,unknown,0.074438,0.00827089,998,1991,995.6421,0.997637,0.588600
P_TIME,unknown,0.083768,0.00930753,998,1991,995.7218,0.997717,0.584500
P_TIME,unknown,0.094267,0.01047409,998,1991,995.2444,0.997239,0.600800
P_TIME,unknown,0.106082,0.01178687,998,1991,995.6136,0.997609,0.588500
P_TIME,unknown,0.119378,0.01326418,998,1991,995.5245,0.997520,0.591400
P_TIME,unknown,0.134340,0.01492666,998,1991,995.4573,0.997452,0.588400
P_TIME,unknown,0.151178,0.01679750,998,1991,995.5358,0.997531,0.591000
P_TIME,unknown,0.170125,0.01890283,998,1991,995.4935,0.997488,0.593600
P_TIME,unknown,0.191448,0.02127202,998,1991,995.2263,0.997221,0.601000
P_TIME,unknown,0.215443,0.02393816,998,1991,995.5205,0.997516,0.594000
P_TIME,unknown,0.242446,0.02693847,998,1991,995.6682,0.997664,0.584000
P_TIME,unknown,0.272833,0.03031482,998,1991,995.3593,0.997354,0.596400
P_TIME,unknown,0.307029,0.03411434,998,1991,995.4189,0.997414,0.595400
P_TIME,unknown,0.345511,0.03839008,998,1991,995.5574,0.997553,0.585100
P_TIME,unknown,0.388816,0.04320172,998,1991,995.5684,0.997564,0.589900
P_TIME,unknown,0.437548,0.04861644,998,1991,995.5761,0.997571,0.588500
P_TIME,unknown,0.492388,0.05470981,998,1991,995.5440,0.997539,0.591800
P_TIME,unknown,0.554102,0.06156689,1000,1999,995.6472,0.995647,0.650300
P_TIME,unknown,0.623551,0.06928341,1000,1999,995.4716,0.995472,0.653500
P_TIME,unknown,0.701704,0.07796709,1000,1999,995.7427,0.995743,0.642600
P_TIME,unknown,0.789652,0.08773914,1000,1999,995.9896,0.995990,0.635700
P_TIME,unknown,0.888624,0.09873598,1000,1999,996.5814,0.996581,0.620400
P_TIME,unknown,1.000000,0.11111111,1000,1999,996.2495,0.996250,0.634000
P_SCALE,unknown,0.010000,0.00250000,999,1997,998.3620,0.999361,0.535100
P_SCALE,unknown,0.011253,0.00281334,999,1997,998.4726,0.999472,0.533400
P_SCALE,unknown,0.012664,0.00316595,999,1997,998.3445,0.999344,0.530300
P_SCALE,unknown,0.014251,0.00356276,999,1997,998.3988,0.999398,0.534300
