ladder,domain,kappa,epsilon,nu_V,vuln_count,inv,rho,Ak
P_TIME,unknown,0.010000,0.00111111,998,1991,995.4781,0.997473,0.590000
P_TIME,unknown,0.011253,0.00125037,998,1991,995.6702,0.997666,0.582600
P_TIME,unknown,0.012664,0.00140709,998,1991,995.3395,0.997334,0.598600
P_TIME,unknown,0.014251,0.00158345,998,1991,995.7856,0.997781,0.584300
P_TIME,unknown,0.016037,0.00178191,998,1991,995.3431,0.997338,0.596000
P_TIME,unknown,0.018047,0.00200525,998,1991,995.3373,0.997332,0.593300
P_TIME,unknown,0.020309,0.00225658,998,1991,995.3919,0.997387,0.595200
P_TIME,unknown,0.022855,0.00253940,998,1991,995.5481,0.997543,0.591200
P_TIME,unknown,0.025719,0.00285768,998,1991,995.5256,0.997521,0.591900
P_TIME,unknown,0.028943,0.00321585,998,1991,995.5563,0.997551,0.588800
P_TIME,unknown,0.032570,0.00361891,998,1991,995.4478,0.997443,0.595200
P_TIME,unknown,0.036652,0.00407249,998,1991,995.4733,0.997468,0.587100
P_TIME,unknown,0.041246,0.00458292,998,1991,995.5153,0.997510,0.591200
P_TIME,unknown,0.046416,0.00515732,998,1991,995.5756,0.997571,0.593000
P_TIME,unknown,0.052233,0.00580372,998,1991,995.5522,0.997547,0.587700
P_TIME,unknown,0.058780,0.00653113,998,1991,995.3871,0.997382,0.594000
P_TIME,unknown,0.066147,0.00734971,998,1991,995.6219,0.997617,0.586500
P_TIME,unknown,0.074438,0.00827089,998,1991,995.7358,0.997731,0.585500
P_TIME,unknown,0.083768,0.00930753,998,1991,995.8344,0.997830,0.579900
P_TIME,unknown,0.094267,0.01047409,998,1991,995.5431,0.997538,0.595200
P_TIME,unknown,0.106082,0.01178687,998,1991,995.3979,0.997393,0.595600
P_TIME,unknown,0.119378,0.01326418,998,1991,995.4573,0.997452,0.598400
P_TIME,unknown,0.134340,0.01492666,998,1991,995.3966,0.997391,0.593100
P_TIME,unknown,0.151178,0.01679750,998,1991,995.3853,0.997380,0.595000
P_TIME,unknown,0.170125,0.01890283,998,1991,995.8232,0.997819,0.578400
P_TIME,unknown,0.191448,0.02127202,998,1991,995.5475,0.997543,0.590000
P_TIME,unknown,0.215443,0.02393816,998,1991,995.5831,0.997578,0.594600
P_TIME,unknown,0.242446,0.02693847,998,1991,995.3863,0.997381,0.595400
P_TIME,unknown,0.272833,0.03031482,998,1991,995.4527,0.997448,0.593700
P_TIME,unknown,0.307029,0.03411434,998,1991,995.3634,0.997358,0.594500
P_TIME,unknown,0.345511,0.03839008,998,1991,995.3139,0.997309,0.598000
P_TIME,unknown,0.388816,0.04320172,998,1991,995.5874,0.997583,0.583100
P_TIME,unknown,0.437548,0.04861644,998,1991,995.2217,0.997216,0.601000
P_TIME,unknown,0.492388,0.05470981,998,1991,995.6386,0.997634,0.588000
P_TIME,unknown,0.554102,0.06156689,1000,1999,995.5966,0.995597,0.652900
P_TIME,unknown,0.623551,0.06928341,1000,1999,995.4854,0.995485,0.652100
P_TIME,unknown,0.701704,0.07796709,1000,1999,995.8199,0.995820,0.645800
P_TIME,unknown,0.789652,0.08773914,1000,1999,996.2988,0.996299,0.624100
P_TIME,unknown,0.888624,0.09873598,1000,1999,996.2659,0.996266,0.627000
P_TIME,unknown,1.000000,0.11111111,1000,1999,996.5372,0.996537,0.621500
