time_idx,time_value,source_dataset,scale_idx,block_factor,grid_nz,grid_ny,grid_nx,spacing,boundary_margin_cells,min_object_voxels,kinetic_energy_local,divergence_mean,divergence_rms,q_mean,q_rms,q_positive_fraction,enstrophy_mean,strain_sq_mean,helicity_mean,q_threshold,raw_component_count,kept_component_count,discarded_small_or_boundary,touching_component_count,object_count,global_ref_time,global_ref_energy,global_ref_Re_lambda,local_to_global_energy_ratio
0,1.0,Velocity_0501,0,1,256,256,256,0.0061359405517578125,16,64,0.5427243293302833,-9.785016096147827e-06,0.6523262113389542,-0.24452723317048414,248.74999773084326,0.36891045306236336,242.6351539913871,243.12420900486313,-0.2168457030225044,373.1249965962649,2512,428,2084,600,428,1.0,0.6912138,433.4196,0.7851757724314579
0,1.0,Velocity_0501,1,2,128,128,128,0.012271881103515625,8,8,0.5402878169792249,-0.00010505037092882065,1.158515042774893,-0.23862787255104104,163.33565569546667,0.37537510819059766,171.72445569790833,172.20174028422392,-0.21215488154114376,245.0034835432,1501,389,1112,407,389,1.0,0.6912138,433.4196,0.7816507960043982
0,1.0,Velocity_0501,2,4,64,64,64,0.02454376220703125,4,2,0.5328465370934856,-0.000519837990829434,1.4293164159338445,-0.22995365463088538,76.66777284302397,0.39138233418367346,91.76866443605647,92.22952029669526,-0.20624644695434133,115.00165926453596,508,209,299,173,209,1.0,0.6912138,433.4196,0.770885270365675
0,1.0,Velocity_0501,3,8,32,32,32,0.0490875244140625,2,2,0.5153065889682118,-0.0019858110503550843,1.2365036526540063,-0.2383021872362668,30.04044776563042,0.3993258017492711,38.28087719222266,38.76037135551909,-0.2071047300992482,45.060671648445634,115,30,85,61,30,1.0,0.6912138,433.4196,0.7455096946389262
0,1.0,Velocity_0501,4,16,16,16,16,0.098175048828125,1,2,0.48390211184921916,-0.003005634205559752,0.8077889515290915,-0.2593009817005344,12.530253943366832,0.39212827988338195,14.975429726780172,15.494763410451982,-0.23441624666449448,18.79538091505025,21,2,19,18,2,1.0,0.6912138,433.4196,0.7000758836834843
1,1.002,Velocity_0502,0,1,256,256,256,0.0061359405517578125,16,64,0.5430091883158861,-1.0058410383237784e-05,0.6517946181001225,-0.2411022648272511,248.63222804078845,0.3690258504350401,242.6097652604483,243.09196996353342,-0.2172108687073412,372.94834206118264,2513,424,2089,595,424,1.0,0.6912138,433.4196,0.7855878865784885
1,1.002,Velocity_0502,1,2,128,128,128,0.012271881103515625,8,8,0.5405726673821744,-0.00010764948707022566,1.1570007132793028,-0.23462841525892073,163.291404468833,0.3754199503462099,171.72727671052013,172.19656104538035,-0.2128957663958808,244.93710670324953,1467,385,1082,395,385,1.0,0.6912138,433.4196,0.7820628977346435
1,1.002,Velocity_0502,2,4,64,64,64,0.02454376220703125,4,2,0.5331346926330521,-0.0005233614544307646,1.428442717954381,-0.22436599322389722,76.66211099321349,0.3919460641399417,91.78722833582005,92.23700662740777,-0.20731624447380745,114.99316648982023,519,207,312,171,207,1.0,0.6912138,433.4196,0.7713021537374574
1,1.002,Velocity_0502,3,8,32,32,32,0.0490875244140625,2,2,0.5155848119341413,-0.001987435929894681,1.2358492684037874,-0.2360071524634123,30.04737966104276,0.3988247084548105,38.288182657094076,38.76322117285211,-0.20916784615842213,45.071069491564145,114,30,84,63,30,1.0,0.6912138,433.4196,0.7459122082547271
1,1.002,Velocity_0502,4,16,16,16,16,0.098175048828125,1,2,0.48420400585921747,-0.003066275849172699,0.8078780762795994,-0.2580969139964811,12.531051302142684,0.3903061224489796,14.982256890969003,15.499169971305149,-0.23654396267901054,18.796576953214025,21,2,19,18,2,1.0,0.6912138,433.4196,0.7005126429177448
2,1.004,Velocity_0503,0,1,256,256,256,0.0061359405517578125,16,64,0.543292251018419,-9.698875176720209e-06,0.6512942531283468,-0.23667030807446773,248.53103743824715,0.36897059849330355,242.58640295523173,243.05974373096993,-0.2176056778344035,372.79655615737073,2500,431,2069,582,431,1.0,0.6912138,433.4196,0.7859974019882402
2,1.004,Velocity_0503,1,2,128,128,128,0.012271881103515625,8,8,0.5408556869191985,-0.00010830423727974827,1.1560066029881129,-0.2300962532224791,163.2402548615706,0.37530606550655976,171.7298334489395,172.1900437185926,-0.21367575464008953,244.8603822923559,1471,380,1091,391,380,1.0,0.6912138,433.4196,0.7824723506955424
2,1.004,Velocity_0503,2,4,64,64,64,0.02454376220703125,4,2,0.5334191814514335,-0.0005239030454586445,1.4277686334974797,-0.21909741329365554,76.65903851801419,0.3917296829446064,91.8020814418685,92.24125179712105,-0.20836935233223455,114.98855777702127,524,207,317,173,207,1.0,0.6912138,433.4196,0.771713732352325
2,1.004,Velocity_0503,3,8,32,32,32,0.0490875244140625,2,2,0.5158620518285832,-0.001985132506766503,1.2358197383801894,-0.23384755320952505,30.05634217972112,0.39909803206997085,38.295161828224295,38.76601658539939,-0.21134650767071064,45.08451326958168,112,30,82,62,30,1.0,0.6912138,433.4196,0.7463132996311463
2,1.004,Velocity_0503,4,16,16,16,16,0.098175048828125,1,2,0.4845063513036741,-0.003120765422943317,0.8081345157282648,-0.2568658967831636,12.531492885241548,0.3892128279883382,14.989337423500679,15.50376406590028,-0.23863816833033283,18.79723932786232,21,2,19,18,2,1.0,0.6912138,433.4196,0.7009500552559484
3,1.006,Velocity_0504,0,1,256,256,256,0.0061359405517578125,16,64,0.5435732413289011,-9.093056664888387e-06,0.6508121876129599,-0.23133026555868544,248.4492099430877,0.36894355084388664,242.56540671460874,243.0280677627304,-0.21805692708714006,372.6738149146316,2495,430,2065,584,430,1.0,0.6912138,433.4196,0.786403919205463
3,1.006,Velocity_0504,1,2,128,128,128,0.012271881103515625,8,8,0.5411367136007539,-0.00010701413089096299,1.1552585354802491,-0.22480924792384338,163.17865328666196,0.3750790076075073,171.73342340281263,172.1830635215973,-0.2144897644494267,244.76797992999292,1459,385,1074,390,385,1.0,0.6912138,433.4196,0.7828789205319019
3,1.006,Velocity_0504,2,4,64,64,64,0.02454376220703125,4,2,0.5337001224261644,-0.0005207036610928158,1.4274639317867661,-0.21413282929379474,76.66192735307159,0.39128553206997085,91.81354131423429,92.24258331590536,-0.2094698488513264,114.99289102960739,528,201,327,180,201,1.0,0.6912138,433.4196,0.7721201781940181
3,1.006,Velocity_0504,3,8,32,32,32,0.0490875244140625,2,2,0.516138942323286,-0.001979576489873622,1.2364235637316086,-0.23180685262942452,30.066976973725062,0.39900692419825073,38.30216729180942,38.769127111925414,-0.213625729001052,45.10046546058759,113,28,85,62,28,1.0,0.6912138,433.4196,0.7467138855203499
3,1.006,Velocity_0504,4,16,16,16,16,0.098175048828125,1,2,0.48480899751134526,-0.003168875910884785,0.8085710285673576,-0.2556047501808179,12.531567318818915,0.38884839650145775,14.99670165369108,15.508570288451871,-0.24068860883713203,18.797350978228373,20,2,18,17,2,1.0,0.6912138,433.4196,0.7013879027174302
4,1.008,Velocity_0505,0,1,256,256,256,0.0061359405517578125,16,64,0.5438520540148394,-8.46585090523801e-06,0.6503368323414664,-0.22547679519973765,248.39293017679682,0.3689144568262573,242.54654482808465,242.9974986144021,-0.21858921460027897,372.5893952651952,2538,438,2100,598,438,1.0,0.6912138,433.4196,0.7868072859871134
4,1.008,Velocity_0505,1,2,128,128,128,0.012271881103515625,8,8,0.5414157521114912,-0.00010445168379290623,1.1545993329895354,-0.2190970083749653,163.10863324427237,0.3751217144223761,171.7387008611972,172.17694627084117,-0.21534155683234515,244.66294986640855,1466,370,1096,385,370,1.0,0.6912138,433.4196,0.7832826140211483
