null_index,seed,swap_attempts,swap_accepted,mobility_fraction,graph_signature,scale_persistence,time_persistence,stitch_defect,stitch_p90,stitch_max,stitch_n
1,20260906,87245,4062,0.04655854203679294,901beccec1c39e42d4b4175890ddbd6eb053aa38eb48189ba71d5754e6a0775d,0.350432684306873,0.5053985173905228,0.32663578117239467,1.0,1.0000000000000002,4730
2,20260907,87245,3885,0.044529772479798266,4dc3d77fdf7c2ba4e11f4e4c56c526afc4c89145c07e07c3327a06afcd050f88,0.3484356798136129,0.5060647399088439,0.32932319626903017,1.0,1.0000000000000002,4741
3,20260908,87245,3848,0.044105679408562096,f184d4bc44cd3196ceeec61ff2dd59691e2e27cc0a8e4e04897e9998e263ee69,0.34939257779996674,0.5050283937692333,0.3266061718215521,1.0,1.0000000000000002,4727
4,20260909,87245,3950,0.04527480084818614,3d29885ee2a7c340a2c1622c8dedfcbef06433ba9b5cdeb0d640b2a8caad3f39,0.349600599101348,0.5059695652633694,0.3306963407209739,1.0,1.0000000000000002,4741
5,20260910,87245,4077,0.046730471660267066,14cab408b107ecfe4f0d6188eca11d366843712c010dde615d74aaa29a584c04,0.3488517224163754,0.5067626873089898,0.33136118031788697,1.0,1.0000000000000002,4743
6,20260911,87245,3970,0.045504040346151645,72b5421aed1d2415cf96bcd77a80a285b9035b6ed268c0e107ff825e08e263e1,0.3493093692794142,0.5067838372302063,0.3344650069036385,1.0,1.0000000000000002,4735
7,20260912,87245,4053,0.04645538426270846,c24930307b6cb8950fd198028c5dadb0bd01441eaa027bb198b8ffadd68583d7,0.349933433183558,0.5064560134513498,0.32736585538372226,1.0,1.0000000000000002,4720
8,20260913,87245,4004,0.04589374749269299,787d188deb688a516d6bf2d4b20b4da14002822c967d5b7ff65ce27d57b1fb88,0.35059910134797806,0.5069424616393304,0.331860571322136,1.0,1.0000000000000002,4737
9,20260914,87245,4005,0.04590520946759127,fed7b9e3392ee13bc4be32e4ca34ebe2b04d7d2b39caef9189bbaa5ff7a74b72,0.35026626726576804,0.5076615589606929,0.3290184207688614,1.0,1.0000000000000002,4753
10,20260915,87245,3973,0.04553842627084647,58cd2656d0a870e89c56467c14632d3b1685875d221b1eec0bdb150e8f4e4484,0.3490597437177567,0.508211456912323,0.32987069830255006,1.0,1.0000000000000002,4754
11,20260916,87245,3981,0.04563012207003267,66f7cfcac69ab1a63849b0be75b30739eb12a1687e2754eba4698f817db43a2c,0.3487685138958229,0.5073971849454861,0.3306745264899832,1.0,1.0000000000000002,4746
12,20260917,87245,3963,0.045423806521863716,c51cab767d7d167083936d2fc7f8d15563866b1ab13679f48c068ccc0c6ea0d8,0.34997503744383424,0.5066675126635154,0.32986392963004074,1.0,1.0000000000000002,4729
13,20260918,87245,3986,0.04568743194452404,8611c7fe02ec75e9aadf53360eed429c1778736b41f206a52c041d10ff699de5,0.3496422033616242,0.5074500597485274,0.3309049010644536,1.0,1.0000000000000002,4759
14,20260919,87245,3996,0.04580205169350679,325771dd78312d934268d29f90df138ecc8683f4248a51837c4a490d4e0b00a6,0.34980862040272925,0.5061810644755349,0.3289727811950722,1.0,1.0000000000000002,4752
15,20260920,87245,3984,0.045664507994727495,926e1611cd65cab3c92ccb46a054d7b736b8d6a559d64a5a04d9aaab12368d56,0.34864370111499415,0.5065088882543913,0.3360798659666649,1.0,1.0000000000000002,4745
16,20260921,87245,3894,0.04463293025388274,2f39a3c48b900671b347bebd98d7c5db93391fcbbc998129c88b8770307d1c32,0.3493093692794142,0.5066463627422988,0.32716301893644173,1.0,1.0000000000000002,4731
17,20260922,87245,3928,0.045022637400424094,9df93a60a71fafa1f62e536305d54f1277b7b3338bf1b9b5e57f05a11c89fc43,0.34943418206024296,0.5067415373877733,0.3261676048969244,1.0,1.0000000000000002,4727
18,20260923,87245,3937,0.04512579517450857,f8b9c9c2857063f556d77c92279dafc0b532cc42e4bbfc2393311112a2b25f1f,0.3487685138958229,0.5074394847879191,0.32773022247551004,1.0,1.0000000000000002,4743
19,20260924,87245,4031,0.04620322081494641,40181af9b84b8d58da316cba3b09af0c5ba90a984bf4801712fb31b7cbf9e068,0.3496838076219005,0.5079999577001577,0.32904333525384927,1.0,1.0000000000000002,4725
20,20260925,87245,3963,0.045423806521863716,257f173c6e92a41ba001e77ec182878f4a6f6dd7e1667e04f273590f083972b7,0.34997503744383424,0.5067838372302064,0.329852612268098,1.0,1.0000000000000002,4750
21,20260926,87245,3900,0.044701702103272394,3298de9ace233dd83ea5a908fab531253fe326686bfbc29dd3c629d7b8116802,0.3501830587452155,0.5071645358121041,0.3310556645428241,1.0,1.0000000000000002,4743
