id,source,domain,role,observable,regime,status,file,rows
HUANG_LC,HUANG_2025,continuous-time spin dynamics,PERIODIC_CONTROL,Intensity,Limit cycle,INGESTED,03_INGEST/HUANG/HUANG_LC.csv,5001
HUANG_QP,HUANG_2025,continuous-time spin dynamics,ADJACENT_QUASIPERIODIC,Intensity,Quasi-periodic,INGESTED,03_INGEST/HUANG/HUANG_QP.csv,100001
HUANG_CHAOS,HUANG_2025,continuous-time spin dynamics,CHAOTIC_CONTROL,Intensity,Chaos,INGESTED,03_INGEST/HUANG/HUANG_CHAOS.csv,30001
LUO_M_N12,LUO_2026,Rydberg-chain numerical DTQC,DTQC_DEVELOPMENT,m,DTQC order-parameter dynamics,INGESTED,03_INGEST/LUO/LUO_M_N12.csv,50001
LUO_M_N32,LUO_2026,Rydberg-chain numerical DTQC,DTQC_DEVELOPMENT,m,DTQC order-parameter dynamics,INGESTED,03_INGEST/LUO/LUO_M_N32.csv,50001
LUO_F_N12,LUO_2026,Rydberg-chain numerical DTQC,DTQC_DEVELOPMENT_SECONDARY,F,DTQC fidelity dynamics,INGESTED,03_INGEST/LUO/LUO_F_N12.csv,50001
LUO_F_N40,LUO_2026,Rydberg-chain numerical DTQC,DTQC_DEVELOPMENT_SECONDARY,F,DTQC fidelity dynamics,INGESTED,03_INGEST/LUO/LUO_F_N40.csv,50001
LUO_EE_LOW_N12,LUO_2026,Rydberg-chain numerical DTQC,LOW_FREQ_APERIODIC_CONTROL,S,low-frequency aperiodic/strong-entanglement regime,INGESTED,03_INGEST/LUO/LUO_EE_LOW_N12.csv,50001
LUO_EE_LOW_N32,LUO_2026,Rydberg-chain numerical DTQC,LOW_FREQ_APERIODIC_CONTROL,S,low-frequency aperiodic/strong-entanglement regime,INGESTED,03_INGEST/LUO/LUO_EE_LOW_N32.csv,50001
LUO_EE_DTQC_N12,LUO_2026,Rydberg-chain numerical DTQC,DTQC_DEVELOPMENT,S,intermediate-frequency DTQC regime,INGESTED,03_INGEST/LUO/LUO_EE_DTQC_N12.csv,50001
LUO_EE_DTQC_N32,LUO_2026,Rydberg-chain numerical DTQC,DTQC_DEVELOPMENT,S,intermediate-frequency DTQC regime,INGESTED,03_INGEST/LUO/LUO_EE_DTQC_N32.csv,50001
LUO_EE_HIGH_N12,LUO_2026,Rydberg-chain numerical DTQC,HIGH_FREQ_DECOUPLED_CONTROL,S,high-frequency decoupling regime,INGESTED,03_INGEST/LUO/LUO_EE_HIGH_N12.csv,50001
LUO_EE_HIGH_N32,LUO_2026,Rydberg-chain numerical DTQC,HIGH_FREQ_DECOUPLED_CONTROL,S,high-frequency decoupling regime,INGESTED,03_INGEST/LUO/LUO_EE_HIGH_N32.csv,50001
MOON_2025,MOON_2025,experimental Fibonacci DTQC/time rondeau,EXPERIMENTAL_DEVELOPMENT_PENDING,n/a,restricted raw data,ACCESS_RESTRICTED,,
ZHU_2026,ZHU_2026,experimental DTQC,HOLDOUT,n/a,protected,DO_NOT_ANALYZE,,
HIST_C003,TC_PROSPECTIVE_01,experimental Z2 DTQC,HISTORICAL_BOUNDARY,n/a,quarantined,DO_NOT_CALIBRATE,,
