id,source,role,panel,file,source_cycle_column,state_columns,source_ratio,notes
LUO_EE_LOW_N12,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,CORE_FOUR_REP,03_INGEST/LUO/LUO_EE_LOW_N12.csv,time,S,1.618033988749895,Source time is the left-drive-cycle coordinate under the frozen Luo adapter.
LUO_EE_LOW_N32,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,CORE_FOUR_REP,03_INGEST/LUO/LUO_EE_LOW_N32.csv,time,S,1.618033988749895,Source time is the left-drive-cycle coordinate under the frozen Luo adapter.
LUO_EE_DTQC_N12,LUO_2026,DTQC_POSITIVE,CORE_FOUR_REP,03_INGEST/LUO/LUO_EE_DTQC_N12.csv,time,S,1.618033988749895,Source time is the left-drive-cycle coordinate under the frozen Luo adapter.
LUO_EE_DTQC_N32,LUO_2026,DTQC_POSITIVE,CORE_FOUR_REP,03_INGEST/LUO/LUO_EE_DTQC_N32.csv,time,S,1.618033988749895,Source time is the left-drive-cycle coordinate under the frozen Luo adapter.
LUO_EE_HIGH_N12,LUO_2026,MULTICLOCK_DECOUPLED_HIGH,CORE_FOUR_REP,03_INGEST/LUO/LUO_EE_HIGH_N12.csv,time,S,1.618033988749895,Source time is the left-drive-cycle coordinate under the frozen Luo adapter.
LUO_EE_HIGH_N32,LUO_2026,MULTICLOCK_DECOUPLED_HIGH,CORE_FOUR_REP,03_INGEST/LUO/LUO_EE_HIGH_N32.csv,time,S,1.618033988749895,Source time is the left-drive-cycle coordinate under the frozen Luo adapter.
ZHU_FIG1_C1,ZHU_2026,DTQC_POSITIVE,CORE_FOUR_REP,06_VALIDATION/ZHU_2026/INGEST/ZHU_FIG1_C1.csv,time_ms,response,1.618033988749895,Study adapter converts x = 54.387 kHz * time_ms; no response-derived frequency.
ZHU_FIG1_C3,ZHU_2026,DTQC_POSITIVE,CORE_FOUR_REP,06_VALIDATION/ZHU_2026/INGEST/ZHU_FIG1_C3.csv,time_ms,response,1.618033988749895,Study adapter converts x = 54.387 kHz * time_ms; no response-derived frequency.
MS_M0p6,MALZ_SMITH_2021,QP_NON_DTQC_TOPO,CORE_FOUR_REP,06_VALIDATION/MALZ_SMITH_2021/INGEST/MS_M0p6.csv,source_cycles_omega1,sigma_x;sigma_y;sigma_z,1.618033988749895,Experimental three-component qubit tomography under two incommensurate source clocks.
MS_M0p8,MALZ_SMITH_2021,QP_NON_DTQC_TOPO,CORE_FOUR_REP,06_VALIDATION/MALZ_SMITH_2021/INGEST/MS_M0p8.csv,source_cycles_omega1,sigma_x;sigma_y;sigma_z,1.618033988749895,Experimental three-component qubit tomography under two incommensurate source clocks.
MS_M1p0,MALZ_SMITH_2021,QP_NON_DTQC_TOPO,CORE_FOUR_REP,06_VALIDATION/MALZ_SMITH_2021/INGEST/MS_M1p0.csv,source_cycles_omega1,sigma_x;sigma_y;sigma_z,1.618033988749895,Experimental three-component qubit tomography under two incommensurate source clocks.
MS_M1p2,MALZ_SMITH_2021,QP_NON_DTQC_TOPO,CORE_FOUR_REP,06_VALIDATION/MALZ_SMITH_2021/INGEST/MS_M1p2.csv,source_cycles_omega1,sigma_x;sigma_y;sigma_z,1.618033988749895,Experimental three-component qubit tomography under two incommensurate source clocks.
MS_M1p4,MALZ_SMITH_2021,QP_NON_DTQC_TOPO,CORE_FOUR_REP,06_VALIDATION/MALZ_SMITH_2021/INGEST/MS_M1p4.csv,source_cycles_omega1,sigma_x;sigma_y;sigma_z,1.618033988749895,Experimental three-component qubit tomography under two incommensurate source clocks.
MS_M1p7,MALZ_SMITH_2021,QP_NON_DTQC_TOPO,CORE_FOUR_REP,06_VALIDATION/MALZ_SMITH_2021/INGEST/MS_M1p7.csv,source_cycles_omega1,sigma_x;sigma_y;sigma_z,1.618033988749895,Experimental three-component qubit tomography under two incommensurate source clocks.
MS_M2p3,MALZ_SMITH_2021,QP_NON_DTQC_TRIVIAL,CORE_FOUR_REP,06_VALIDATION/MALZ_SMITH_2021/INGEST/MS_M2p3.csv,source_cycles_omega1,sigma_x;sigma_y;sigma_z,1.618033988749895,Experimental three-component qubit tomography under two incommensurate source clocks.
MS_M2p6,MALZ_SMITH_2021,QP_NON_DTQC_TRIVIAL,CORE_FOUR_REP,06_VALIDATION/MALZ_SMITH_2021/INGEST/MS_M2p6.csv,source_cycles_omega1,sigma_x;sigma_y;sigma_z,1.618033988749895,Experimental three-component qubit tomography under two incommensurate source clocks.
MS_M2p8,MALZ_SMITH_2021,QP_NON_DTQC_TRIVIAL,CORE_FOUR_REP,06_VALIDATION/MALZ_SMITH_2021/INGEST/MS_M2p8.csv,source_cycles_omega1,sigma_x;sigma_y;sigma_z,1.618033988749895,Experimental three-component qubit tomography under two incommensurate source clocks.
MS_M3p0,MALZ_SMITH_2021,QP_NON_DTQC_TRIVIAL,CORE_FOUR_REP,06_VALIDATION/MALZ_SMITH_2021/INGEST/MS_M3p0.csv,source_cycles_omega1,sigma_x;sigma_y;sigma_z,1.618033988749895,Experimental three-component qubit tomography under two incommensurate source clocks.
MS_M3p2,MALZ_SMITH_2021,QP_NON_DTQC_TRIVIAL,CORE_FOUR_REP,06_VALIDATION/MALZ_SMITH_2021/INGEST/MS_M3p2.csv,source_cycles_omega1,sigma_x;sigma_y;sigma_z,1.618033988749895,Experimental three-component qubit tomography under two incommensurate source clocks.
MS_M3p4,MALZ_SMITH_2021,QP_NON_DTQC_TRIVIAL,CORE_FOUR_REP,06_VALIDATION/MALZ_SMITH_2021/INGEST/MS_M3p4.csv,source_cycles_omega1,sigma_x;sigma_y;sigma_z,1.618033988749895,Experimental three-component qubit tomography under two incommensurate source clocks.
HUANG_LC,HUANG_2025,PERIODIC_ADJACENT_CONTROL,AUX_SOURCE_FREE,03_INGEST/HUANG/HUANG_LC.csv,,intensity,,No externally specified two-clock torus in the canonical record; multi-clock representations are not fabricated.
HUANG_QP,HUANG_2025,QP_ADJACENT_NON_DTQC,AUX_SOURCE_FREE,03_INGEST/HUANG/HUANG_QP.csv,,intensity,,No externally specified two-clock torus in the canonical record; multi-clock representations are not fabricated.
HUANG_CHAOS,HUANG_2025,CHAOTIC_ADJACENT_CONTROL,AUX_SOURCE_FREE,03_INGEST/HUANG/HUANG_CHAOS.csv,,intensity,,No externally specified two-clock torus in the canonical record; multi-clock representations are not fabricated.
TC_C001,TIME_CRYSTAL_I,INTEGER_DTC_POSITIVE,AUX_CROSS_CHART,04_CORPUS/CROSS_CHART/TC_C001.csv,,ALL_EXCEPT_t,,Phase-I integer-depth cross-chart control. No second external clock is supplied.
TC_C002,TIME_CRYSTAL_I,INTEGER_DTC_POSITIVE,AUX_CROSS_CHART,04_CORPUS/CROSS_CHART/TC_C002.csv,,ALL_EXCEPT_t,,Phase-I integer-depth cross-chart control. No second external clock is supplied.
TC_C002_CTRL,TIME_CRYSTAL_I,INTEGER_PERIOD_CONTROL,AUX_CROSS_CHART,04_CORPUS/CROSS_CHART/TC_C002_CTRL.csv,,ALL_EXCEPT_t,,Phase-I integer-depth cross-chart control. No second external clock is supplied.
TC_NRCTRL,TIME_CRYSTAL_I,HARDWARE_CONTROL,AUX_CROSS_CHART,04_CORPUS/CROSS_CHART/TC_NRCTRL.csv,,ALL_EXCEPT_t,,Phase-I integer-depth cross-chart control. No second external clock is supplied.
HIST_C003,TIME_CRYSTAL_I,HISTORICAL_BOUNDARY,QUARANTINED,,,,,DO_NOT_LOAD_OR_CALIBRATE
