id,source,role,JPR_parent_gain,JPR_cover_advantage,FC_frac_mixed_gain,FC_frac_total_gain,P_phase_label_p_upper,M_fourier_p_upper,M_fourier_null_q95,M_fourier_percentile,M_robust_min,M_robust_median,M_stability_all_variants,D_domain,P_anchor,M_magnitude,M_spectral_null,M_stability,TEMPORAL_CORE_CANDIDATE,J_chart_coordinate_only,FROZEN_TEMPORAL_STATE
LUO_EE_LOW_N12,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,0.1323244076438704,0.3916628891692881,0.0537550020529934,0.1313550460541557,0.16,0.02,0.0443889335187863,1.0,0.0537168986363416,0.0537550020529935,False,True,False,False,True,False,False,0.3916628891692881,SOURCE_UNANCHORED
LUO_EE_LOW_N32,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,0.153010756885453,0.404519160965508,0.0517744450182824,0.1286445711426461,0.03,0.06,0.0450553547291516,0.9591836734693876,0.0517275778404502,0.0517744450182825,False,True,True,False,True,False,False,0.404519160965508,MIXED_ORGANIZATION_WEAK
LUO_EE_DTQC_N12,LUO_2026,DTQC_POSITIVE,0.0488902175201145,0.7932054533637993,0.2243610378496573,0.9420749658318645,0.01,0.02,0.1738819718359869,1.0,0.2242414822458523,0.2243610378496577,True,True,True,True,True,True,True,0.7932054533637993,TEMPORAL_CORE_SUPPORTED
LUO_EE_DTQC_N32,LUO_2026,DTQC_POSITIVE,0.214637186254087,0.6376699107191337,0.2243662288952117,0.9420749713960692,0.01,0.02,0.1746052824912788,1.0,0.2243662288952118,0.2243703163764435,True,True,True,True,True,True,True,0.6376699107191337,TEMPORAL_CORE_SUPPORTED
LUO_EE_HIGH_N12,LUO_2026,MULTICLOCK_DECOUPLED_HIGH,0.064766923690809,0.6133179969373814,0.1005262967726294,0.6985765111911363,0.33,0.02,0.0532669442659724,1.0,0.1004925539077506,0.1005262967726301,False,True,False,False,True,False,False,0.6133179969373814,SOURCE_UNANCHORED
LUO_EE_HIGH_N32,LUO_2026,MULTICLOCK_DECOUPLED_HIGH,0.0751266067150376,0.5917680559102912,0.1005261826223349,0.6985758294985115,0.02,0.02,0.050907847166226,1.0,0.10050662462847,0.100526182622335,False,True,True,False,True,False,False,0.5917680559102912,MIXED_ORGANIZATION_WEAK
ZHU_FIG1_C1,ZHU_2026,DTQC_POSITIVE,0.4124092653382033,0.0855795459799342,0.1386106651727785,0.0949709157090156,0.01,0.06,0.1350907011868078,0.9591836734693876,0.1386106651727783,0.1388808850822523,True,True,True,True,True,True,True,0.0855795459799342,TEMPORAL_CORE_SUPPORTED
ZHU_FIG1_C3,ZHU_2026,DTQC_POSITIVE,0.4029678818268056,0.0728418484889551,0.3005329479347149,0.2891352364839472,0.01,0.04,0.2388025852190611,0.979591836734694,0.3005329479347148,0.3008106618129312,True,True,True,True,True,True,True,0.0728418484889551,TEMPORAL_CORE_SUPPORTED
MS_M0p6,MALZ_SMITH_2021,QP_NON_DTQC_TOPO,0.6941801225796823,-0.2794243535755264,-0.0082966529936342,-0.0198132122782982,0.01,0.06,-0.0171846241664077,0.9591836734693876,-0.0082966529936342,-0.0082935015033829,False,True,True,False,True,False,False,-0.2794243535755264,MIXED_ORGANIZATION_WEAK
MS_M0p8,MALZ_SMITH_2021,QP_NON_DTQC_TOPO,0.6524775143865343,-0.2265002169614676,-0.010181306937218,-0.0106280848103657,0.01,0.02,-0.0298705552518149,1.0,-0.0180440407442311,-0.0101813069372178,False,True,True,False,True,False,False,-0.2265002169614676,MIXED_ORGANIZATION_WEAK
MS_M1p0,MALZ_SMITH_2021,QP_NON_DTQC_TOPO,0.6495778468099285,-0.2388157766129632,-0.0074276202942812,-0.0169431388277987,0.01,0.02,-0.039897201925871,1.0,-0.0150851488803734,-0.007469685702694,False,True,True,False,True,False,False,-0.2388157766129632,MIXED_ORGANIZATION_WEAK
MS_M1p2,MALZ_SMITH_2021,QP_NON_DTQC_TOPO,0.6117945474641486,-0.27155726251078,-0.005232758891846,-0.0130879303236232,0.01,0.04,-0.0207443519697322,0.979591836734694,-0.0054634528866444,-0.0052327588918459,False,True,True,False,True,False,False,-0.27155726251078,MIXED_ORGANIZATION_WEAK
MS_M1p4,MALZ_SMITH_2021,QP_NON_DTQC_TOPO,0.6123177976555232,-0.3156569366872959,-0.0104350825018147,-0.0155666114152597,0.01,0.08,-0.0062662116812448,0.9387755102040816,-0.0167271053141878,-0.0105940324425401,False,True,True,False,True,False,False,-0.3156569366872959,MIXED_ORGANIZATION_WEAK
MS_M1p7,MALZ_SMITH_2021,QP_NON_DTQC_TOPO,0.1863186776528651,-0.0654645742735509,-0.0704317042279634,-0.1751972689051821,0.01,0.44,0.0352329191323478,0.5714285714285714,-0.4441475594298642,-0.0704317042279634,False,True,True,False,False,False,False,-0.0654645742735509,MIXED_ORGANIZATION_WEAK
