variable,auc_for_ILH1,abs_auc_distance_from_0_5
dWmhd_dt_candidate_MW,0.9985119047619048,0.49851190476190477
kappa,0.9077380952380952,0.40773809523809523
chi_eff_candidate,0.12195121951219512,0.3780487804878049
S_power_balance,0.14434523809523808,0.3556547619047619
Z_eff,0.16351118760757316,0.33648881239242684
P_loss_candidate_MW,0.17247386759581881,0.32752613240418116
P_total_candidate_MW,0.20982142857142858,0.2901785714285714
F_route_fragmentation,0.22023809523809523,0.27976190476190477
S_transport,0.22767857142857142,0.2723214285714286
I_p_MA,0.7440476190476191,0.24404761904761907
P_total_aux_candidate_MW,0.2682926829268293,0.23170731707317072
Wmhd_J,0.7276785714285714,0.2276785714285714
m_edge_event,0.6904761904761905,0.19047619047619047
P_Ryter,0.6726190476190477,0.17261904761904767
n_Ryter,0.6190476190476191,0.11904761904761907
delta,0.6056547619047619,0.10565476190476186
divertor_signal_candidate,0.3958333333333333,0.10416666666666669
S_edge_response,0.4114583333333333,0.08854166666666669
q95,0.5803571428571429,0.0803571428571429
S_timing,0.421875,0.078125
B_t_T,0.4226190476190476,0.07738095238095238
divertor_signal_150_candidate,0.42857142857142855,0.07142857142857145
P_LH_candidate_MW,0.5610119047619048,0.06101190476190477
n_e_1e20_m3,0.5595238095238095,0.059523809523809534
hydrogen_fraction_candidate,0.4771341463414634,0.022865853658536606
C_edge_capacity,0.48660714285714285,0.01339285714285715
helium_fraction_candidate,0.5074404761904762,0.007440476190476164
