selection_order,shot_id,candidate_class_selected,candidate_score_selected,selection_role,selection_reason,selection_class_bucket,campaign_selected,split_membership_selected,core_required_present_selected,profile_preferred_present_selected,edge_activity_present_selected,supporting_present_selected,missing_core_required_selected,missing_profile_preferred_selected,missing_edge_activity_selected,rows,candidate_class,candidate_score,campaign,split_membership,core_required_present,profile_preferred_present,edge_activity_present,supporting_present,missing_core_required,missing_profile_preferred,missing_edge_activity,loaded_signal_arrays,failed_signal_arrays,raw_positive_count,raw_negative_count,raw_ambiguous_count,raw_insufficient_count,raw_positive_fraction,raw_negative_fraction,raw_ambiguous_fraction,raw_insufficient_fraction,conf_positive_count,conf_negative_count,conf_ambiguous_count,conf_low_confidence_count,conf_positive_fraction,conf_negative_fraction,conf_ambiguous_fraction,conf_low_confidence_fraction,m_edge_raw_finite_count,m_edge_raw_finite_fraction,m_edge_raw_min,m_edge_raw_median,m_edge_raw_mean,m_edge_raw_max,m_edge_raw_std,m_edge_conf_finite_count,m_edge_conf_finite_fraction,m_edge_conf_min,m_edge_conf_median,m_edge_conf_mean,m_edge_conf_max,m_edge_conf_std,m_edge_conf_simple_finite_count,m_edge_conf_simple_finite_fraction,m_edge_conf_simple_min,m_edge_conf_simple_median,m_edge_conf_simple_mean,m_edge_conf_simple_max,m_edge_conf_simple_std,delta_conf_minus_raw_finite_count,delta_conf_minus_raw_finite_fraction,delta_conf_minus_raw_min,delta_conf_minus_raw_median,delta_conf_minus_raw_mean,delta_conf_minus_raw_max,delta_conf_minus_raw_std,Q_power_finite_count,Q_power_finite_fraction,Q_power_min,Q_power_median,Q_power_mean,Q_power_max,Q_power_std,Q_density_finite_count,Q_density_finite_fraction,Q_density_min,Q_density_median,Q_density_mean,Q_density_max,Q_density_std,Q_edge_finite_count,Q_edge_finite_fraction,Q_edge_min,Q_edge_median,Q_edge_mean,Q_edge_max,Q_edge_std,Q_profile_finite_count,Q_profile_finite_fraction,Q_profile_min,Q_profile_median,Q_profile_mean,Q_profile_max,Q_profile_std,Q_geometry_finite_count,Q_geometry_finite_fraction,Q_geometry_min,Q_geometry_median,Q_geometry_mean,Q_geometry_max,Q_geometry_std,Q_missing_finite_count,Q_missing_finite_fraction,Q_missing_min,Q_missing_median,Q_missing_mean,Q_missing_max,Q_missing_std,Q_diag_finite_count,Q_diag_finite_fraction,Q_diag_min,Q_diag_median,Q_diag_mean,Q_diag_max,Q_diag_std,Q_capacity_finite_count,Q_capacity_finite_fraction,Q_capacity_min,Q_capacity_median,Q_capacity_mean,Q_capacity_max,Q_capacity_std,Q_fragmentation_finite_count,Q_fragmentation_finite_fraction,Q_fragmentation_min,Q_fragmentation_median,Q_fragmentation_mean,Q_fragmentation_max,Q_fragmentation_std,P_missing_critical_finite_count,P_missing_critical_finite_fraction,P_missing_critical_min,P_missing_critical_median,P_missing_critical_mean,P_missing_critical_max,P_missing_critical_std,confidence_structural_score,global_diagnostic_availability,output_csv,output_json,output_md,confidence_panel_rank,result_status
14,12046,FULL_PROFILE_EDGE_CANDIDATE,96.429,class_balanced_FULL_PROFILE_EDGE_CANDIDATE,selected to fill target bucket for FULL_PROFILE_EDGE_CANDIDATE,FULL_PROFILE_EDGE_CANDIDATE,M5,val,8,2,2,9,,,,451,FULL_PROFILE_EDGE_CANDIDATE,96.429,M5,val,8,2,2,9,,,,16,0,181,68,143,59,0.401330376940133,0.1507760532150776,0.3170731707317073,0.130820399113082,181,92,119,59,0.401330376940133,0.2039911308203991,0.2638580931263858,0.130820399113082,392,0.8691796008869179,-0.5569858641843879,0.175811285519904,0.1061067993400839,0.5898142764000227,0.2544673911424908,451,1.0,-1.12,0.0995503019214119,-0.1046836343091004,0.5898142764000227,0.5041080216104055,451,1.0,-0.3496633480713101,0.1005301796405546,0.1119167374203167,0.5898142764000227,0.2069410830920859,392,0.8691796008869179,-0.4034568830307316,0.0,-0.0579749602416254,1.6653345369377348e-16,0.1070513573264981,451,1.0,0.3,1.0,0.9084257206208426,1.0,0.2360426802965899,451,1.0,0.0,1.0,0.8691796008869179,1.0,0.3372038289951286,451,1.0,0.0,1.0,0.8691796008869179,1.0,0.3372038289951286,451,1.0,0.0,1.0,0.6674057649667405,1.0,0.4711425578908154,451,1.0,0.0,1.0,0.6452328159645233,1.0,0.4784427125236781,451,1.0,0.0,1.0,0.7745750184774575,1.0,0.3477865688104714,451,1.0,0.06,1.0,0.799460458240946,1.0,0.3218791347284201,451,1.0,0.0,1.0,0.7941241685144125,1.0,0.3376977257600507,451,1.0,0.12,1.0,0.7852475979305247,1.0,0.3216503678161694,451,1.0,0.0,0.0,0.216260162601626,1.0,0.3464465675248539,8.335916647772958,"{'has_nbi_global': True, 'has_ip_global': True, 'has_density_global': True, 'has_dalpha_global': True, 'has_softx_lower_global': True, 'has_softx_upper_global': True, 'has_te_global': True, 'has_ne_global': True}",outputs\reports\tokamark_shot_12046_m_edge_confidence_revision.csv,outputs\reports\tokamark_shot_12046_m_edge_confidence_revision.json,outputs\reports\tokamark_shot_12046_m_edge_confidence_revision.md,1,ok
9,11941,FULL_PROFILE_EDGE_CANDIDATE,96.429,class_balanced_FULL_PROFILE_EDGE_CANDIDATE,selected to fill target bucket for FULL_PROFILE_EDGE_CANDIDATE,FULL_PROFILE_EDGE_CANDIDATE,M5,train,8,2,2,9,,,,521,FULL_PROFILE_EDGE_CANDIDATE,96.429,M5,train,8,2,2,9,,,,16,0,209,0,262,50,0.401151631477927,0.0,0.5028790786948176,0.0959692898272552,195,96,180,50,0.3742802303262956,0.1842610364683301,0.345489443378119,0.0959692898272552,471,0.9040307101727448,-0.195754619080597,0.1801080273371262,0.1997260567733889,0.4789343272007058,0.1759130013949932,521,1.0,-1.12,0.0785145989534297,-0.0095517300942903,0.4789343272007058,0.4480293978697654,521,1.0,-0.1698610256848587,0.1135635891993996,0.1734382367891248,0.4789343272007058,0.1788815523876184,471,0.9040307101727448,-0.5104472999472027,0.0,-0.0913958049243979,1.6653345369377348e-16,0.1662092817870817,521,1.0,0.3,1.0,0.9328214971209212,1.0,0.2061843853599993,521,1.0,0.0,1.0,0.9040307101727448,1.0,0.2945491219428561,521,1.0,0.0,1.0,0.9040307101727448,1.0,0.2945491219428561,521,1.0,0.0,1.0,0.7197696737044146,1.0,0.4491116682072011,521,1.0,0.0,1.0,0.6429942418426103,1.0,0.4791165273708027,521,1.0,0.0,1.0,0.8050757091064193,1.0,0.3133088440654241,521,1.0,0.06,1.0,0.8326722115589679,1.0,0.2885774998261343,521,1.0,0.0,1.0,0.8241842610364682,1.0,0.3011662497721236,521,1.0,0.12,1.0,0.8220516101514183,1.0,0.2946952770407311,521,1.0,0.0,0.0,0.1746214544679036,1.0,0.3135835241430036,8.112437810396969,"{'has_nbi_global': True, 'has_ip_global': True, 'has_density_global': True, 'has_dalpha_global': True, 'has_softx_lower_global': True, 'has_softx_upper_global': True, 'has_te_global': True, 'has_ne_global': True}",outputs\reports\tokamark_shot_11941_m_edge_confidence_revision.csv,outputs\reports\tokamark_shot_11941_m_edge_confidence_revision.json,outputs\reports\tokamark_shot_11941_m_edge_confidence_revision.md,2,ok
15,12055,FULL_PROFILE_EDGE_CANDIDATE,96.429,shortage_filler,selected because one or more target classes had insufficient candidates,FULL_PROFILE_EDGE_CANDIDATE,M5,train,8,2,2,9,,,,341,FULL_PROFILE_EDGE_CANDIDATE,96.429,M5,train,8,2,2,9,,,,16,0,154,28,118,41,0.4516129032258064,0.0821114369501466,0.3460410557184751,0.1202346041055718,151,99,50,41,0.4428152492668621,0.2903225806451613,0.1466275659824047,0.1202346041055718,300,0.8797653958944281,-0.3655771817863433,0.2069087517619518,0.1866421521118147,0.5058666422402907,0.2158920865500607,341,1.0,-1.12,0.1191473494052893,-0.0626692926523073,0.5058666422402907,0.4930312376217536,341,1.0,-0.324957494921194,0.1412029382596346,0.1626010984729495,0.5058666422402907,0.201637060540805,300,0.8797653958944281,-0.4732227169416111,0.0,-0.1048095814266041,1.6653345369377348e-16,0.1715982020156259,341,1.0,0.3,1.0,0.9158357771260998,1.0,0.2276649722723341,341,1.0,0.0,1.0,0.8797653958944281,1.0,0.325235674674763,341,1.0,0.0,1.0,0.8797653958944281,1.0,0.325235674674763,341,1.0,0.0,1.0,0.6451612903225806,1.0,0.4784644185223008,341,1.0,0.0,1.0,0.5865102639296188,1.0,0.4924591092007819,341,1.0,0.0,1.0,0.7624633431085044,1.0,0.336227362715541,341,1.0,0.06,1.0,0.7931378299120235,1.0,0.3109271289697938,341,1.0,0.0,1.0,0.7859237536656891,1.0,0.3247937943515133,341,1.0,0.12,1.0,0.7768914956011731,1.0,0.3154701319336302,341,1.0,0.0,0.0,0.219941348973607,1.0,0.3371808096705664,7.906590266111132,"{'has_nbi_global': True, 'has_ip_global': True, 'has_density_global': True, 'has_dalpha_global': True, 'has_softx_lower_global': True, 'has_softx_upper_global': True, 'has_te_global': True, 'has_ne_global': True}",outputs\reports\tokamark_shot_12055_m_edge_confidence_revision.csv,outputs\reports\tokamark_shot_12055_m_edge_confidence_revision.json,outputs\reports\tokamark_shot_12055_m_edge_confidence_revision.md,3,ok
12,12007,FULL_PROFILE_EDGE_CANDIDATE,96.429,class_balanced_FULL_PROFILE_EDGE_CANDIDATE,selected to fill target bucket for FULL_PROFILE_EDGE_CANDIDATE,FULL_PROFILE_EDGE_CANDIDATE,M5,val,8,2,2,9,,,,446,FULL_PROFILE_EDGE_CANDIDATE,96.429,M5,val,8,2,2,9,,,,16,0,171,46,169,60,0.3834080717488789,0.1031390134529148,0.3789237668161435,0.1345291479820627,169,99,118,60,0.3789237668161435,0.2219730941704036,0.2645739910313901,0.1345291479820627,386,0.8654708520179372,-0.6664089217702088,0.1460254578764265,0.1247267486035446,0.622765466821574,0.2580929057287315,446,1.0,-1.12,0.0268082454688013,-0.1046577201163355,0.6227654668215741,0.5107957351786196,446,1.0,-0.4183567120001866,0.0588388749876056,0.1213073212817186,0.622765466821574,0.2197852973344998,386,0.8654708520179372,-0.4187296866916175,0.0,-0.071559243867497,1.6653345369377348e-16,0.1252125860514708,446,1.0,0.3,1.0,0.905829596412556,1.0,0.2388539670999598,446,1.0,0.0,1.0,0.8654708520179372,1.0,0.3412199529999426,446,1.0,0.0,1.0,0.8654708520179372,1.0,0.3412199529999426,446,1.0,0.0,1.0,0.6636771300448431,1.0,0.4724508409351003,446,1.0,0.0,1.0,0.5964125560538116,1.0,0.4906165702818961,446,1.0,0.0,1.0,0.7608370702541106,1.0,0.3471490121921549,446,1.0,0.06,1.0,0.7909566517189837,1.0,0.322427753382295,446,1.0,0.0,1.0,0.7813901345291481,1.0,0.3378597173417157,446,1.0,0.12,1.0,0.7799701046337818,1.0,0.3226922318073855,446,1.0,0.0,0.0,0.2204783258594917,1.0,0.3491430233575681,7.283159604933342,"{'has_nbi_global': True, 'has_ip_global': True, 'has_density_global': True, 'has_dalpha_global': True, 'has_softx_lower_global': True, 'has_softx_upper_global': True, 'has_te_global': True, 'has_ne_global': True}",outputs\reports\tokamark_shot_12007_m_edge_confidence_revision.csv,outputs\reports\tokamark_shot_12007_m_edge_confidence_revision.json,outputs\reports\tokamark_shot_12007_m_edge_confidence_revision.md,4,ok
13,12017,FULL_PROFILE_EDGE_CANDIDATE,96.429,shortage_filler,selected because one or more target classes had insufficient candidates,FULL_PROFILE_EDGE_CANDIDATE,M5,val,8,2,2,9,,,,546,FULL_PROFILE_EDGE_CANDIDATE,96.429,M5,val,8,2,2,9,,,,16,0,161,54,271,60,0.2948717948717949,0.0989010989010989,0.4963369963369963,0.1098901098901098,161,104,221,60,0.2948717948717949,0.1904761904761904,0.4047619047619047,0.1098901098901098,486,0.8901098901098901,-0.498633464857374,0.095625855384018,0.0834047609271202,0.5315944162032659,0.2166550417965647,546,1.0,-1.12,0.0446953157799206,-0.0980269258453717,0.531594416203266,0.4514300774139921,546,1.0,-0.3130310084937959,0.0503085533730943,0.0856746476022632,0.5315944162032659,0.1861389933979417,486,0.8901098901098901,-0.41756390774557,0.0,-0.05526217144476,1.6653345369377348e-16,0.1136758986811334,546,1.0,0.3,1.0,0.9230769230769232,1.0,0.2189269149347339,546,1.0,0.0,1.0,0.8901098901098901,1.0,0.3127527356210485,546,1.0,0.0,1.0,0.8901098901098901,1.0,0.3127527356210485,546,1.0,0.0,1.0,0.7252747252747253,1.0,0.4463757365184593,546,1.0,0.0,1.0,0.6794871794871795,1.0,0.4666737108513152,546,1.0,0.0,1.0,0.8066748066748067,1.0,0.3276226876273125,546,1.0,0.06,1.0,0.8302604802604802,1.0,0.3028043678984251,546,1.0,0.0,1.0,0.8232600732600732,1.0,0.3172962617332336,546,1.0,0.12,1.0,0.8206756206756207,1.0,0.304022617598355,546,1.0,0.0,0.0,0.1799959299959299,1.0,0.3269291318372685,6.228057352698077,"{'has_nbi_global': True, 'has_ip_global': True, 'has_density_global': True, 'has_dalpha_global': True, 'has_softx_lower_global': True, 'has_softx_upper_global': True, 'has_te_global': True, 'has_ne_global': True}",outputs\reports\tokamark_shot_12017_m_edge_confidence_revision.csv,outputs\reports\tokamark_shot_12017_m_edge_confidence_revision.json,outputs\reports\tokamark_shot_12017_m_edge_confidence_revision.md,5,ok
8,11823,FULL_PROFILE_EDGE_CANDIDATE,96.429,shortage_filler,selected because one or more target classes had insufficient candidates,FULL_PROFILE_EDGE_CANDIDATE,M5,train,8,2,2,9,,,,476,FULL_PROFILE_EDGE_CANDIDATE,96.429,M5,train,8,2,2,9,,,,16,0,142,58,218,58,0.2983193277310924,0.1218487394957983,0.4579831932773109,0.1218487394957983,139,102,177,58,0.2920168067226891,0.2142857142857142,0.3718487394957983,0.1218487394957983,418,0.8781512605042017,-0.7634878254149712,0.1408687041673292,0.0931415618539157,0.4890000228831718,0.197494537556932,476,1.0,-1.12,0.11604608895177,-0.1178202811803132,0.4890000228831719,0.4637786468634686,476,1.0,-0.4793006903993985,0.1180116954727494,0.0958723781989764,0.4890000228831718,0.1579096803103333,418,0.8781512605042017,-0.4281544637938546,3.469446951953614e-18,-0.0719034131501576,1.3877787807814454e-16,0.1236632538019669,476,1.0,0.3,1.0,0.9147058823529411,1.0,0.2289777191076697,476,1.0,0.0,1.0,0.8781512605042017,1.0,0.3271110272966709,476,1.0,0.0,1.0,0.8781512605042017,1.0,0.3271110272966709,476,1.0,0.0,1.0,0.6617647058823529,1.0,0.4731090571219239,476,1.0,0.0,1.0,0.6302521008403361,1.0,0.4827363568519351,476,1.0,0.0,1.0,0.7749766573295985,1.0,0.3383415196119735,476,1.0,0.06,1.0,0.8014169000933707,1.0,0.313033646222062,476,1.0,0.0,1.0,0.7961134453781513,1.0,0.3277447442480916,476,1.0,0.12,1.0,0.7855835667600374,1.0,0.3158347373701943,476,1.0,0.0,0.0,0.213562091503268,1.0,0.3387085429708917,5.965793515735279,"{'has_nbi_global': True, 'has_ip_global': True, 'has_density_global': True, 'has_dalpha_global': True, 'has_softx_lower_global': True, 'has_softx_upper_global': True, 'has_te_global': True, 'has_ne_global': True}",outputs\reports\tokamark_shot_11823_m_edge_confidence_revision.csv,outputs\reports\tokamark_shot_11823_m_edge_confidence_revision.json,outputs\reports\tokamark_shot_11823_m_edge_confidence_revision.md,6,ok
6,12069,FULL_PROFILE_EDGE_CANDIDATE,97.143,class_balanced_FULL_PROFILE_EDGE_CANDIDATE,selected to fill target bucket for FULL_PROFILE_EDGE_CANDIDATE,FULL_PROFILE_EDGE_CANDIDATE,M5,train,8,2,2,10,,,,336,FULL_PROFILE_EDGE_CANDIDATE,97.143,M5,train,8,2,2,10,,,,16,0,151,44,122,19,0.4494047619047619,0.1309523809523809,0.3630952380952381,0.056547619047619,97,83,137,19,0.2886904761904761,0.2470238095238095,0.4077380952380952,0.056547619047619,317,0.9434523809523808,-0.4713792435933392,0.1891510757719454,0.1620841852768106,0.5956467858177973,0.2457097712308832,336,1.0,-1.12,0.075078573083799,-0.0584002534532042,0.443231198856226,0.3812084822915573,336,1.0,-0.3116246791480707,0.1525417264249541,0.1425604486958888,0.5294638096158197,0.1984417591153279,317,0.9434523809523808,-0.5717879586125516,-0.1189498346427718,-0.1568554318391975,1.1102230246251563e-16,0.1167655366370296,336,1.0,0.3,1.0,0.9604166666666666,1.0,0.1616833109988645,336,1.0,0.0,1.0,0.9434523809523808,1.0,0.2309761585698065,336,1.0,0.0,1.0,0.9434523809523808,1.0,0.2309761585698065,336,1.0,0.0,1.0,0.6994047619047619,1.0,0.4585168927419197,336,1.0,0.0,0.0,0.0744047619047619,1.0,0.2624284536986369,336,1.0,0.0,0.7777777777777778,0.6960978835978836,1.0,0.2079958108246984,336,1.0,0.06,0.8888888888888888,0.7865608465608467,1.0,0.2143312863880094,336,1.0,0.0,0.8,0.7330357142857143,1.0,0.2004333368828988,336,1.0,0.12,0.9555555555555556,0.8031481481481481,1.0,0.2541747162881406,336,1.0,0.0,0.0111111111111111,0.1665343915343915,1.0,0.2690684610033275,5.409275898052082,"{'has_nbi_global': True, 'has_ip_global': True, 'has_density_global': True, 'has_dalpha_global': True, 'has_softx_lower_global': True, 'has_softx_upper_global': True, 'has_te_global': True, 'has_ne_global': True}",outputs\reports\tokamark_shot_12069_m_edge_confidence_revision.csv,outputs\reports\tokamark_shot_12069_m_edge_confidence_revision.json,outputs\reports\tokamark_shot_12069_m_edge_confidence_revision.md,7,ok
1,12063,FULL_PROFILE_EDGE_CANDIDATE,97.143,reference_anchor,predefined calibration anchor from five-shot confidence panel,FULL_PROFILE_EDGE_CANDIDATE,M5,val,8,2,2,10,,,,426,FULL_PROFILE_EDGE_CANDIDATE,97.143,M5,val,8,2,2,10,,,,16,0,110,48,209,59,0.2582159624413145,0.1126760563380281,0.4906103286384976,0.1384976525821596,72,92,203,59,0.1690140845070422,0.215962441314554,0.4765258215962441,0.1384976525821596,367,0.8615023474178404,-0.7706091622560678,0.0879610430048148,0.0551109745890601,0.4756954508722634,0.2454336438015287,426,1.0,-1.12,-0.0217340844611525,-0.1979553719457925,0.3555398864010061,0.4555156007231424,426,1.0,-0.4837713074163092,0.0424959824322522,0.0601518732568976,0.4228404007753452,0.1789467070475715,367,0.8615023474178404,-0.4267141208955053,-0.1101624299911331,-0.1048357387550209,1.3877787807814454e-16,0.1034826171914167,426,1.0,0.3,1.0,0.9030516431924882,1.0,0.2417950906813072,426,1.0,0.0,1.0,0.8615023474178404,1.0,0.3454215581161532,426,1.0,0.0,1.0,0.8615023474178404,1.0,0.3454215581161532,426,1.0,0.0,1.0,0.6596244131455399,1.0,0.473835463771911,426,1.0,0.0,0.0,0.272300469483568,1.0,0.4451437114040773,426,1.0,0.0,0.7777777777777778,0.6857068335941575,1.0,0.3142000784228979,426,1.0,0.06,0.8888888888888888,0.7516327595200837,1.0,0.3056829729272675,426,1.0,0.0,0.8,0.7133802816901409,1.0,0.3107568090210933,426,1.0,0.12,0.9555555555555556,0.7622117892540426,1.0,0.3157938440411341,426,1.0,0.0,0.0111111111111111,0.2280386019822639,1.0,0.3500470964074729,2.111392761847396,"{'has_nbi_global': True, 'has_ip_global': True, 'has_density_global': True, 'has_dalpha_global': True, 'has_softx_lower_global': True, 'has_softx_upper_global': True, 'has_te_global': True, 'has_ne_global': True}",outputs\reports\tokamark_shot_12063_m_edge_confidence_revision.csv,outputs\reports\tokamark_shot_12063_m_edge_confidence_revision.json,outputs\reports\tokamark_shot_12063_m_edge_confidence_revision.md,8,ok
10,11946,FULL_PROFILE_EDGE_CANDIDATE,96.429,shortage_filler,selected because one or more target classes had insufficient candidates,FULL_PROFILE_EDGE_CANDIDATE,M5,train,8,2,2,9,,,,546,FULL_PROFILE_EDGE_CANDIDATE,96.429,M5,train,8,2,2,9,,,,16,0,63,0,433,50,0.1153846153846153,0.0,0.793040293040293,0.0915750915750915,49,111,336,50,0.0897435897435897,0.2032967032967033,0.6153846153846154,0.0915750915750915,496,0.9084249084249084,-0.1865181854676153,0.0453373050482241,0.0628523347236167,0.4776080487909965,0.1199166939412031,546,1.0,-1.12,-0.0275021222430058,-0.13517800830651,0.4211990482511263,0.362323987700386,546,1.0,-0.1170919719880029,0.0170286279584421,0.0496723048850389,0.4211990482511263,0.1050177479457304,496,0.9084249084249084,-0.723427030981233,-2.775557561562892e-17,-0.0992717085268039,1.3877787807814454e-16,0.1795890928325814,546,1.0,0.3,1.0,0.9371794871794872,1.0,0.2000698431631482,546,1.0,0.0,1.0,0.9010989010989012,1.0,0.2985291803781566,546,1.0,0.0,1.0,0.9084249084249084,1.0,0.2884251968502495,546,1.0,0.0,1.0,0.6959706959706959,1.0,0.4599950938007502,546,1.0,0.0,1.0,0.6868131868131868,1.0,0.4637896433003882,546,1.0,0.0,1.0,0.8113553113553114,1.0,0.3129407708752635,546,1.0,0.06,1.0,0.8329487179487179,1.0,0.2873847208689241,546,1.0,0.0,1.0,0.8304029304029303,1.0,0.3006565202046945,546,1.0,0.12,1.0,0.8155311355311354,1.0,0.2944119046389661,546,1.0,0.0,0.0,0.181043956043956,1.0,0.3097567291179921,1.6720684261725824,"{'has_nbi_global': True, 'has_ip_global': True, 'has_density_global': True, 'has_dalpha_global': True, 'has_softx_lower_global': True, 'has_softx_upper_global': True, 'has_te_global': True, 'has_ne_global': True}",outputs\reports\tokamark_shot_11946_m_edge_confidence_revision.csv,outputs\reports\tokamark_shot_11946_m_edge_confidence_revision.json,outputs\reports\tokamark_shot_11946_m_edge_confidence_revision.md,9,ok
7,12076,FULL_PROFILE_EDGE_CANDIDATE,97.143,class_balanced_FULL_PROFILE_EDGE_CANDIDATE,selected to fill target bucket for FULL_PROFILE_EDGE_CANDIDATE,FULL_PROFILE_EDGE_CANDIDATE,M5,val,8,2,2,10,,,,371,FULL_PROFILE_EDGE_CANDIDATE,97.143,M5,val,8,2,2,10,,,,16,0,72,50,189,60,0.1940700808625337,0.1347708894878706,0.5094339622641509,0.1617250673854447,38,105,168,60,0.1024258760107816,0.2830188679245283,0.4528301886792453,0.1617250673854447,311,0.8382749326145552,-0.7760944827751256,0.079547124417117,0.0239952171018525,0.5179550307500518,0.2480340599591452,371,1.0,-1.12,-0.1036195320145401,-0.277236956579529,0.3717578265977823,0.45091274133726,371,1.0,-0.4872148697421621,0.0140163891896687,0.0333342212208288,0.4604044717778238,0.1730797245705397,311,0.8382749326145552,-0.4403260193328435,-0.1190270772191717,-0.1386412328285576,1.3877787807814454e-16,0.1164569257433946,371,1.0,0.3,1.0,0.8867924528301887,1.0,0.2577388877966669,371,1.0,0.0,1.0,0.8382749326145552,1.0,0.3681984111380956,371,1.0,0.0,1.0,0.8382749326145552,1.0,0.3681984111380956,371,1.0,0.0,1.0,0.5822102425876011,1.0,0.4931951703065306,371,1.0,0.0,0.0,0.1509433962264151,1.0,0.3579936973775524,371,1.0,0.0,0.7777777777777778,0.6286313267445343,1.0,0.3093350669367833,371,1.0,0.06,0.8888888888888888,0.7047469302186284,1.0,0.31068920341542,371,1.0,0.0,0.8,0.6623989218328843,1.0,0.310433854127727,371,1.0,0.12,0.9555555555555556,0.7133273435160228,1.0,0.324211640052041,371,1.0,0.0,0.0111111111111111,0.2746331236897275,1.0,0.3633235759450963,-0.4260560748667297,"{'has_nbi_global': True, 'has_ip_global': True, 'has_density_global': True, 'has_dalpha_global': True, 'has_softx_lower_global': True, 'has_softx_upper_global': True, 'has_te_global': True, 'has_ne_global': True}",outputs\reports\tokamark_shot_12076_m_edge_confidence_revision.csv,outputs\reports\tokamark_shot_12076_m_edge_confidence_revision.json,outputs\reports\tokamark_shot_12076_m_edge_confidence_revision.md,10,ok
