label,array_path,source,values_shape,values_dtype,time_shape,time_min,time_max,time_count,finite_count,total_count,finite_fraction,min,p05,median,mean,p95,max,std,chunks,total_chunks,downloaded_chunks,missing_chunks
summary_power_nbi,summary/power_nbi,summary,"(1981,)",float64,"(1981,)",-0.06760000437498093,0.4273999956250195,1981,1750,1981,0.8833922261484098,-18.192447662353516,-4.715795040130615,1.1421421766281128,3.100584854756083,17.39275360107422,35.68702697753906,6.532261993905757,[1981],1,1,0
summary_ip,summary/ip,summary,"(1981,)",float64,"(1981,)",-0.06760000437498093,0.4273999956250195,1981,1981,1981,1.0,-87533.125,-4022.447021484375,519527.40625,366184.4388840229,555486.875,586442.625,237639.8658680003,[1981],1,1,0
interferometer_n_e_line,interferometer/n_e_line,interferometer,"(1981,)",float64,"(1981,)",-0.06760000437498093,0.4273999956250195,1981,1750,1981,0.8833922261484098,8.778737231163556e+17,8.634444581910978e+18,1.1065656105946946e+20,1.0275574772504368e+20,1.7638481465288622e+20,2.0421625286869647e+20,5.6843912170415284e+19,[1981],1,1,0
dalpha_voltage,spectrometer_visible/filter_spectrometer_dalpha_voltage,spectrometer_visible,"(3, 24761)",float64,"(24761,)",-0.06760000437498093,0.4275999956251707,24761,65640,74283,0.8836476717418521,-0.01220703125,-0.0048828125,0.37841796875,0.5097561033668495,1.083984375,3.59619140625,0.4071544904611769,"[2, 12381]",4,4,0
soft_x_lower,soft_x_rays/horizontal_cam_lower,soft_x_rays,"(18, 24761)",float64,"(24761,)",-0.06760000437498093,0.4275999956251707,24761,393840,445698,0.8836476717418521,-0.006504058837890625,-0.0019073486328125,0.00011444091796875,0.0064601847342352255,0.039520263671875,0.201873779296875,0.01771742941860857,"[5, 12381]",8,8,0
soft_x_upper,soft_x_rays/horizontal_cam_upper,soft_x_rays,"(18, 24761)",float64,"(24761,)",-0.06760000437498093,0.4275999956251707,24761,393840,445698,0.8836476717418521,-0.07808685302734375,-0.008852005004882785,0.000209808349609375,0.0046313781939748095,0.036773681640625,0.18035888671875,0.01779576055735686,"[5, 12381]",8,8,0
equilibrium_q95,equilibrium/q95,equilibrium,"(100,)",float64,"(100,)",-0.06760000437498093,0.4273999956250195,100,64,100,0.64,5.646402359008789,5.816497421264648,8.762706279754639,8.642905987799168,12.73439288139343,13.197575569152832,1.8797544941015454,[100],1,1,0
equilibrium_elongation,equilibrium/elongation,equilibrium,"(100,)",float64,"(100,)",-0.06760000437498093,0.4273999956250195,100,64,100,0.64,1.5552529096603394,1.580375999212265,1.714139461517334,1.750652788206935,1.9056960701942445,2.023895025253296,0.1071986798153671,[100],1,1,0
equilibrium_triangularity_upper,equilibrium/triangularity_upper,equilibrium,"(100,)",float64,"(100,)",-0.06760000437498093,0.4273999956250195,100,64,100,0.64,0.24820257723331451,0.27407529950141907,0.3543922156095505,0.3491115670185536,0.3869744762778282,0.42869675159454346,0.03460204791037958,[100],1,1,0
equilibrium_triangularity_lower,equilibrium/triangularity_lower,equilibrium,"(100,)",float64,"(100,)",-0.06760000437498093,0.4273999956250195,100,64,100,0.64,0.21457457542419434,0.27407529950141907,0.38596242666244507,0.386637870920822,0.45100775063037873,0.4534914493560791,0.05652450268415008,[100],1,1,0
equilibrium_minor_radius,equilibrium/minor_radius,equilibrium,"(100,)",float64,"(100,)",-0.06760000437498093,0.4273999956250195,100,64,100,0.64,0.5602985620498657,0.5738420605659484,0.5959621667861938,0.6008013281971216,0.6555124044418335,0.6674168109893799,0.023084560129447228,[100],1,1,0
equilibrium_beta_normal,equilibrium/beta_normal,equilibrium,"(100,)",float64,"(100,)",-0.06760000437498093,0.4273999956250195,100,64,100,0.64,0.10463789105415344,0.15049180388450623,0.7768374681472778,0.7255585001548752,1.245001363754272,1.3391145467758179,0.3228322205390032,[100],1,1,0
equilibrium_beta_pol,equilibrium/beta_pol,equilibrium,"(100,)",float64,"(100,)",-0.06760000437498093,0.4273999956250195,100,64,100,0.64,0.02944878116250038,0.045484408363699914,0.19714099913835526,0.18134890944929793,0.3010257884860037,0.3302460312843323,0.07250096324099016,[100],1,1,0
equilibrium_whmd,equilibrium/whmd,equilibrium,"(100,)",float64,"(100,)",-0.06760000437498093,0.4273999956250195,100,64,100,0.64,38056.4453125,67402.241015625,86045.5390625,86070.17962646484,106235.93125,107868.234375,14159.901256029796,[100],1,1,0
