object_id,phase,layer,pdg_section,pdg_name,symbol,category,generation,components,component_charges,Q_over_e,anti_symbol,anti_Q_over_e,free_external,confined,fractional_internal,integer_external,neutral_external,closure_error,closure_class,route_class,source_file,source_url,source_note,verification_status,notes
L_A_001,1,A_external_closures,Leptons,electron,e-,charged lepton,1,,,-1,e+,+1,yes,no,no,yes,no,0,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,rpp2026-sum-leptons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html,PDG 2026 Summary Tables / Leptons,verified_from_uploaded_pdf,primitive negative external closure
L_A_002,1,A_external_closures,Leptons,positron,e+,charged antilepton,1,,,+1,e-,-1,yes,no,no,yes,no,0,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,rpp2026-sum-leptons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html,PDG 2026 Summary Tables / Leptons,verified_from_uploaded_pdf,primitive positive external closure
L_A_003,1,A_external_closures,Leptons,muon,mu-,charged lepton,2,,,-1,mu+,+1,yes,no,no,yes,no,0,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,rpp2026-sum-leptons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html,PDG 2026 Summary Tables / Leptons,verified_from_uploaded_pdf,second-generation charged lepton closure
L_A_004,1,A_external_closures,Leptons,antimuon,mu+,charged antilepton,2,,,+1,mu-,-1,yes,no,no,yes,no,0,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,rpp2026-sum-leptons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html,PDG 2026 Summary Tables / Leptons,verified_from_uploaded_pdf,positive second-generation closure
L_A_005,1,A_external_closures,Leptons,tau,tau-,charged lepton,3,,,-1,tau+,+1,yes,no,no,yes,no,0,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,rpp2026-sum-leptons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html,PDG 2026 Summary Tables / Leptons,verified_from_uploaded_pdf,third-generation charged lepton closure
L_A_006,1,A_external_closures,Leptons,antitau,tau+,charged antilepton,3,,,+1,tau-,-1,yes,no,no,yes,no,0,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,rpp2026-sum-leptons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html,PDG 2026 Summary Tables / Leptons,verified_from_uploaded_pdf,positive third-generation closure
L_A_007,1,A_external_closures,Leptons,electron neutrino,nu_e,neutral lepton,1,,,0,anti-nu_e,0,yes,no,no,yes,yes,0,FREE_NEUTRAL_CLOSURE,EXTERNAL_CLOSURE,rpp2026-sum-leptons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html,PDG 2026 Summary Tables / Leptons / Neutrino properties,verified_from_uploaded_pdf,primitive neutral lepton closure
L_A_008,1,A_external_closures,Leptons,muon neutrino,nu_mu,neutral lepton,2,,,0,anti-nu_mu,0,yes,no,no,yes,yes,0,FREE_NEUTRAL_CLOSURE,EXTERNAL_CLOSURE,rpp2026-sum-leptons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html,PDG 2026 Summary Tables / Leptons / Neutrino properties,verified_from_uploaded_pdf,neutral second-generation closure
L_A_009,1,A_external_closures,Leptons,tau neutrino,nu_tau,neutral lepton,3,,,0,anti-nu_tau,0,yes,no,no,yes,yes,0,FREE_NEUTRAL_CLOSURE,EXTERNAL_CLOSURE,rpp2026-sum-leptons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html,PDG 2026 Summary Tables / Leptons / Neutrino properties,verified_from_uploaded_pdf,neutral third-generation closure
L_A_010,1,A_external_closures,Gauge and Higgs Bosons,photon,gamma,gauge boson,,,,0,gamma,0,yes,no,no,yes,yes,0,FREE_NEUTRAL_CLOSURE,EXTERNAL_CLOSURE,rpp2026-sum-gauge-higgs-bosons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html,PDG 2026 Summary Tables / Gauge and Higgs Bosons,verified_from_uploaded_pdf,electromagnetic neutral carrier
L_A_011,1,A_external_closures,Gauge and Higgs Bosons,W boson,W-,weak gauge boson,,,,-1,W+,+1,yes,no,no,yes,no,0,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,rpp2026-sum-gauge-higgs-bosons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html,PDG 2026 Summary Tables / Gauge and Higgs Bosons,verified_from_uploaded_pdf,charged weak carrier
