object_id,phase,layer,pdg_section,pdg_name,symbol,category,generation,components,component_charges,Q_over_e,anti_symbol,anti_Q_over_e,free_external,confined,fractional_internal,integer_external,neutral_external,closure_error,closure_class,route_class,verification_status,source_file,source_note,notes
L_A_001,Phase 1,A_external_closures,Leptons,electron,e-,charged lepton,1,,,-1,e+,+1,yes,no,no,yes,no,0,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,verified,rpp2026-sum-leptons.pdf,PDG Leptons summary lists e section and charge-conjugate electron/positron charge comparison.,primitive negative external closure
L_A_002,Phase 1,A_external_closures,Leptons,positron,e+,charged antilepton,1,,,+1,e-,-1,yes,no,no,yes,no,0,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,verified,rpp2026-sum-leptons.pdf,PDG Leptons summary lists e section and charge-conjugate electron/positron charge comparison.,primitive positive external closure
L_A_003,Phase 1,A_external_closures,Leptons,muon,mu-,charged lepton,2,,,-1,mu+,+1,yes,no,no,yes,no,0,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,verified,rpp2026-sum-leptons.pdf,PDG Leptons summary lists mu section and states mu+ modes are charge conjugates of the mu- modes.,second-generation charged lepton closure
L_A_004,Phase 1,A_external_closures,Leptons,antimuon,mu+,charged antilepton,2,,,+1,mu-,-1,yes,no,no,yes,no,0,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,verified,rpp2026-sum-leptons.pdf,PDG Leptons summary lists mu section and states mu+ modes are charge conjugates of the mu- modes.,positive second-generation closure
L_A_005,Phase 1,A_external_closures,Leptons,tau,tau-,charged lepton,3,,,-1,tau+,+1,yes,no,no,yes,no,0,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,verified,rpp2026-sum-leptons.pdf,PDG Leptons summary lists tau section and states tau+ modes are charge conjugates of the tau- modes.,third-generation charged lepton closure
L_A_006,Phase 1,A_external_closures,Leptons,antitau,tau+,charged antilepton,3,,,+1,tau-,-1,yes,no,no,yes,no,0,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,verified,rpp2026-sum-leptons.pdf,PDG Leptons summary lists tau section and states tau+ modes are charge conjugates of the tau- modes.,positive third-generation closure
L_A_007,Phase 1,A_external_closures,Leptons / Neutrino Properties,electron neutrino,nu_e,neutral lepton,1,,,0,anti-nu_e,0,yes,no,no,yes,yes,0,FREE_NEUTRAL_CLOSURE,EXTERNAL_CLOSURE,verified,rpp2026-sum-leptons.pdf,PDG Leptons summary contains a Neutrino Properties section and neutrino-type counts.,primitive neutral lepton closure
L_A_008,Phase 1,A_external_closures,Leptons / Neutrino Properties,muon neutrino,nu_mu,neutral lepton,2,,,0,anti-nu_mu,0,yes,no,no,yes,yes,0,FREE_NEUTRAL_CLOSURE,EXTERNAL_CLOSURE,verified,rpp2026-sum-leptons.pdf,PDG Leptons summary contains a Neutrino Properties section and neutrino-type counts.,neutral second-generation closure
L_A_009,Phase 1,A_external_closures,Leptons / Neutrino Properties,tau neutrino,nu_tau,neutral lepton,3,,,0,anti-nu_tau,0,yes,no,no,yes,yes,0,FREE_NEUTRAL_CLOSURE,EXTERNAL_CLOSURE,verified,rpp2026-sum-leptons.pdf,PDG Leptons summary contains a Neutrino Properties section and neutrino-type counts.,neutral third-generation closure
L_A_010,Phase 1,A_external_closures,Gauge and Higgs Bosons,photon,gamma,gauge boson,,,,0,gamma,0,yes,no,no,yes,yes,0,FREE_NEUTRAL_CLOSURE,EXTERNAL_CLOSURE,verified,rpp2026-sum-gauge-higgs-bosons.pdf,"PDG Gauge/Higgs summary lists photon charge bounds far below e, treated here as neutral closure for the corpus.",electromagnetic neutral carrier
L_A_011,Phase 1,A_external_closures,Gauge and Higgs Bosons,W boson,W-,weak gauge boson,,,,-1,W+,+1,yes,no,no,yes,no,0,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,verified,rpp2026-sum-gauge-higgs-bosons.pdf,PDG Gauge/Higgs summary explicitly lists W charge as ±1e.,negative charged weak carrier
L_A_012,Phase 1,A_external_closures,Gauge and Higgs Bosons,W boson,W+,weak gauge boson,,,,+1,W-,-1,yes,no,no,yes,no,0,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,verified,rpp2026-sum-gauge-higgs-bosons.pdf,PDG Gauge/Higgs summary explicitly lists W charge as ±1e.,positive charged weak carrier
L_A_013,Phase 1,A_external_closures,Gauge and Higgs Bosons,Z boson,Z,weak gauge boson,,,,0,Z,0,yes,no,no,yes,yes,0,FREE_NEUTRAL_CLOSURE,EXTERNAL_CLOSURE,verified,rpp2026-sum-gauge-higgs-bosons.pdf,PDG Gauge/Higgs summary explicitly lists Z charge as 0.,neutral weak carrier
L_A_014,Phase 1,A_external_closures,Gauge and Higgs Bosons,Higgs boson,H,scalar boson,,,,0,H,0,yes,no,no,yes,yes,0,FREE_NEUTRAL_CLOSURE,EXTERNAL_CLOSURE,verified,rpp2026-sum-gauge-higgs-bosons.pdf,"PDG Gauge/Higgs summary lists H, formerly H0, as the neutral Higgs boson entry.",neutral scalar closure
