value,object_id,layer,pdg_name,symbol,category,Q_over_e,closure_class,route_class,encoding,source_file,notes
0,L_A_007,A_external_closures,electron neutrino,nu_e,neutral lepton,0,FREE_NEUTRAL_CLOSURE,EXTERNAL_CLOSURE,boundary_route_coordinate,rpp2026-sum-leptons.pdf,primitive neutral lepton closure
0,L_A_008,A_external_closures,muon neutrino,nu_mu,neutral lepton,0,FREE_NEUTRAL_CLOSURE,EXTERNAL_CLOSURE,boundary_route_coordinate,rpp2026-sum-leptons.pdf,neutral second-generation closure
0,L_A_009,A_external_closures,tau neutrino,nu_tau,neutral lepton,0,FREE_NEUTRAL_CLOSURE,EXTERNAL_CLOSURE,boundary_route_coordinate,rpp2026-sum-leptons.pdf,neutral third-generation closure
0,L_A_010,A_external_closures,photon,gamma,gauge boson,0,FREE_NEUTRAL_CLOSURE,EXTERNAL_CLOSURE,boundary_route_coordinate,rpp2026-sum-gauge-higgs-bosons.pdf,electromagnetic neutral carrier
0,L_A_013,A_external_closures,Z boson,Z,weak gauge boson,0,FREE_NEUTRAL_CLOSURE,EXTERNAL_CLOSURE,boundary_route_coordinate,rpp2026-sum-gauge-higgs-bosons.pdf,neutral weak carrier
0,L_A_014,A_external_closures,Higgs boson,H,scalar boson,0,FREE_NEUTRAL_CLOSURE,EXTERNAL_CLOSURE,boundary_route_coordinate,rpp2026-sum-gauge-higgs-bosons.pdf,neutral scalar closure
0.25,L_A_001,A_external_closures,electron,e-,charged lepton,-1,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,boundary_route_coordinate,rpp2026-sum-leptons.pdf,primitive negative external closure
0.25,L_A_002,A_external_closures,positron,e+,charged antilepton,+1,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,boundary_route_coordinate,rpp2026-sum-leptons.pdf,primitive positive external closure
0.25,L_A_003,A_external_closures,muon,mu-,charged lepton,-1,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,boundary_route_coordinate,rpp2026-sum-leptons.pdf,second-generation charged lepton closure
0.25,L_A_004,A_external_closures,antimuon,mu+,charged antilepton,+1,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,boundary_route_coordinate,rpp2026-sum-leptons.pdf,positive second-generation closure
0.25,L_A_005,A_external_closures,tau,tau-,charged lepton,-1,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,boundary_route_coordinate,rpp2026-sum-leptons.pdf,third-generation charged lepton closure
0.25,L_A_006,A_external_closures,antitau,tau+,charged antilepton,+1,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,boundary_route_coordinate,rpp2026-sum-leptons.pdf,positive third-generation closure
0.25,L_A_011,A_external_closures,W boson,W-,weak gauge boson,-1,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,boundary_route_coordinate,rpp2026-sum-gauge-higgs-bosons.pdf,negative charged weak carrier
0.25,L_A_012,A_external_closures,W boson,W+,weak gauge boson,+1,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,boundary_route_coordinate,rpp2026-sum-gauge-higgs-bosons.pdf,positive charged weak carrier
0.5,L_B_001,B_confined_fractional,up quark,u,up-type quark,+2/3,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,boundary_route_coordinate,rpp2026-sum-quarks.pdf,fractional charge coordinate; not a free external closure
0.5,L_B_002,B_confined_fractional,down quark,d,down-type quark,-1/3,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,boundary_route_coordinate,rpp2026-sum-quarks.pdf,fractional charge coordinate; not a free external closure
0.5,L_B_003,B_confined_fractional,strange quark,s,down-type quark,-1/3,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,boundary_route_coordinate,rpp2026-sum-quarks.pdf,fractional charge coordinate; not a free external closure
0.5,L_B_004,B_confined_fractional,charm quark,c,up-type quark,+2/3,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,boundary_route_coordinate,rpp2026-sum-quarks.pdf,fractional charge coordinate; not a free external closure
0.5,L_B_005,B_confined_fractional,bottom quark,b,down-type quark,-1/3,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,boundary_route_coordinate,rpp2026-sum-quarks.pdf,fractional charge coordinate; not a free external closure
0.5,L_B_006,B_confined_fractional,top quark,t,up-type quark,+2/3,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,boundary_route_coordinate,rpp2026-sum-quarks.pdf,fractional charge coordinate; not a free external closure
0.5,L_B_007,B_confined_fractional,anti-up quark,anti-u,anti-up-type quark,-2/3,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,boundary_route_coordinate,rpp2026-sum-quarks.pdf,fractional charge coordinate; not a free external closure
0.5,L_B_008,B_confined_fractional,anti-down quark,anti-d,anti-down-type quark,+1/3,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,boundary_route_coordinate,rpp2026-sum-quarks.pdf,fractional charge coordinate; not a free external closure
0.5,L_B_009,B_confined_fractional,anti-strange quark,anti-s,anti-down-type quark,+1/3,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,boundary_route_coordinate,rpp2026-sum-quarks.pdf,fractional charge coordinate; not a free external closure
0.5,L_B_010,B_confined_fractional,anti-charm quark,anti-c,anti-up-type quark,-2/3,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,boundary_route_coordinate,rpp2026-sum-quarks.pdf,fractional charge coordinate; not a free external closure
0.5,L_B_011,B_confined_fractional,anti-bottom quark,anti-b,anti-down-type quark,+1/3,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,boundary_route_coordinate,rpp2026-sum-quarks.pdf,fractional charge coordinate; not a free external closure
0.5,L_B_012,B_confined_fractional,anti-top quark,anti-t,anti-up-type quark,-2/3,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,boundary_route_coordinate,rpp2026-sum-quarks.pdf,fractional charge coordinate; not a free external closure
0.75,L_C_002,C_composite_closures,neutron,n,baryon,0,COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_CLOSURE,boundary_route_coordinate,rpp2026-sum-baryons.pdf,composite neutral closure
0.75,L_C_006,C_composite_closures,neutral pion,pi0,meson,0,COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_CLOSURE,boundary_route_coordinate,rpp2026-sum-mesons.pdf,meson neutral closure
0.75,L_C_009,C_composite_closures,neutral kaon,K0,meson,0,COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_CLOSURE,boundary_route_coordinate,rpp2026-sum-mesons.pdf,strange meson neutral closure
1,L_C_001,C_composite_closures,proton,p,baryon,+1,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,boundary_route_coordinate,rpp2026-sum-baryons.pdf,stable composite +1 closure
1,L_C_003,C_composite_closures,Delta++,Delta++,baryon resonance,+2,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,boundary_route_coordinate,rpp2026-sum-baryons.pdf,composite +2 closure
1,L_C_004,C_composite_closures,Omega-,Omega-,baryon,-1,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,boundary_route_coordinate,rpp2026-sum-baryons.pdf,strange-baryon -1 closure
1,L_C_005,C_composite_closures,charged pion plus,pi+,meson,+1,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,boundary_route_coordinate,rpp2026-sum-mesons.pdf,meson +1 closure
1,L_C_007,C_composite_closures,charged pion minus,pi-,meson,-1,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,boundary_route_coordinate,rpp2026-sum-mesons.pdf,meson -1 closure
1,L_C_008,C_composite_closures,charged kaon plus,K+,meson,+1,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,boundary_route_coordinate,rpp2026-sum-mesons.pdf,strange meson +1 closure
1,L_C_010,C_composite_closures,charged kaon minus,K-,meson,-1,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,boundary_route_coordinate,rpp2026-sum-mesons.pdf,strange meson -1 closure
1.25,L_D_001,D_boundary_absences,free quark searches,free quark,boundary absence,not observed,TERMINAL_FREE_FRACTIONAL,BOUNDARY_ABSENCE,boundary_route_coordinate,rpp2026-sum-quarks.pdf,free fractional externalization not observed
1.5,L_D_002,D_boundary_absences,magnetic monopole searches,magnetic monopole,dual boundary candidate,not observed,UNRESOLVED_DUAL_BOUNDARY,DUAL_BOUNDARY_CANDIDATE,boundary_route_coordinate,rpp2026-sum-searches.pdf,Dirac-style dual charge anchor not observed
