value,bridge_id,bridge_label,bridge_layers,object_id,phase,layer,pdg_section,pdg_name,symbol,category,components,component_charges,Q_over_e,closure_class,route_class,encoding,source_file,source_note,notes
1,BC,B <-> C,BC,L_B_001,Phase 1,B_confined_fractional,Quarks,up quark,u,up-type quark,,,+2/3,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,route_class_code,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
1,BC,B <-> C,BC,L_B_002,Phase 1,B_confined_fractional,Quarks,down quark,d,down-type quark,,,-1/3,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,route_class_code,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
1,BC,B <-> C,BC,L_B_003,Phase 1,B_confined_fractional,Quarks,strange quark,s,down-type quark,,,-1/3,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,route_class_code,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
1,BC,B <-> C,BC,L_B_004,Phase 1,B_confined_fractional,Quarks,charm quark,c,up-type quark,,,+2/3,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,route_class_code,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
1,BC,B <-> C,BC,L_B_005,Phase 1,B_confined_fractional,Quarks,bottom quark,b,down-type quark,,,-1/3,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,route_class_code,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
1,BC,B <-> C,BC,L_B_006,Phase 1,B_confined_fractional,Quarks,top quark,t,up-type quark,,,+2/3,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,route_class_code,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
1,BC,B <-> C,BC,L_B_007,Phase 1,B_confined_fractional,Quarks,anti-up quark,anti-u,anti-up-type quark,,,-2/3,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,route_class_code,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
1,BC,B <-> C,BC,L_B_008,Phase 1,B_confined_fractional,Quarks,anti-down quark,anti-d,anti-down-type quark,,,+1/3,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,route_class_code,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
1,BC,B <-> C,BC,L_B_009,Phase 1,B_confined_fractional,Quarks,anti-strange quark,anti-s,anti-down-type quark,,,+1/3,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,route_class_code,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
1,BC,B <-> C,BC,L_B_010,Phase 1,B_confined_fractional,Quarks,anti-charm quark,anti-c,anti-up-type quark,,,-2/3,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,route_class_code,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
