encoding_name,source_column,value_type,n_rows,n_unique,min,max,mean,is_constant,recommended_for_struc_perc,recommended_for_struc_i,notes
route_charge_consistency_code,route_charge_consistency_code,numeric,48,6,0.0,5.0,2.0833333333333335,0,1,1,primary
closure_charge_consistency_code,closure_charge_consistency_code,numeric,48,6,0.0,5.0,2.0833333333333335,0,1,1,primary
allowed_vs_forbidden_code,allowed_vs_forbidden_code,numeric,48,6,0.0,5.0,2.3333333333333335,0,1,1,primary
boundary_pressure_index,boundary_pressure_index,numeric,48,5,0.0,2.25,0.9375,0,1,1,primary
boundary_response_code,boundary_response_code,numeric,48,6,0.0,5.0,2.3333333333333335,0,1,1,primary
route_transition_code,route_transition_code,numeric,48,11,0.0,10.0,5.041666666666667,0,1,1,primary
closure_transition_code,closure_transition_code,numeric,48,24,0.0,23.0,11.041666666666666,0,1,1,primary
transition_class_code,transition_class_code,numeric,48,7,0.0,6.0,2.8541666666666665,0,1,1,primary
transition_status_code,transition_status_code,numeric,48,4,0.0,3.0,1.5833333333333333,0,1,1,primary
charge_balance_abs_error,charge_balance_abs_error,numeric,48,3,0.0,2.0,0.1875,0,1,1,primary
electric_charge_violation_flag,electric_charge_violation_flag,numeric,48,2,0.0,1.0,0.16666666666666666,0,1,1,primary
free_fractional_externalization_flag,free_fractional_externalization_flag,numeric,48,2,0.0,1.0,0.16666666666666666,0,1,1,primary
selection_violation_flag,selection_violation_flag,numeric,48,2,0.0,1.0,0.25,0,1,1,primary
route_incoherence_flag,route_incoherence_flag,numeric,48,2,0.0,1.0,0.3333333333333333,0,1,1,primary
forbidden_flag,forbidden_flag,numeric,48,2,0.0,1.0,0.75,0,1,1,primary
initial_total_charge,initial_total_charge,numeric,48,4,-1.0,2.0,0.20833333333333334,0,0,0,secondary
final_total_charge,final_total_charge,numeric,48,4,-1.0,2.0,0.1875,0,0,0,secondary
charge_balance_error,charge_balance_error,numeric,48,4,-2.0,1.0,-0.020833333333333332,0,0,0,secondary
charge_balance_code,charge_balance_code,numeric,48,3,0.0,2.0,0.25,0,0,0,secondary
layer_transition_code,layer_transition_code,numeric,48,11,0.0,10.0,4.958333333333333,0,0,0,secondary
category_transition_code,category_transition_code,numeric,48,35,0.0,34.0,17.6875,0,0,0,secondary
transition_family_code,transition_family_code,numeric,48,18,0.0,17.0,7.958333333333333,0,0,0,secondary
initial_multiplicity,initial_multiplicity,numeric,48,1,1.0,1.0,1.0,1,0,0,secondary; constant_or_single_value; avoid first-pass chamber upload
final_multiplicity,final_multiplicity,numeric,48,3,1.0,3.0,2.0833333333333335,0,0,0,secondary
multiplicity_delta,multiplicity_delta,numeric,48,3,0.0,2.0,1.0833333333333333,0,0,0,secondary
initial_charged_multiplicity,initial_charged_multiplicity,numeric,48,2,0.0,1.0,0.6875,0,0,0,secondary
final_charged_multiplicity,final_charged_multiplicity,numeric,48,4,0.0,3.0,1.0625,0,0,0,secondary
charged_multiplicity_delta,charged_multiplicity_delta,numeric,48,5,-1.0,3.0,0.375,0,0,0,secondary
initial_neutral_multiplicity,initial_neutral_multiplicity,numeric,48,2,0.0,1.0,0.3125,0,0,0,secondary
final_neutral_multiplicity,final_neutral_multiplicity,numeric,48,3,0.0,2.0,1.0208333333333333,0,0,0,secondary
neutral_multiplicity_delta,neutral_multiplicity_delta,numeric,48,4,-1.0,2.0,0.7083333333333334,0,0,0,secondary
initial_composite_count,initial_composite_count,numeric,48,2,0.0,1.0,0.5833333333333334,0,0,0,secondary
final_composite_count,final_composite_count,numeric,48,3,0.0,2.0,0.5416666666666666,0,0,0,secondary
composite_count_delta,composite_count_delta,numeric,48,4,-1.0,2.0,-0.041666666666666664,0,0,0,secondary
initial_external_count,initial_external_count,numeric,48,2,0.0,1.0,0.4166666666666667,0,0,0,secondary
final_external_count,final_external_count,numeric,48,4,0.0,3.0,1.1458333333333333,0,0,0,secondary
external_count_delta,external_count_delta,numeric,48,4,-1.0,2.0,0.7291666666666666,0,0,0,secondary
initial_fractional_external_count,initial_fractional_external_count,numeric,48,1,0.0,0.0,0.0,1,0,0,secondary; constant_or_single_value; avoid first-pass chamber upload
final_fractional_external_count,final_fractional_external_count,numeric,48,3,0.0,3.0,0.3958333333333333,0,0,0,secondary
fractional_external_count_delta,fractional_external_count_delta,numeric,48,3,0.0,3.0,0.3958333333333333,0,0,0,secondary
constrained_flag,constrained_flag,numeric,48,2,0.0,1.0,0.08333333333333333,0,0,0,secondary
boundary_candidate_flag,boundary_candidate_flag,numeric,48,2,0.0,1.0,0.25,0,0,0,secondary
allowed_control_flag,allowed_control_flag,numeric,48,2,0.0,1.0,0.25,0,0,0,secondary
