row_index,transition_id,transition_label,phase3C_group,group_name,transition_status,expected_boundary_response,transition_class_code
1,P3C_A001,neutron_beta_decay,A,allowed_control,allowed_control,allowed_interior,1.0
2,P3C_A002,positive_pion_muonic_decay,A,allowed_control,allowed_control,allowed_interior,1.0
3,P3C_A003,negative_muon_decay,A,allowed_control,allowed_control,allowed_interior,1.0
4,P3C_A004,w_minus_leptonic_decay,A,allowed_control,allowed_control,allowed_interior,1.0
5,P3C_A005,w_plus_leptonic_decay,A,allowed_control,allowed_control,allowed_interior,1.0
6,P3C_A006,neutral_pion_two_photon_decay,A,allowed_control,allowed_control,allowed_interior,1.0
7,P3C_A007,positive_kaon_muonic_decay,A,allowed_control,allowed_control,allowed_interior,1.0
8,P3C_A008,negative_kaon_muonic_decay,A,allowed_control,allowed_control,allowed_interior,1.0
9,P3C_A009,delta_pp_to_proton_pi_plus,A,allowed_control,allowed_control,allowed_interior,1.0
10,P3C_A010,omega_minus_to_lambda0_kminus,A,allowed_control,allowed_control,allowed_interior,1.0
11,P3C_A011,z0_to_electron_positron,A,allowed_control,allowed_control,allowed_interior,1.0
12,P3C_A012,higgs_to_two_photons,A,allowed_control,allowed_control,allowed_interior,1.0
13,P3C_B001,neutron_to_proton_neutrino_charge_violation,B,charge_violating_mock,forbidden_mock,charge_violation_boundary,3.0
14,P3C_B002,electron_to_neutrino_photon_charge_violation,B,charge_violating_mock,forbidden_mock,charge_violation_boundary,3.0
15,P3C_B003,proton_to_neutron_photon_charge_violation,B,charge_violating_mock,forbidden_mock,charge_violation_boundary,3.0
16,P3C_B004,pi_plus_to_two_photons_charge_violation,B,charge_violating_mock,forbidden_mock,charge_violation_boundary,3.0
17,P3C_B005,w_plus_to_electron_neutrino_charge_violation,B,charge_violating_mock,forbidden_mock,charge_violation_boundary,3.0
18,P3C_B006,mu_minus_to_photon_neutrino_charge_violation,B,charge_violating_mock,forbidden_mock,charge_violation_boundary,3.0
19,P3C_B007,k_minus_to_neutral_pion_neutrino_charge_violation,B,charge_violating_mock,forbidden_mock,charge_violation_boundary,3.0
20,P3C_B008,delta_pp_to_proton_gamma_charge_violation,B,charge_violating_mock,forbidden_mock,charge_violation_boundary,3.0
21,P3C_C001,proton_to_u_u_d_free_fractional,C,free_fractional_externalization,forbidden_mock,fractional_externalization_boundary,4.0
22,P3C_C002,neutron_to_u_d_d_free_fractional,C,free_fractional_externalization,forbidden_mock,fractional_externalization_boundary,4.0
23,P3C_C003,pi_plus_to_u_antid_free_fractional,C,free_fractional_externalization,forbidden_mock,fractional_externalization_boundary,4.0
24,P3C_C004,k_plus_to_u_antis_free_fractional,C,free_fractional_externalization,forbidden_mock,fractional_externalization_boundary,4.0
25,P3C_C005,delta_pp_to_u_u_u_free_fractional,C,free_fractional_externalization,forbidden_mock,fractional_externalization_boundary,4.0
26,P3C_C006,pi_minus_to_antiu_d_free_fractional,C,free_fractional_externalization,forbidden_mock,fractional_externalization_boundary,4.0
27,P3C_C007,k_minus_to_antiu_s_free_fractional,C,free_fractional_externalization,forbidden_mock,fractional_externalization_boundary,4.0
28,P3C_C008,pi0_to_u_antiu_free_fractional,C,free_fractional_externalization,forbidden_mock,fractional_externalization_boundary,4.0
29,P3C_D001,proton_to_positron_gamma_baryon_violation,D,selection_rule_violation,forbidden_mock,selection_boundary,2.0
30,P3C_D002,neutron_to_two_photons_baryon_violation,D,selection_rule_violation,forbidden_mock,selection_boundary,2.0
31,P3C_D003,mu_minus_to_electron_gamma_lfv,D,selection_rule_violation,forbidden_mock,selection_boundary,2.0
32,P3C_D004,k_plus_to_pi_plus_gamma_selection_violation,D,selection_rule_violation,forbidden_mock,selection_boundary,2.0
33,P3C_D005,pi0_to_neutrino_antineutrino_constrained,D,selection_rule_violation,forbidden_mock,selection_boundary,2.0
34,P3C_D006,tau_minus_to_mu_minus_gamma_lfv,D,selection_rule_violation,forbidden_mock,selection_boundary,2.0
35,P3C_D007,lambda0_to_gamma_gamma_baryon_violation,D,selection_rule_violation,forbidden_mock,selection_boundary,2.0
36,P3C_D008,z0_to_gamma_gamma_selection_boundary,D,selection_rule_violation,forbidden_mock,selection_boundary,2.0
37,P3C_E001,positron_to_proton_antineutron_route_incoherent,E,route_incoherent_charge_conserving_mock,route_incoherent_mock,route_incoherence_boundary,6.0
38,P3C_E002,photon_to_proton_antiproton_route_mock,E,route_incoherent_charge_conserving_mock,route_incoherent_mock,route_incoherence_boundary,6.0
39,P3C_E003,w_plus_to_pi_plus_neutron_route_incoherent,E,route_incoherent_charge_conserving_mock,route_incoherent_mock,route_incoherence_boundary,6.0
40,P3C_E004,mu_plus_to_pi_plus_gamma_route_incoherent,E,route_incoherent_charge_conserving_mock,route_incoherent_mock,route_incoherence_boundary,6.0
