ladder,domain,kappa,epsilon,nu_V,vuln_count,inv,rho,Ak
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.010000,0.00333333,17,31,15.4795,0.910559,0.872000
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.011253,0.00375112,17,31,15.5060,0.912118,0.858000
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.012664,0.00422127,17,31,15.5395,0.914088,0.863000
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.014251,0.00475034,17,31,15.5215,0.913029,0.868500
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.016037,0.00534573,17,31,15.5120,0.912471,0.866500
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.018047,0.00601574,17,31,15.4210,0.907118,0.871000
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.020309,0.00676973,17,31,15.4660,0.909765,0.873500
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.022855,0.00761821,17,31,15.5800,0.916471,0.861000
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.025719,0.00857305,17,31,15.4570,0.909235,0.877000
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.028943,0.00964755,17,31,15.5080,0.912235,0.878000
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.032570,0.01085674,17,31,15.4460,0.908588,0.878500
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.036652,0.01221747,17,31,15.4770,0.910412,0.866000
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.041246,0.01374875,17,31,15.4690,0.909941,0.871500
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.046416,0.01547196,17,31,15.4940,0.911412,0.869000
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.052233,0.01741115,17,31,15.5745,0.916147,0.846500
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.058780,0.01959339,17,31,15.4555,0.909147,0.861500
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.066147,0.02204914,17,31,15.5130,0.912529,0.867000
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.074438,0.02481268,17,31,15.4920,0.911294,0.875000
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.083768,0.02792259,17,31,15.5765,0.916265,0.874000
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.094267,0.03142228,17,31,15.4955,0.911500,0.866000
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.106082,0.03536061,17,31,15.5860,0.916824,0.854000
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.119378,0.03979255,17,31,15.4870,0.911000,0.878000
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.134340,0.04477998,17,31,15.4920,0.911294,0.865500
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.151178,0.05039250,17,31,15.5115,0.912441,0.868000
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.170125,0.05670848,17,31,15.5320,0.913647,0.860500
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.191448,0.06381607,17,31,15.5310,0.913588,0.868000
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.215443,0.07181449,17,31,15.5170,0.912765,0.864000
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.242446,0.08081540,17,31,15.4505,0.908853,0.864000
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.272833,0.09094445,17,31,15.5095,0.912324,0.861500
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.307029,0.10234302,17,31,15.4995,0.911735,0.863500
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.345511,0.11517024,17,31,15.4870,0.911000,0.857500
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.388816,0.12960517,17,31,15.4580,0.909294,0.878500
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.437548,0.14584931,17,31,15.4075,0.906324,0.884500
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.492388,0.16412942,17,31,15.5095,0.912324,0.859500
ABCD_charge_boundary_ladder_absolute_charge,unknown,0.554102,0.18470068,17,34,15.4605,0.909441,0.873500
