ladder,domain,kappa,epsilon,nu_V,vuln_count,inv,rho,Ak
layerC_composite_closure_ladder_absolute_charge,molecular,0.010000,0.01000000,4,7,3.4740,0.868500,0.867500
layerC_composite_closure_ladder_absolute_charge,molecular,0.011253,0.01125336,4,7,3.5240,0.881000,0.848500
layerC_composite_closure_ladder_absolute_charge,molecular,0.012664,0.01266380,4,7,3.5030,0.875750,0.862500
layerC_composite_closure_ladder_absolute_charge,molecular,0.014251,0.01425103,4,7,3.4890,0.872250,0.853000
layerC_composite_closure_ladder_absolute_charge,molecular,0.016037,0.01603719,4,7,3.5370,0.884250,0.860000
layerC_composite_closure_ladder_absolute_charge,molecular,0.018047,0.01804722,4,7,3.4885,0.872125,0.872500
layerC_composite_closure_ladder_absolute_charge,molecular,0.020309,0.02030918,4,7,3.5085,0.877125,0.865000
layerC_composite_closure_ladder_absolute_charge,molecular,0.022855,0.02285464,4,7,3.5000,0.875000,0.879000
layerC_composite_closure_ladder_absolute_charge,molecular,0.025719,0.02571914,4,7,3.4990,0.874750,0.862000
layerC_composite_closure_ladder_absolute_charge,molecular,0.028943,0.02894266,4,7,3.5055,0.876375,0.860500
layerC_composite_closure_ladder_absolute_charge,molecular,0.032570,0.03257021,4,7,3.5005,0.875125,0.866000
layerC_composite_closure_ladder_absolute_charge,molecular,0.036652,0.03665241,4,7,3.5020,0.875500,0.855500
layerC_composite_closure_ladder_absolute_charge,molecular,0.041246,0.04124626,4,7,3.4930,0.873250,0.852500
layerC_composite_closure_ladder_absolute_charge,molecular,0.046416,0.04641589,4,7,3.4910,0.872750,0.864500
layerC_composite_closure_ladder_absolute_charge,molecular,0.052233,0.05223345,4,7,3.5225,0.880625,0.867500
layerC_composite_closure_ladder_absolute_charge,molecular,0.058780,0.05878016,4,7,3.5005,0.875125,0.864500
layerC_composite_closure_ladder_absolute_charge,molecular,0.066147,0.06614741,4,7,3.4740,0.868500,0.870500
layerC_composite_closure_ladder_absolute_charge,molecular,0.074438,0.07443803,4,7,3.4685,0.867125,0.870500
layerC_composite_closure_ladder_absolute_charge,molecular,0.083768,0.08376776,4,7,3.5355,0.883875,0.850000
layerC_composite_closure_ladder_absolute_charge,molecular,0.094267,0.09426685,4,7,3.5245,0.881125,0.863000
layerC_composite_closure_ladder_absolute_charge,molecular,0.106082,0.10608184,4,7,3.5355,0.883875,0.865500
layerC_composite_closure_ladder_absolute_charge,molecular,0.119378,0.11937766,4,7,3.5245,0.881125,0.857500
layerC_composite_closure_ladder_absolute_charge,molecular,0.134340,0.13433993,4,7,3.4575,0.864375,0.869500
layerC_composite_closure_ladder_absolute_charge,molecular,0.151178,0.15117751,4,7,3.5105,0.877625,0.866000
layerC_composite_closure_ladder_absolute_charge,molecular,0.170125,0.17012543,4,7,3.5055,0.876375,0.849500
layerC_composite_closure_ladder_absolute_charge,molecular,0.191448,0.19144820,4,7,3.5090,0.877250,0.857500
layerC_composite_closure_ladder_absolute_charge,molecular,0.215443,0.21544347,4,7,3.4610,0.865250,0.875500
layerC_composite_closure_ladder_absolute_charge,molecular,0.242446,0.24244620,4,7,3.4620,0.865500,0.877500
layerC_composite_closure_ladder_absolute_charge,molecular,0.272833,0.27283334,4,7,3.4930,0.873250,0.865000
layerC_composite_closure_ladder_absolute_charge,molecular,0.307029,0.30702906,4,7,3.5045,0.876125,0.859500
layerC_composite_closure_ladder_absolute_charge,molecular,0.345511,0.34551073,4,7,3.5200,0.880000,0.859000
layerC_composite_closure_ladder_absolute_charge,molecular,0.388816,0.38881552,4,7,3.5005,0.875125,0.864000
layerC_composite_closure_ladder_absolute_charge,molecular,0.437548,0.43754794,4,7,3.5085,0.877125,0.867500
layerC_composite_closure_ladder_absolute_charge,molecular,0.492388,0.49238826,4,7,3.4935,0.873375,0.857500
layerC_composite_closure_ladder_absolute_charge,molecular,0.554102,0.55410203,5,9,3.5120,0.702400,0.981500
layerC_composite_closure_ladder_absolute_charge,molecular,0.623551,0.62355073,5,9,3.5390,0.707800,0.983000
layerC_composite_closure_ladder_absolute_charge,molecular,0.701704,0.70170383,5,9,3.5745,0.714900,0.980000
layerC_composite_closure_ladder_absolute_charge,molecular,0.789652,0.78965229,5,9,3.6775,0.735500,0.976500
layerC_composite_closure_ladder_absolute_charge,molecular,0.888624,0.88862382,5,9,3.6885,0.737700,0.979000
layerC_composite_closure_ladder_absolute_charge,molecular,1.000000,1.00000000,5,9,3.7600,0.752000,0.974000
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.010000,0.00250000,4,8,4.0055,1.001375,0.696500
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.011253,0.00281334,4,8,3.9965,0.999125,0.700500
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.012664,0.00316595,4,8,3.9625,0.990625,0.710500
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.014251,0.00356276,4,8,4.0325,1.008125,0.690500
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.016037,0.00400930,4,8,4.0215,1.005375,0.691000
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.018047,0.00451180,4,8,3.9870,0.996750,0.704500
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.020309,0.00507729,4,8,3.9890,0.997250,0.702500
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.022855,0.00571366,4,8,3.9750,0.993750,0.716000
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.025719,0.00642978,4,8,4.0015,1.000375,0.697500
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.028943,0.00723567,4,8,4.0065,1.001625,0.697000
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.032570,0.00814255,4,8,4.0225,1.005625,0.688000
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.036652,0.00916310,4,8,4.0435,1.010875,0.676500
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.041246,0.01031157,4,8,3.9765,0.994125,0.695000
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.046416,0.01160397,4,8,3.9850,0.996250,0.701500
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.052233,0.01305836,4,8,4.0070,1.001750,0.705000
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.058780,0.01469504,4,8,3.9880,0.997000,0.699500
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.066147,0.01653685,4,8,3.9950,0.998750,0.701000
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.074438,0.01860951,4,8,4.0025,1.000625,0.703000
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.083768,0.02094194,4,8,3.9925,0.998125,0.721500
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.094267,0.02356671,4,8,3.9990,0.999750,0.697000
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.106082,0.02652046,4,8,3.9775,0.994375,0.696500
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.119378,0.02984442,4,8,4.0120,1.003000,0.693000
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.134340,0.03358498,4,8,3.9675,0.991875,0.708500
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.151178,0.03779438,4,8,3.9865,0.996625,0.704500
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.170125,0.04253136,4,8,4.0055,1.001375,0.704500
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.191448,0.04786205,4,8,3.9950,0.998750,0.704000
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.215443,0.05386087,4,8,3.9915,0.997875,0.696000
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.242446,0.06061155,4,8,4.0265,1.006625,0.697000
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.272833,0.06820833,4,8,3.9730,0.993250,0.700000
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.307029,0.07675727,4,8,3.9815,0.995375,0.714500
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.345511,0.08637768,4,8,3.9335,0.983375,0.724000
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.388816,0.09720388,4,8,4.0095,1.002375,0.690500
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.437548,0.10938698,4,8,3.9820,0.995500,0.709000
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.492388,0.12309707,4,8,3.9860,0.996500,0.710000
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.554102,0.13852551,5,9,4.0140,0.802800,0.938000
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.623551,0.15588768,5,9,4.0340,0.806800,0.933500
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.701704,0.17542596,5,9,4.0175,0.803500,0.932000
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.789652,0.19741307,5,9,4.0465,0.809300,0.942000
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,0.888624,0.22215595,5,9,4.0785,0.815700,0.937000
layerC_composite_closure_ladder_boundary_route_coordinate,molecular,1.000000,0.25000000,5,9,4.1190,0.823800,0.930000
layerC_composite_closure_ladder_closure_class_code,molecular,0.010000,0.01000000,4,8,3.9625,0.990625,0.706500
layerC_composite_closure_ladder_closure_class_code,molecular,0.011253,0.01125336,4,8,4.0390,1.009750,0.681000
layerC_composite_closure_ladder_closure_class_code,molecular,0.012664,0.01266380,4,8,4.0290,1.007250,0.683500
layerC_composite_closure_ladder_closure_class_code,molecular,0.014251,0.01425103,4,8,4.0005,1.000125,0.691000
layerC_composite_closure_ladder_closure_class_code,molecular,0.016037,0.01603719,4,8,3.9900,0.997500,0.707500
layerC_composite_closure_ladder_closure_class_code,molecular,0.018047,0.01804722,4,8,4.0115,1.002875,0.694000
layerC_composite_closure_ladder_closure_class_code,molecular,0.020309,0.02030918,4,8,4.0115,1.002875,0.699000
layerC_composite_closure_ladder_closure_class_code,molecular,0.022855,0.02285464,4,8,3.9915,0.997875,0.699000
layerC_composite_closure_ladder_closure_class_code,molecular,0.025719,0.02571914,4,8,4.0330,1.008250,0.689000
layerC_composite_closure_ladder_closure_class_code,molecular,0.028943,0.02894266,4,8,3.9885,0.997125,0.709000
layerC_composite_closure_ladder_closure_class_code,molecular,0.032570,0.03257021,4,8,4.0055,1.001375,0.711000
layerC_composite_closure_ladder_closure_class_code,molecular,0.036652,0.03665241,4,8,3.9875,0.996875,0.708000
layerC_composite_closure_ladder_closure_class_code,molecular,0.041246,0.04124626,4,8,4.0270,1.006750,0.696500
layerC_composite_closure_ladder_closure_class_code,molecular,0.046416,0.04641589,4,8,4.0020,1.000500,0.691500
layerC_composite_closure_ladder_closure_class_code,molecular,0.052233,0.05223345,4,8,4.0180,1.004500,0.687500
layerC_composite_closure_ladder_closure_class_code,molecular,0.058780,0.05878016,4,8,3.9955,0.998875,0.702000
layerC_composite_closure_ladder_closure_class_code,molecular,0.066147,0.06614741,4,8,3.9905,0.997625,0.700500
layerC_composite_closure_ladder_closure_class_code,molecular,0.074438,0.07443803,4,8,4.0150,1.003750,0.703500
layerC_composite_closure_ladder_closure_class_code,molecular,0.083768,0.08376776,4,8,3.9750,0.993750,0.709500
layerC_composite_closure_ladder_closure_class_code,molecular,0.094267,0.09426685,4,8,4.0075,1.001875,0.707000
layerC_composite_closure_ladder_closure_class_code,molecular,0.106082,0.10608184,4,8,4.0415,1.010375,0.692500
layerC_composite_closure_ladder_closure_class_code,molecular,0.119378,0.11937766,4,8,3.9475,0.986875,0.709000
layerC_composite_closure_ladder_closure_class_code,molecular,0.134340,0.13433993,4,8,4.0215,1.005375,0.680500
layerC_composite_closure_ladder_closure_class_code,molecular,0.151178,0.15117751,4,8,4.0045,1.001125,0.683000
layerC_composite_closure_ladder_closure_class_code,molecular,0.170125,0.17012543,4,8,4.0175,1.004375,0.681000
layerC_composite_closure_ladder_closure_class_code,molecular,0.191448,0.19144820,4,8,3.9835,0.995875,0.705500
layerC_composite_closure_ladder_closure_class_code,molecular,0.215443,0.21544347,4,8,3.9950,0.998750,0.702000
layerC_composite_closure_ladder_closure_class_code,molecular,0.242446,0.24244620,4,8,4.0105,1.002625,0.705000
layerC_composite_closure_ladder_closure_class_code,molecular,0.272833,0.27283334,4,8,4.0380,1.009500,0.690500
layerC_composite_closure_ladder_closure_class_code,molecular,0.307029,0.30702906,4,8,4.0465,1.011625,0.682000
layerC_composite_closure_ladder_closure_class_code,molecular,0.345511,0.34551073,4,8,4.0210,1.005250,0.706000
layerC_composite_closure_ladder_closure_class_code,molecular,0.388816,0.38881552,4,8,4.0065,1.001625,0.694500
layerC_composite_closure_ladder_closure_class_code,molecular,0.437548,0.43754794,4,8,3.9975,0.999375,0.696000
layerC_composite_closure_ladder_closure_class_code,molecular,0.492388,0.49238826,4,8,3.9670,0.991750,0.710500
layerC_composite_closure_ladder_closure_class_code,molecular,0.554102,0.55410203,5,9,4.0100,0.802000,0.939000
layerC_composite_closure_ladder_closure_class_code,molecular,0.623551,0.62355073,5,9,4.0045,0.800900,0.943000
layerC_composite_closure_ladder_closure_class_code,molecular,0.701704,0.70170383,5,9,4.0365,0.807300,0.934500
layerC_composite_closure_ladder_closure_class_code,molecular,0.789652,0.78965229,5,9,4.0245,0.804900,0.946500
layerC_composite_closure_ladder_closure_class_code,molecular,0.888624,0.88862382,5,9,4.1430,0.828600,0.928500
layerC_composite_closure_ladder_closure_class_code,molecular,1.000000,1.00000000,5,9,4.1250,0.825000,0.929000
layerC_composite_closure_ladder_closure_state_code,molecular,0.010000,0.01000000,5,9,4.4755,0.895100,0.862500
layerC_composite_closure_ladder_closure_state_code,molecular,0.011253,0.01125336,5,9,4.5190,0.903800,0.852500
layerC_composite_closure_ladder_closure_state_code,molecular,0.012664,0.01266380,5,9,4.5070,0.901400,0.846500
layerC_composite_closure_ladder_closure_state_code,molecular,0.014251,0.01425103,5,9,4.5070,0.901400,0.873500
layerC_composite_closure_ladder_closure_state_code,molecular,0.016037,0.01603719,5,9,4.5050,0.901000,0.857500
layerC_composite_closure_ladder_closure_state_code,molecular,0.018047,0.01804722,5,9,4.5185,0.903700,0.855000
layerC_composite_closure_ladder_closure_state_code,molecular,0.020309,0.02030918,5,9,4.4905,0.898100,0.869500
layerC_composite_closure_ladder_closure_state_code,molecular,0.022855,0.02285464,5,9,4.4725,0.894500,0.882000
layerC_composite_closure_ladder_closure_state_code,molecular,0.025719,0.02571914,5,9,4.4805,0.896100,0.861500
layerC_composite_closure_ladder_closure_state_code,molecular,0.028943,0.02894266,5,9,4.4920,0.898400,0.875500
layerC_composite_closure_ladder_closure_state_code,molecular,0.032570,0.03257021,5,9,4.5165,0.903300,0.858000
layerC_composite_closure_ladder_closure_state_code,molecular,0.036652,0.03665241,5,9,4.4815,0.896300,0.858000
layerC_composite_closure_ladder_closure_state_code,molecular,0.041246,0.04124626,5,9,4.5165,0.903300,0.858500
layerC_composite_closure_ladder_closure_state_code,molecular,0.046416,0.04641589,5,9,4.5085,0.901700,0.867000
layerC_composite_closure_ladder_closure_state_code,molecular,0.052233,0.05223345,5,9,4.4670,0.893400,0.864500
layerC_composite_closure_ladder_closure_state_code,molecular,0.058780,0.05878016,5,9,4.4600,0.892000,0.873000
layerC_composite_closure_ladder_closure_state_code,molecular,0.066147,0.06614741,5,9,4.5165,0.903300,0.842000
layerC_composite_closure_ladder_closure_state_code,molecular,0.074438,0.07443803,5,9,4.4815,0.896300,0.853500
layerC_composite_closure_ladder_closure_state_code,molecular,0.083768,0.08376776,5,9,4.5085,0.901700,0.857000
layerC_composite_closure_ladder_closure_state_code,molecular,0.094267,0.09426685,5,9,4.5005,0.900100,0.862500
layerC_composite_closure_ladder_closure_state_code,molecular,0.106082,0.10608184,5,9,4.5110,0.902200,0.855000
layerC_composite_closure_ladder_closure_state_code,molecular,0.119378,0.11937766,5,9,4.5330,0.906600,0.850000
