ladder,domain,kappa,epsilon,nu_V,vuln_count,inv,rho,Ak
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.010000,0.01000000,4,7,3.4945,0.873625,0.864500
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.011253,0.01125336,4,7,3.5070,0.876750,0.857000
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.012664,0.01266380,4,7,3.5275,0.881875,0.843500
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.014251,0.01425103,4,7,3.5160,0.879000,0.866000
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.016037,0.01603719,4,7,3.4845,0.871125,0.869500
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.018047,0.01804722,4,7,3.5070,0.876750,0.865500
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.020309,0.02030918,4,7,3.4705,0.867625,0.873500
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.022855,0.02285464,4,7,3.5295,0.882375,0.857000
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.025719,0.02571914,4,7,3.4390,0.859750,0.875000
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.028943,0.02894266,4,7,3.4650,0.866250,0.869000
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.032570,0.03257021,4,7,3.5130,0.878250,0.858500
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.036652,0.03665241,4,7,3.4825,0.870625,0.864000
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.041246,0.04124626,4,7,3.5365,0.884125,0.853000
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.046416,0.04641589,4,7,3.5400,0.885000,0.851500
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.052233,0.05223345,4,7,3.5030,0.875750,0.865000
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.058780,0.05878016,4,7,3.4925,0.873125,0.860500
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.066147,0.06614741,4,7,3.4880,0.872000,0.874000
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.074438,0.07443803,4,7,3.5135,0.878375,0.857500
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.083768,0.08376776,4,7,3.4545,0.863625,0.868500
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.094267,0.09426685,4,7,3.4930,0.873250,0.864000
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.106082,0.10608184,4,7,3.5165,0.879125,0.867000
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.119378,0.11937766,4,7,3.5065,0.876625,0.855000
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.134340,0.13433993,4,7,3.5050,0.876250,0.860000
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.151178,0.15117751,4,7,3.5145,0.878625,0.862000
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.170125,0.17012543,4,7,3.5120,0.878000,0.863000
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.191448,0.19144820,4,7,3.4975,0.874375,0.865500
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.215443,0.21544347,4,7,3.4595,0.864875,0.870500
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.242446,0.24244620,4,7,3.5015,0.875375,0.866500
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.272833,0.27283334,4,7,3.5035,0.875875,0.867000
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.307029,0.30702906,4,7,3.5215,0.880375,0.854500
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.345511,0.34551073,4,7,3.4800,0.870000,0.874500
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.388816,0.38881552,4,7,3.5285,0.882125,0.857000
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.437548,0.43754794,4,7,3.5135,0.878375,0.859000
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.492388,0.49238826,4,7,3.5105,0.877625,0.851500
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.554102,0.55410203,5,9,3.4985,0.699700,0.981000
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.623551,0.62355073,5,9,3.5410,0.708200,0.981000
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.701704,0.70170383,5,9,3.6030,0.720600,0.983500
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.789652,0.78965229,5,9,3.6630,0.732600,0.981500
phase2C_pairwise_ladder_closure_class_pair_code,molecular,0.888624,0.88862382,5,9,3.6975,0.739500,0.976500
