ladder,domain,kappa,epsilon,nu_V,vuln_count,inv,rho,Ak
BCD,molecular,0.010000,0.00250000,10,19,9.4740,0.947400,0.759000
BCD,molecular,0.011253,0.00281334,10,19,9.5120,0.951200,0.759000
BCD,molecular,0.012664,0.00316595,10,19,9.5040,0.950400,0.759500
BCD,molecular,0.014251,0.00356276,10,19,9.5575,0.955750,0.743500
BCD,molecular,0.016037,0.00400930,10,19,9.5285,0.952850,0.756000
BCD,molecular,0.018047,0.00451180,10,19,9.5390,0.953900,0.750000
BCD,molecular,0.020309,0.00507729,10,19,9.5070,0.950700,0.759500
BCD,molecular,0.022855,0.00571366,10,19,9.5105,0.951050,0.769000
BCD,molecular,0.025719,0.00642978,10,19,9.4795,0.947950,0.761000
BCD,molecular,0.028943,0.00723567,10,19,9.5320,0.953200,0.754000
BCD,molecular,0.032570,0.00814255,10,19,9.4870,0.948700,0.768000
BCD,molecular,0.036652,0.00916310,10,19,9.4605,0.946050,0.766500
BCD,molecular,0.041246,0.01031157,10,19,9.5410,0.954100,0.746000
BCD,molecular,0.046416,0.01160397,10,19,9.4720,0.947200,0.763000
BCD,molecular,0.052233,0.01305836,10,19,9.5050,0.950500,0.754500
BCD,molecular,0.058780,0.01469504,10,19,9.5150,0.951500,0.744000
BCD,molecular,0.066147,0.01653685,10,19,9.4565,0.945650,0.778500
BCD,molecular,0.074438,0.01860951,10,19,9.4885,0.948850,0.754000
BCD,molecular,0.083768,0.02094194,10,19,9.5030,0.950300,0.750500
BCD,molecular,0.094267,0.02356671,10,19,9.4625,0.946250,0.774000
BCD,molecular,0.106082,0.02652046,10,19,9.5320,0.953200,0.753500
BCD,molecular,0.119378,0.02984442,10,19,9.4915,0.949150,0.772000
BCD,molecular,0.134340,0.03358498,10,19,9.4970,0.949700,0.757000
BCD,molecular,0.151178,0.03779438,10,19,9.5580,0.955800,0.758500
BCD,molecular,0.170125,0.04253136,10,19,9.5345,0.953450,0.747000
BCD,molecular,0.191448,0.04786205,10,19,9.4915,0.949150,0.756500
BCD,molecular,0.215443,0.05386087,10,19,9.5430,0.954300,0.742500
BCD,molecular,0.242446,0.06061155,10,19,9.5355,0.953550,0.749000
BCD,molecular,0.272833,0.06820833,10,19,9.4895,0.948950,0.767000
BCD,molecular,0.307029,0.07675727,10,19,9.5075,0.950750,0.752000
BCD,molecular,0.345511,0.08637768,10,19,9.5205,0.952050,0.751000
BCD,molecular,0.388816,0.09720388,10,19,9.5430,0.954300,0.756500
BCD,molecular,0.437548,0.10938698,10,19,9.4465,0.944650,0.767000
BCD,molecular,0.492388,0.12309707,10,19,9.4795,0.947950,0.762000
BCD,molecular,0.554102,0.13852551,13,25,9.5410,0.733923,0.997500
BCD,molecular,0.623551,0.15588768,13,25,9.5960,0.738154,0.996000
BCD,molecular,0.701704,0.17542596,13,25,9.7490,0.749923,0.996000
