ladder,domain,kappa,epsilon,nu_V,vuln_count,inv,rho,Ak
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.010000,0.01000000,18,34,16.9710,0.942833,0.793000
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.011253,0.01125336,18,34,17.0380,0.946556,0.799500
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.012664,0.01266380,18,34,17.0520,0.947333,0.785500
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.014251,0.01425103,18,34,16.9680,0.942667,0.808000
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.016037,0.01603719,18,34,17.0385,0.946583,0.780500
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.018047,0.01804722,18,34,16.9795,0.943306,0.793000
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.020309,0.02030918,18,34,17.0555,0.947528,0.779500
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.022855,0.02285464,18,34,16.9360,0.940889,0.802500
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.025719,0.02571914,18,34,16.9765,0.943139,0.788000
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.028943,0.02894266,18,34,17.0555,0.947528,0.776000
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.032570,0.03257021,18,34,16.9495,0.941639,0.801000
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.036652,0.03665241,18,34,17.0675,0.948194,0.783500
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.041246,0.04124626,18,34,17.0280,0.946000,0.791500
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.046416,0.04641589,18,34,17.0320,0.946222,0.783000
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.052233,0.05223345,18,34,16.9850,0.943611,0.792000
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.058780,0.05878016,18,34,16.9980,0.944333,0.794000
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.066147,0.06614741,18,34,16.9165,0.939806,0.809500
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.074438,0.07443803,18,34,17.0225,0.945694,0.790000
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.083768,0.08376776,18,34,16.9360,0.940889,0.805500
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.094267,0.09426685,18,34,16.9785,0.943250,0.804000
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.106082,0.10608184,18,34,17.0425,0.946806,0.784000
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.119378,0.11937766,18,34,16.9870,0.943722,0.800000
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.134340,0.13433993,18,34,16.8980,0.938778,0.802000
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.151178,0.15117751,18,34,16.9850,0.943611,0.795500
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.170125,0.17012543,18,34,16.9860,0.943667,0.789000
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.191448,0.19144820,18,34,17.1120,0.950667,0.776500
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.215443,0.21544347,18,34,16.9430,0.941278,0.803000
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.242446,0.24244620,18,34,17.0305,0.946139,0.791000
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.272833,0.27283334,18,34,17.0580,0.947667,0.784500
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.307029,0.30702906,18,34,17.0295,0.946083,0.792500
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.345511,0.34551073,18,34,17.0165,0.945361,0.788500
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.388816,0.38881552,18,34,16.9410,0.941167,0.808000
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.437548,0.43754794,18,34,16.9955,0.944194,0.788000
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.492388,0.49238826,18,34,17.0225,0.945694,0.785000
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.554102,0.55410203,19,37,17.0195,0.895763,0.917000
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.623551,0.62355073,19,37,17.0535,0.897553,0.908000
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.701704,0.70170383,19,37,17.1440,0.902316,0.892000
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.789652,0.78965229,19,37,17.1265,0.901395,0.898500
phase3B_expanded_transition_ladder_composite_final_count,molecular,0.888624,0.88862382,19,37,17.2205,0.906342,0.889500
phase3B_expanded_transition_ladder_composite_final_count,molecular,1.000000,1.00000000,19,37,17.2660,0.908737,0.891500
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.010000,0.01000000,18,36,17.9355,0.996417,0.615500
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.011253,0.01125336,18,36,18.0070,1.000389,0.615000
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.012664,0.01266380,18,36,17.9615,0.997861,0.626500
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.014251,0.01425103,18,36,18.0415,1.002306,0.590000
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.016037,0.01603719,18,36,18.0415,1.002306,0.604000
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.018047,0.01804722,18,36,17.9700,0.998333,0.617000
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.020309,0.02030918,18,36,18.0240,1.001333,0.597000
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.022855,0.02285464,18,36,18.0215,1.001194,0.605500
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.025719,0.02571914,18,36,17.9475,0.997083,0.626500
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.028943,0.02894266,18,36,18.0490,1.002722,0.597000
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.032570,0.03257021,18,36,17.9695,0.998306,0.609500
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.036652,0.03665241,18,36,18.0150,1.000833,0.602500
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.041246,0.04124626,18,36,17.9925,0.999583,0.609500
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.046416,0.04641589,18,36,18.0335,1.001861,0.606500
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.052233,0.05223345,18,36,18.0855,1.004750,0.583500
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.058780,0.05878016,18,36,18.0070,1.000389,0.607500
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.066147,0.06614741,18,36,17.9410,0.996722,0.610000
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.074438,0.07443803,18,36,17.9855,0.999194,0.617500
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.083768,0.08376776,18,36,18.0390,1.002167,0.601000
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.094267,0.09426685,18,36,17.9525,0.997361,0.616500
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.106082,0.10608184,18,36,18.0255,1.001417,0.595500
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.119378,0.11937766,18,36,17.9675,0.998194,0.611500
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.134340,0.13433993,18,36,17.9230,0.995722,0.623500
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.151178,0.15117751,18,36,17.9645,0.998028,0.618500
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.170125,0.17012543,18,36,18.0090,1.000500,0.616000
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.191448,0.19144820,18,36,17.9705,0.998361,0.607500
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.215443,0.21544347,18,36,18.0140,1.000778,0.613500
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.242446,0.24244620,18,36,17.9720,0.998444,0.611000
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.272833,0.27283334,18,36,18.0165,1.000917,0.602000
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.307029,0.30702906,18,36,17.9670,0.998167,0.614500
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.345511,0.34551073,18,36,18.0155,1.000861,0.609000
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.388816,0.38881552,18,36,17.9880,0.999333,0.617000
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.437548,0.43754794,18,36,17.9740,0.998556,0.615500
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.492388,0.49238826,18,36,17.9500,0.997222,0.619000
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.554102,0.55410203,19,37,17.9915,0.946921,0.795000
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.623551,0.62355073,19,37,17.9600,0.945263,0.806500
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.701704,0.70170383,19,37,17.9730,0.945947,0.798000
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.789652,0.78965229,19,37,18.0750,0.951316,0.786500
phase3B_expanded_transition_ladder_composite_initial_count,molecular,0.888624,0.88862382,19,37,18.1020,0.952737,0.789000
phase3B_expanded_transition_ladder_composite_initial_count,molecular,1.000000,1.00000000,19,37,18.1055,0.952921,0.780000
phase3B_expanded_transition_ladder_external_final_count,molecular,0.010000,0.01000000,18,34,17.0300,0.946111,0.791500
phase3B_expanded_transition_ladder_external_final_count,molecular,0.011253,0.01125336,18,34,17.0270,0.945944,0.793500
phase3B_expanded_transition_ladder_external_final_count,molecular,0.012664,0.01266380,18,34,17.0010,0.944500,0.801000
phase3B_expanded_transition_ladder_external_final_count,molecular,0.014251,0.01425103,18,34,16.9485,0.941583,0.796000
phase3B_expanded_transition_ladder_external_final_count,molecular,0.016037,0.01603719,18,34,16.9630,0.942389,0.801500
phase3B_expanded_transition_ladder_external_final_count,molecular,0.018047,0.01804722,18,34,17.0325,0.946250,0.795500
phase3B_expanded_transition_ladder_external_final_count,molecular,0.020309,0.02030918,18,34,17.0200,0.945556,0.787500
phase3B_expanded_transition_ladder_external_final_count,molecular,0.022855,0.02285464,18,34,17.0020,0.944556,0.792500
phase3B_expanded_transition_ladder_external_final_count,molecular,0.025719,0.02571914,18,34,17.0210,0.945611,0.794500
phase3B_expanded_transition_ladder_external_final_count,molecular,0.028943,0.02894266,18,34,17.1250,0.951389,0.772000
phase3B_expanded_transition_ladder_external_final_count,molecular,0.032570,0.03257021,18,34,17.0605,0.947806,0.785500
phase3B_expanded_transition_ladder_external_final_count,molecular,0.036652,0.03665241,18,34,16.9570,0.942056,0.802500
phase3B_expanded_transition_ladder_external_final_count,molecular,0.041246,0.04124626,18,34,16.9555,0.941972,0.806000
phase3B_expanded_transition_ladder_external_final_count,molecular,0.046416,0.04641589,18,34,16.9865,0.943694,0.798000
phase3B_expanded_transition_ladder_external_final_count,molecular,0.052233,0.05223345,18,34,16.9495,0.941639,0.800000
phase3B_expanded_transition_ladder_external_final_count,molecular,0.058780,0.05878016,18,34,16.9525,0.941806,0.809000
phase3B_expanded_transition_ladder_external_final_count,molecular,0.066147,0.06614741,18,34,17.0120,0.945111,0.798500
phase3B_expanded_transition_ladder_external_final_count,molecular,0.074438,0.07443803,18,34,17.0290,0.946056,0.796000
phase3B_expanded_transition_ladder_external_final_count,molecular,0.083768,0.08376776,18,34,16.8995,0.938861,0.808500
phase3B_expanded_transition_ladder_external_final_count,molecular,0.094267,0.09426685,18,34,16.9735,0.942972,0.809500
phase3B_expanded_transition_ladder_external_final_count,molecular,0.106082,0.10608184,18,34,17.0060,0.944778,0.798500
phase3B_expanded_transition_ladder_external_final_count,molecular,0.119378,0.11937766,18,34,16.9095,0.939417,0.814000
phase3B_expanded_transition_ladder_external_final_count,molecular,0.134340,0.13433993,18,34,16.9500,0.941667,0.802000
phase3B_expanded_transition_ladder_external_final_count,molecular,0.151178,0.15117751,18,34,17.0275,0.945972,0.785500
phase3B_expanded_transition_ladder_external_final_count,molecular,0.170125,0.17012543,18,34,17.0460,0.947000,0.785000
phase3B_expanded_transition_ladder_external_final_count,molecular,0.191448,0.19144820,18,34,16.9845,0.943583,0.800000
phase3B_expanded_transition_ladder_external_final_count,molecular,0.215443,0.21544347,18,34,16.9765,0.943139,0.815000
phase3B_expanded_transition_ladder_external_final_count,molecular,0.242446,0.24244620,18,34,16.9870,0.943722,0.801500
phase3B_expanded_transition_ladder_external_final_count,molecular,0.272833,0.27283334,18,34,16.9995,0.944417,0.786500
