ladder,domain,kappa,epsilon,nu_V,vuln_count,inv,rho,Ak
phase3C_ladder_composite_count_delta,molecular,0.010000,0.01000000,23,44,21.9425,0.954022,0.776000
phase3C_ladder_composite_count_delta,molecular,0.011253,0.01125336,23,44,21.9410,0.953957,0.785500
phase3C_ladder_composite_count_delta,molecular,0.012664,0.01266380,23,44,21.9980,0.956435,0.767000
phase3C_ladder_composite_count_delta,molecular,0.014251,0.01425103,23,44,21.9430,0.954043,0.786500
phase3C_ladder_composite_count_delta,molecular,0.016037,0.01603719,23,44,22.0670,0.959435,0.747000
phase3C_ladder_composite_count_delta,molecular,0.018047,0.01804722,23,44,21.9995,0.956500,0.767500
phase3C_ladder_composite_count_delta,molecular,0.020309,0.02030918,23,44,22.0385,0.958196,0.763000
phase3C_ladder_composite_count_delta,molecular,0.022855,0.02285464,23,44,21.9655,0.955022,0.773500
phase3C_ladder_composite_count_delta,molecular,0.025719,0.02571914,23,44,22.0115,0.957022,0.756000
phase3C_ladder_composite_count_delta,molecular,0.028943,0.02894266,23,44,21.9490,0.954304,0.756000
phase3C_ladder_composite_count_delta,molecular,0.032570,0.03257021,23,44,22.0390,0.958217,0.755000
phase3C_ladder_composite_count_delta,molecular,0.036652,0.03665241,23,44,21.9625,0.954891,0.773000
phase3C_ladder_composite_count_delta,molecular,0.041246,0.04124626,23,44,22.0425,0.958370,0.765500
phase3C_ladder_composite_count_delta,molecular,0.046416,0.04641589,23,44,22.0040,0.956696,0.761000
phase3C_ladder_composite_count_delta,molecular,0.052233,0.05223345,23,44,22.0625,0.959239,0.756000
phase3C_ladder_composite_count_delta,molecular,0.058780,0.05878016,23,44,22.0650,0.959348,0.772500
phase3C_ladder_composite_count_delta,molecular,0.066147,0.06614741,23,44,21.9885,0.956022,0.763500
phase3C_ladder_composite_count_delta,molecular,0.074438,0.07443803,23,44,21.9275,0.953370,0.787500
phase3C_ladder_composite_count_delta,molecular,0.083768,0.08376776,23,44,22.0435,0.958413,0.756500
phase3C_ladder_composite_count_delta,molecular,0.094267,0.09426685,23,44,21.9910,0.956130,0.763500
phase3C_ladder_composite_count_delta,molecular,0.106082,0.10608184,23,44,21.9835,0.955804,0.776500
phase3C_ladder_composite_count_delta,molecular,0.119378,0.11937766,23,44,22.0110,0.957000,0.764000
phase3C_ladder_composite_count_delta,molecular,0.134340,0.13433993,23,44,21.9605,0.954804,0.775000
phase3C_ladder_composite_count_delta,molecular,0.151178,0.15117751,23,44,22.0155,0.957196,0.767500
phase3C_ladder_composite_count_delta,molecular,0.170125,0.17012543,23,44,21.9515,0.954413,0.777500
phase3C_ladder_composite_count_delta,molecular,0.191448,0.19144820,23,44,21.9790,0.955609,0.764500
phase3C_ladder_composite_count_delta,molecular,0.215443,0.21544347,23,44,21.8765,0.951152,0.778500
phase3C_ladder_composite_count_delta,molecular,0.242446,0.24244620,23,44,21.8925,0.951848,0.782500
phase3C_ladder_composite_count_delta,molecular,0.272833,0.27283334,23,44,21.9645,0.954978,0.768000
phase3C_ladder_composite_count_delta,molecular,0.307029,0.30702906,23,44,21.9380,0.953826,0.770000
phase3C_ladder_composite_count_delta,molecular,0.345511,0.34551073,23,44,22.0020,0.956609,0.765000
phase3C_ladder_composite_count_delta,molecular,0.388816,0.38881552,23,44,22.0935,0.960587,0.744000
phase3C_ladder_composite_count_delta,molecular,0.437548,0.43754794,23,44,22.0345,0.958022,0.750500
phase3C_ladder_composite_count_delta,molecular,0.492388,0.49238826,23,44,21.9745,0.955413,0.766500
phase3C_ladder_composite_count_delta,molecular,0.554102,0.55410203,24,47,22.0125,0.917187,0.882000
phase3C_ladder_composite_count_delta,molecular,0.623551,0.62355073,24,47,22.0845,0.920187,0.891000
phase3C_ladder_composite_count_delta,molecular,0.701704,0.70170383,24,47,22.0270,0.917792,0.887000
phase3C_ladder_composite_count_delta,molecular,0.789652,0.78965229,24,47,22.2665,0.927771,0.868500
phase3C_ladder_composite_count_delta,molecular,0.888624,0.88862382,24,47,22.2805,0.928354,0.866000
phase3C_ladder_composite_count_delta,molecular,1.000000,1.00000000,24,47,22.4255,0.934396,0.841000
phase3C_ladder_constrained_flag,molecular,0.010000,0.01000000,24,46,23.0255,0.959396,0.772000
phase3C_ladder_constrained_flag,molecular,0.011253,0.01125336,24,46,22.9590,0.956625,0.757000
phase3C_ladder_constrained_flag,molecular,0.012664,0.01266380,24,46,22.9850,0.957708,0.778500
phase3C_ladder_constrained_flag,molecular,0.014251,0.01425103,24,46,23.0060,0.958583,0.767500
phase3C_ladder_constrained_flag,molecular,0.016037,0.01603719,24,46,22.9360,0.955667,0.778500
phase3C_ladder_constrained_flag,molecular,0.018047,0.01804722,24,46,22.9215,0.955063,0.776000
phase3C_ladder_constrained_flag,molecular,0.020309,0.02030918,24,46,23.0055,0.958563,0.766500
phase3C_ladder_constrained_flag,molecular,0.022855,0.02285464,24,46,23.0060,0.958583,0.781000
phase3C_ladder_constrained_flag,molecular,0.025719,0.02571914,24,46,22.9735,0.957229,0.775500
phase3C_ladder_constrained_flag,molecular,0.028943,0.02894266,24,46,23.0880,0.962000,0.751000
phase3C_ladder_constrained_flag,molecular,0.032570,0.03257021,24,46,23.0770,0.961542,0.761000
phase3C_ladder_constrained_flag,molecular,0.036652,0.03665241,24,46,22.9980,0.958250,0.777000
phase3C_ladder_constrained_flag,molecular,0.041246,0.04124626,24,46,22.9900,0.957917,0.770500
phase3C_ladder_constrained_flag,molecular,0.046416,0.04641589,24,46,22.9825,0.957604,0.785500
phase3C_ladder_constrained_flag,molecular,0.052233,0.05223345,24,46,23.0150,0.958958,0.773000
phase3C_ladder_constrained_flag,molecular,0.058780,0.05878016,24,46,22.9245,0.955187,0.779000
phase3C_ladder_constrained_flag,molecular,0.066147,0.06614741,24,46,22.9605,0.956688,0.771000
phase3C_ladder_constrained_flag,molecular,0.074438,0.07443803,24,46,23.0290,0.959542,0.769000
phase3C_ladder_constrained_flag,molecular,0.083768,0.08376776,24,46,22.9855,0.957729,0.787000
phase3C_ladder_constrained_flag,molecular,0.094267,0.09426685,24,46,22.9840,0.957667,0.762500
phase3C_ladder_constrained_flag,molecular,0.106082,0.10608184,24,46,23.0390,0.959958,0.762500
phase3C_ladder_constrained_flag,molecular,0.119378,0.11937766,24,46,22.9765,0.957354,0.775500
phase3C_ladder_constrained_flag,molecular,0.134340,0.13433993,24,46,22.9960,0.958167,0.769000
phase3C_ladder_constrained_flag,molecular,0.151178,0.15117751,24,46,23.0235,0.959312,0.764000
phase3C_ladder_constrained_flag,molecular,0.170125,0.17012543,24,46,22.9235,0.955146,0.773000
phase3C_ladder_constrained_flag,molecular,0.191448,0.19144820,24,46,23.0685,0.961187,0.758000
phase3C_ladder_constrained_flag,molecular,0.215443,0.21544347,24,46,22.9725,0.957187,0.780500
phase3C_ladder_constrained_flag,molecular,0.242446,0.24244620,24,46,23.0530,0.960542,0.755500
phase3C_ladder_constrained_flag,molecular,0.272833,0.27283334,24,46,23.0100,0.958750,0.763500
phase3C_ladder_constrained_flag,molecular,0.307029,0.30702906,24,46,22.9605,0.956688,0.783500
phase3C_ladder_constrained_flag,molecular,0.345511,0.34551073,24,46,22.9420,0.955917,0.785000
phase3C_ladder_constrained_flag,molecular,0.388816,0.38881552,24,46,22.9445,0.956021,0.781500
phase3C_ladder_constrained_flag,molecular,0.437548,0.43754794,24,46,23.0030,0.958458,0.748000
phase3C_ladder_constrained_flag,molecular,0.492388,0.49238826,24,46,22.9600,0.956667,0.777000
phase3C_ladder_constrained_flag,molecular,0.554102,0.55410203,24,47,23.0425,0.960104,0.769500
phase3C_ladder_constrained_flag,molecular,0.623551,0.62355073,24,47,23.0405,0.960021,0.761000
phase3C_ladder_constrained_flag,molecular,0.701704,0.70170383,24,47,23.0670,0.961125,0.763000
phase3C_ladder_constrained_flag,molecular,0.789652,0.78965229,24,47,23.0370,0.959875,0.769500
phase3C_ladder_constrained_flag,molecular,0.888624,0.88862382,24,47,23.0700,0.961250,0.763500
phase3C_ladder_constrained_flag,molecular,1.000000,1.00000000,24,47,23.1255,0.963562,0.757500
phase3C_ladder_electric_charge_violation_flag,unknown,0.010000,0.01000000,24,46,22.9700,0.957083,0.776500
phase3C_ladder_electric_charge_violation_flag,unknown,0.011253,0.01125336,24,46,22.9465,0.956104,0.786500
phase3C_ladder_electric_charge_violation_flag,unknown,0.012664,0.01266380,24,46,22.9255,0.955229,0.790500
phase3C_ladder_electric_charge_violation_flag,unknown,0.014251,0.01425103,24,46,22.8950,0.953958,0.784000
phase3C_ladder_electric_charge_violation_flag,unknown,0.016037,0.01603719,24,46,22.9660,0.956917,0.787500
phase3C_ladder_electric_charge_violation_flag,unknown,0.018047,0.01804722,24,46,22.9585,0.956604,0.791500
phase3C_ladder_electric_charge_violation_flag,unknown,0.020309,0.02030918,24,46,22.9520,0.956333,0.768500
phase3C_ladder_electric_charge_violation_flag,unknown,0.022855,0.02285464,24,46,23.0000,0.958333,0.768000
phase3C_ladder_electric_charge_violation_flag,unknown,0.025719,0.02571914,24,46,22.9885,0.957854,0.772500
phase3C_ladder_electric_charge_violation_flag,unknown,0.028943,0.02894266,24,46,22.9795,0.957479,0.770500
phase3C_ladder_electric_charge_violation_flag,unknown,0.032570,0.03257021,24,46,22.9970,0.958208,0.772500
phase3C_ladder_electric_charge_violation_flag,unknown,0.036652,0.03665241,24,46,22.9150,0.954792,0.783000
phase3C_ladder_electric_charge_violation_flag,unknown,0.041246,0.04124626,24,46,22.9485,0.956187,0.773000
phase3C_ladder_electric_charge_violation_flag,unknown,0.046416,0.04641589,24,46,22.9955,0.958146,0.779000
phase3C_ladder_electric_charge_violation_flag,unknown,0.052233,0.05223345,24,46,22.9985,0.958271,0.774000
phase3C_ladder_electric_charge_violation_flag,unknown,0.058780,0.05878016,24,46,23.0085,0.958688,0.776000
phase3C_ladder_electric_charge_violation_flag,unknown,0.066147,0.06614741,24,46,23.0905,0.962104,0.763000
phase3C_ladder_electric_charge_violation_flag,unknown,0.074438,0.07443803,24,46,22.9830,0.957625,0.779500
phase3C_ladder_electric_charge_violation_flag,unknown,0.083768,0.08376776,24,46,23.0180,0.959083,0.778500
phase3C_ladder_electric_charge_violation_flag,unknown,0.094267,0.09426685,24,46,22.9820,0.957583,0.768000
phase3C_ladder_electric_charge_violation_flag,unknown,0.106082,0.10608184,24,46,23.0030,0.958458,0.773000
phase3C_ladder_electric_charge_violation_flag,unknown,0.119378,0.11937766,24,46,22.9635,0.956812,0.771500
phase3C_ladder_electric_charge_violation_flag,unknown,0.134340,0.13433993,24,46,23.0300,0.959583,0.770500
phase3C_ladder_electric_charge_violation_flag,unknown,0.151178,0.15117751,24,46,22.9515,0.956313,0.769500
phase3C_ladder_electric_charge_violation_flag,unknown,0.170125,0.17012543,24,46,22.9640,0.956833,0.782000
phase3C_ladder_electric_charge_violation_flag,unknown,0.191448,0.19144820,24,46,22.9900,0.957917,0.766000
phase3C_ladder_electric_charge_violation_flag,unknown,0.215443,0.21544347,24,46,23.0415,0.960062,0.759000
phase3C_ladder_electric_charge_violation_flag,unknown,0.242446,0.24244620,24,46,22.9550,0.956458,0.780500
phase3C_ladder_electric_charge_violation_flag,unknown,0.272833,0.27283334,24,46,22.9715,0.957146,0.767000
phase3C_ladder_electric_charge_violation_flag,unknown,0.307029,0.30702906,24,46,23.0435,0.960146,0.764500
phase3C_ladder_electric_charge_violation_flag,unknown,0.345511,0.34551073,24,46,22.9975,0.958229,0.786500
phase3C_ladder_electric_charge_violation_flag,unknown,0.388816,0.38881552,24,46,22.9475,0.956146,0.782500
phase3C_ladder_electric_charge_violation_flag,unknown,0.437548,0.43754794,24,46,22.9820,0.957583,0.774500
phase3C_ladder_electric_charge_violation_flag,unknown,0.492388,0.49238826,24,46,22.9920,0.958000,0.771500
phase3C_ladder_electric_charge_violation_flag,unknown,0.554102,0.55410203,24,47,22.9380,0.955750,0.788000
phase3C_ladder_electric_charge_violation_flag,unknown,0.623551,0.62355073,24,47,23.0300,0.959583,0.765500
phase3C_ladder_electric_charge_violation_flag,unknown,0.701704,0.70170383,24,47,23.0565,0.960688,0.770000
phase3C_ladder_electric_charge_violation_flag,unknown,0.789652,0.78965229,24,47,23.1145,0.963104,0.756500
phase3C_ladder_electric_charge_violation_flag,unknown,0.888624,0.88862382,24,47,23.0735,0.961396,0.746000
phase3C_ladder_electric_charge_violation_flag,unknown,1.000000,1.00000000,24,47,23.1720,0.965500,0.744500
phase3C_ladder_external_count_delta,molecular,0.010000,0.01000000,23,44,22.0640,0.959304,0.749500
phase3C_ladder_external_count_delta,molecular,0.011253,0.01125336,23,44,21.9190,0.953000,0.777000
phase3C_ladder_external_count_delta,molecular,0.012664,0.01266380,23,44,22.0885,0.960370,0.756000
phase3C_ladder_external_count_delta,molecular,0.014251,0.01425103,23,44,22.0500,0.958696,0.757500
phase3C_ladder_external_count_delta,molecular,0.016037,0.01603719,23,44,21.9710,0.955261,0.769000
phase3C_ladder_external_count_delta,molecular,0.018047,0.01804722,23,44,21.9955,0.956326,0.765000
phase3C_ladder_external_count_delta,molecular,0.020309,0.02030918,23,44,21.9205,0.953065,0.784000
phase3C_ladder_external_count_delta,molecular,0.022855,0.02285464,23,44,22.0595,0.959109,0.759500
phase3C_ladder_external_count_delta,molecular,0.025719,0.02571914,23,44,21.9310,0.953522,0.770500
