ladder,domain,kappa,epsilon,nu_V,vuln_count,inv,rho,Ak
phase3_transition_ladder_layer_transition_code,molecular,0.010000,0.01000000,2,3,1.5050,0.752500,0.920000
phase3_transition_ladder_layer_transition_code,molecular,0.011253,0.01125336,2,3,1.4690,0.734500,0.924500
phase3_transition_ladder_layer_transition_code,molecular,0.012664,0.01266380,2,3,1.5190,0.759500,0.915500
phase3_transition_ladder_layer_transition_code,molecular,0.014251,0.01425103,2,3,1.4870,0.743500,0.926000
phase3_transition_ladder_layer_transition_code,molecular,0.016037,0.01603719,2,3,1.5200,0.760000,0.911500
phase3_transition_ladder_layer_transition_code,molecular,0.018047,0.01804722,2,3,1.4970,0.748500,0.916000
phase3_transition_ladder_layer_transition_code,molecular,0.020309,0.02030918,2,3,1.5030,0.751500,0.921000
phase3_transition_ladder_layer_transition_code,molecular,0.022855,0.02285464,2,3,1.4995,0.749750,0.926000
phase3_transition_ladder_layer_transition_code,molecular,0.025719,0.02571914,2,3,1.5145,0.757250,0.915000
phase3_transition_ladder_layer_transition_code,molecular,0.028943,0.02894266,2,3,1.5235,0.761750,0.919500
phase3_transition_ladder_layer_transition_code,molecular,0.032570,0.03257021,2,3,1.4910,0.745500,0.922500
phase3_transition_ladder_layer_transition_code,molecular,0.036652,0.03665241,2,3,1.4930,0.746500,0.907500
phase3_transition_ladder_layer_transition_code,molecular,0.041246,0.04124626,2,3,1.4740,0.737000,0.917500
phase3_transition_ladder_layer_transition_code,molecular,0.046416,0.04641589,2,3,1.4965,0.748250,0.912500
phase3_transition_ladder_layer_transition_code,molecular,0.052233,0.05223345,2,3,1.4950,0.747500,0.911500
phase3_transition_ladder_layer_transition_code,molecular,0.058780,0.05878016,2,3,1.5135,0.756750,0.907000
phase3_transition_ladder_layer_transition_code,molecular,0.066147,0.06614741,2,3,1.4915,0.745750,0.920000
phase3_transition_ladder_layer_transition_code,molecular,0.074438,0.07443803,2,3,1.4995,0.749750,0.912000
phase3_transition_ladder_layer_transition_code,molecular,0.083768,0.08376776,2,3,1.5080,0.754000,0.909000
phase3_transition_ladder_layer_transition_code,molecular,0.094267,0.09426685,2,3,1.4875,0.743750,0.917500
