ladder,domain,kappa,epsilon,nu_V,vuln_count,inv,rho,Ak
boundary_pressure_proxy_ladder,unknown,0.010000,0.00022475,0,0,0.0000,0.000000,1.000000
boundary_pressure_proxy_ladder,unknown,0.011253,0.00025292,0,0,0.0000,0.000000,1.000000
boundary_pressure_proxy_ladder,unknown,0.012664,0.00028462,0,0,0.0000,0.000000,1.000000
boundary_pressure_proxy_ladder,unknown,0.014251,0.00032029,0,0,0.0000,0.000000,1.000000
boundary_pressure_proxy_ladder,unknown,0.016037,0.00036043,0,0,0.0000,0.000000,1.000000
boundary_pressure_proxy_ladder,unknown,0.018047,0.00040561,0,0,0.0000,0.000000,1.000000
boundary_pressure_proxy_ladder,unknown,0.020309,0.00045644,0,0,0.0000,0.000000,1.000000
boundary_pressure_proxy_ladder,unknown,0.022855,0.00051365,0,0,0.0000,0.000000,1.000000
boundary_pressure_proxy_ladder,unknown,0.025719,0.00057803,0,0,0.0000,0.000000,1.000000
boundary_pressure_proxy_ladder,unknown,0.028943,0.00065048,0,0,0.0000,0.000000,1.000000
boundary_pressure_proxy_ladder,unknown,0.032570,0.00073201,0,0,0.0000,0.000000,1.000000
boundary_pressure_proxy_ladder,unknown,0.036652,0.00082375,0,0,0.0000,0.000000,1.000000
boundary_pressure_proxy_ladder,unknown,0.041246,0.00092700,0,0,0.0000,0.000000,1.000000
boundary_pressure_proxy_ladder,unknown,0.046416,0.00104319,0,0,0.0000,0.000000,1.000000
boundary_pressure_proxy_ladder,unknown,0.052233,0.00117394,0,0,0.0000,0.000000,1.000000
boundary_pressure_proxy_ladder,unknown,0.058780,0.00132107,1,1,0.0005,0.000500,1.000000
boundary_pressure_proxy_ladder,unknown,0.066147,0.00148665,1,1,0.0070,0.007000,1.000000
boundary_pressure_proxy_ladder,unknown,0.074438,0.00167298,1,1,0.0250,0.025000,1.000000
boundary_pressure_proxy_ladder,unknown,0.083768,0.00188266,1,1,0.0530,0.053000,1.000000
boundary_pressure_proxy_ladder,unknown,0.094267,0.00211863,1,1,0.0765,0.076500,1.000000
boundary_pressure_proxy_ladder,unknown,0.106082,0.00238417,2,2,0.1235,0.061750,1.000000
boundary_pressure_proxy_ladder,unknown,0.119378,0.00268299,2,2,0.1510,0.075500,1.000000
boundary_pressure_proxy_ladder,unknown,0.134340,0.00301926,2,2,0.2015,0.100750,1.000000
boundary_pressure_proxy_ladder,unknown,0.151178,0.00339768,2,2,0.2590,0.129500,1.000000
boundary_pressure_proxy_ladder,unknown,0.170125,0.00382353,2,2,0.3080,0.154000,1.000000
boundary_pressure_proxy_ladder,unknown,0.191448,0.00430276,2,2,0.3715,0.185750,1.000000
boundary_pressure_proxy_ladder,unknown,0.215443,0.00484204,3,3,0.4135,0.137833,1.000000
boundary_pressure_proxy_ladder,unknown,0.242446,0.00544893,3,3,0.4885,0.162833,1.000000
boundary_pressure_proxy_ladder,unknown,0.272833,0.00613187,3,3,0.5225,0.174167,1.000000
boundary_pressure_proxy_ladder,unknown,0.307029,0.00690041,3,3,0.6105,0.203500,1.000000
boundary_pressure_proxy_ladder,unknown,0.345511,0.00776528,3,3,0.6630,0.221000,1.000000
boundary_pressure_proxy_ladder,unknown,0.388816,0.00873854,4,5,0.7650,0.191250,1.000000
boundary_pressure_proxy_ladder,unknown,0.437548,0.00983379,4,6,0.8900,0.222500,1.000000
boundary_pressure_proxy_ladder,unknown,0.492388,0.01106632,6,8,0.9795,0.163250,1.000000
boundary_pressure_proxy_ladder,unknown,0.554102,0.01245332,6,9,1.1345,0.189083,1.000000
boundary_pressure_proxy_ladder,unknown,0.623551,0.01401417,6,9,1.2870,0.214500,1.000000
boundary_pressure_proxy_ladder,unknown,0.701704,0.01577064,7,10,1.5205,0.217214,1.000000
boundary_pressure_proxy_ladder,unknown,0.789652,0.01774726,7,11,1.7330,0.247571,1.000000
boundary_pressure_proxy_ladder,unknown,0.888624,0.01997162,8,13,2.0385,0.254812,1.000000
boundary_pressure_proxy_ladder,unknown,1.000000,0.02247478,8,14,2.2375,0.279687,1.000000
