ladder,domain,kappa,epsilon,nu_V,vuln_count,inv,rho,Ak
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.010000,0.00008623,0,0,0.0000,0.000000,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.011253,0.00009703,0,0,0.0000,0.000000,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.012664,0.00010920,0,0,0.0000,0.000000,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.014251,0.00012288,0,0,0.0000,0.000000,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.016037,0.00013828,0,0,0.0000,0.000000,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.018047,0.00015562,0,0,0.0000,0.000000,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.020309,0.00017512,0,0,0.0000,0.000000,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.022855,0.00019707,0,0,0.0000,0.000000,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.025719,0.00022177,0,0,0.0000,0.000000,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.028943,0.00024956,0,0,0.0000,0.000000,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.032570,0.00028084,0,0,0.0000,0.000000,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.036652,0.00031604,0,0,0.0000,0.000000,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.041246,0.00035565,0,0,0.0000,0.000000,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.046416,0.00040023,0,0,0.0000,0.000000,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.052233,0.00045039,0,0,0.0000,0.000000,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.058780,0.00050684,0,0,0.0000,0.000000,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.066147,0.00057037,0,0,0.0000,0.000000,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.074438,0.00064186,0,0,0.0000,0.000000,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.083768,0.00072230,0,0,0.0000,0.000000,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.094267,0.00081284,0,0,0.0000,0.000000,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.106082,0.00091471,0,0,0.0000,0.000000,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.119378,0.00102936,0,0,0.0000,0.000000,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.134340,0.00115837,3,6,0.0035,0.001167,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.151178,0.00130356,10,20,0.0910,0.009100,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.170125,0.00146694,17,34,0.3965,0.023324,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.191448,0.00165080,25,50,0.9850,0.039400,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.215443,0.00185771,34,67,1.9590,0.057618,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.242446,0.00209054,44,87,3.3460,0.076045,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.272833,0.00235256,56,111,5.3550,0.095625,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.307029,0.00264742,71,142,7.9295,0.111683,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.345511,0.00297924,95,189,11.2485,0.118405,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.388816,0.00335264,154,308,15.6470,0.101604,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.437548,0.00377285,780,1559,24.9320,0.031964,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.492388,0.00424572,970,1939,48.4225,0.049920,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.554102,0.00477786,2000,4000,88.7180,0.044359,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.623551,0.00537669,2000,4000,156.9190,0.078460,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.701704,0.00605058,2000,4000,248.3605,0.124180,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.789652,0.00680894,2000,4000,353.9585,0.176979,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,0.888624,0.00766234,2000,4000,465.4375,0.232719,1.000000
classical_friedmann_response_ladder_preliminary_struc_i,unknown,1.000000,0.00862270,2000,4000,580.5190,0.290260,1.000000
