sample_index,trajectory_role,evolution_direction,redshift,scale_factor,ln_scale_factor,contraction_elapsed_time_Gyr,time_to_numerical_cutoff_Gyr,H_signed_km_s_Mpc,H_magnitude_km_s_Mpc,E_of_a,E2_of_a,Omega_m_planck,Omega_r_effective,Omega_Lambda_planck,Omega_Lambda_dynamic,present_closure_planck_plus_radiation,present_closure_dynamic,rho_m_relative_to_rho_crit0,rho_r_relative_to_rho_crit0,rho_lambda_relative_to_rho_crit0,rho_total_relative_to_rho_crit0,fraction_matter_at_a,fraction_radiation_at_a,fraction_lambda_at_a,ricci_scalar_over_6H0sq,scale_factor_margin_component,density_margin_component,curvature_margin_component,boundary_margin_candidate,distance_to_cutoff_log_a
0,classical_singular_approach,contraction,0,1,0,0,13.7969074704,-67.32178,67.32178,1,1,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.3157967,9.21617990232e-05,0.684111138201,1,0.3157967,9.21617990232e-05,0.684111138201,1.5261206264,1,0.5,0.395863914632,0.395863914632,18.420680744
1,classical_singular_approach,contraction,0.0046157902784,0.995405417352,-0.00460517018599,0.0668129750292,13.7300944954,-67.4695534936,67.4695534936,1.00219503248,1.00439488312,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.320189869708,9.38752147926e-05,0.684111138201,1.00439488312,0.318788830059,9.3464449461e-05,0.681117705492,1.52831721126,0.995405417352,0.4989036883,0.395519990746,0.395519990746,18.4160755738
2,classical_singular_approach,contraction,0.00925288607668,0.990831944893,-0.00921034037198,0.133478924288,13.6634285461,-67.6190532791,67.6190532791,1.00441570735,1.00885091318,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.324644154495,9.56204853395e-05,0.684111138201,1.00885091318,0.321795966335,9.47815817879e-05,0.678109252084,1.53054435365,0.990831944893,0.497797020893,0.395171891992,0.395171891992,18.4114704036
3,classical_singular_approach,contraction,0.0139113857367,0.986279485631,-0.013815510558,0.199996788771,13.5969106817,-67.7702963807,67.7702963807,1.00666227751,1.01336894096,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.329160404555,9.73982028883e-05,0.684111138201,1.01336894096,0.324817932789,9.6113270253e-05,0.675085953941,1.53280247868,0.986279485631,0.496679957486,0.394819575714,0.394819575714,18.4068652334
4,classical_singular_approach,contraction,0.0185913880541,0.98174794302,-0.018420680744,0.266365511168,13.5305419593,-67.9232999328,67.9232999328,1.00893499745,1.01794982908,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.333739481912,9.9208970674e-05,0.684111138201,1.01794982908,0.327854548797,9.74595877317e-05,0.672047991616,1.53509201736,0.98174794302,0.495552459029,0.394462999036,0.394462999036,18.4022600632
5,classical_singular_approach,contraction,0.0232929922808,0.977237220956,-0.0230258509299,0.332584036052,13.4643234344,-68.0780811792,68.0780811792,1.01123412333,1.02259445218,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.33838226058,0.000101053403146,0.684111138201,1.02259445218,0.330905629165,9.8820605696e-05,0.66899555023,1.53741340669,0.977237220956,0.494414487749,0.39410211886,0.39410211886,18.397654893
6,classical_singular_approach,contraction,0.0280162981265,0.972747223777,-0.0276310211159,0.398651310073,13.3982561604,-68.2346574738,68.2346574738,1.01355991291,1.02730369706,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.343089626734,0.000102932126178,0.684111138201,1.02730369706,0.333970984155,0.000100196394185,0.665928819451,1.53976708977,0.972747223777,0.493266007185,0.39373689187,0.39373689187,18.3930497228
7,classical_singular_approach,contraction,0.0327614057614,0.968277856261,-0.0322361913019,0.464566282149,13.3323411883,-68.3930462798,68.3930462798,1.0159126256,1.03207846285,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.347862478873,0.000104845777279,0.684111138201,1.03207846285,0.337050419512,0.000101587021775,0.662847993466,1.54215351584,0.968277856261,0.492106982226,0.393367274545,0.393367274545,18.3884445527
8,classical_singular_approach,contraction,0.037528415818,0.963829023624,-0.0368413614879,0.530327903665,13.2665795668,-68.5532651697,68.5532651697,1.01829252242,1.03691966121,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.352701728,0.000106795005811,0.684111138201,1.03691966121,0.340143736488,0.000102992555553,0.659753270957,1.5445731404,0.963829023624,0.490937379144,0.392993223155,0.392993223155,18.3838393825
9,classical_singular_approach,contraction,0.0423174293933,0.959400631516,-0.0414465316739,0.595935128664,13.2009723418,-68.7153318252,68.7153318252,1.02069986601,1.04182821646,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.357608297789,0.000108780473206,0.684111138201,1.04182821646,0.343250731875,0.000104413061085,0.656644855064,1.5470264253,0.959400631516,0.489757165631,0.392614693773,0.392614693773,18.3792342123
