sample_index,redshift,scale_factor,ln_scale_factor,cosmic_time_from_a_min_Gyr,lookback_from_present_Gyr,H_km_s_Mpc,E_of_a,E2_of_a,Omega_m_planck,Omega_r_effective,Omega_Lambda_planck,Omega_Lambda_dynamic,present_closure_planck_plus_radiation,present_closure_dynamic,rho_m_relative_to_rho_crit0,rho_r_relative_to_rho_crit0,rho_lambda_relative_to_rho_crit0,rho_total_relative_to_rho_crit0,fraction_matter_at_a,fraction_radiation_at_a,fraction_lambda_at_a,ricci_scalar_over_6H0sq,scale_factor_margin_component,density_margin_component,curvature_margin_component,boundary_margin_candidate
0,99999999,1e-08,-18.420680744,0,13.7969074704,6.46306468673e+15,9.6002581731e+13,9.21649569902e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,3.157967e+23,9.21617990232e+27,0.684111138201,9.21649569902e+27,3.42642920165e-05,0.999965735708,7.42268168447e-29,1.5789835e+23,1e-08,1.08501108519e-28,6.33318840887e-24,1.08501108519e-28
1,99540540.7352,1.00461579028e-08,-18.4160755738,6.99936026546e-16,13.7969074704,6.40381145992e+15,9.51224322934e+13,9.04827712541e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,3.1146380684e+23,9.0479656616e+27,0.684111138201,9.04827712541e+27,3.44224433583e-05,0.999965577557,7.56067844429e-29,1.5573190342e+23,1.00461579028e-08,1.10518277252e-28,6.42129183577e-24,1.10518277252e-28
2,99083193.4893,1.00925288608e-08,-18.4114704036,1.40634842541e-15,13.7969074704,6.34510146764e+15,9.42503520798e+13,8.88312886716e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,3.07190363203e+23,8.8828216768e+27,0.684111138201,8.88312886716e+27,3.45813246432e-05,0.999965418675,7.70124072758e-29,1.53595181601e+23,1.00925288608e-08,1.12572947545e-28,6.51062090343e-24,1.12572947545e-28
3,98627947.5631,1.01391138574e-08,-18.4068652334,2.11929712096e-15,13.7969074704,6.28692972948e+15,9.33862671112e+13,8.72099488496e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,3.02975553411e+23,8.72069190941e+27,0.684111138201,8.72099488496e+27,3.474093924e-05,0.999965259061,7.84441623032e-29,1.51487776705e+23,1.01391138574e-08,1.14665816594e-28,6.6011926622e-24,1.14665816594e-28
4,98174793.302,1.01859138805e-08,-18.4022600632,2.83884259201e-15,13.7969074704,6.22929131072e+15,9.2530104087e+13,8.56182016235e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.98818572977e+23,8.56152134377e+27,0.684111138201,8.56182016235e+27,3.49012905329e-05,0.999965098709,7.99025353522e-29,1.49409286488e+23,1.01859138805e-08,1.16797594558e-28,6.69302439964e-24,1.16797594558e-28
5,97723721.0956,1.02329299228e-08,-18.397654893,3.56504587697e-15,13.7969074704,6.17218132186e+15,9.16817903785e+13,8.405550687e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.94718628452e+23,8.40525596837e+27,0.684111138201,8.405550687e+27,3.5062381922e-05,0.999964937618,8.13880212821e-29,1.47359314226e+23,1.02329299228e-08,1.18969004797e-28,6.78613364381e-24,1.18969004797e-28
6,97274721.3777,1.02801629813e-08,-18.3930497228,4.29796857901e-15,13.7969074704,6.11559491825e+15,9.08412540228e+13,8.25213343244e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.90674937276e+23,8.2518427575e+27,0.684111138201,8.25213343244e+27,3.52242168229e-05,0.999964775783,8.29011241519e-29,1.45337468638e+23,1.02801629813e-08,1.21180784119e-28,6.88053816659e-24,1.21180784119e-28
7,96827784.6261,1.03276140576e-08,-18.3884445527,5.03767287133e-15,13.7969074704,6.05952729963e+15,9.00084237171e+13,8.10151634003e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.86686727623e+23,8.1012296533e+27,0.684111138201,8.10151634003e+27,3.53867986671e-05,0.999964613201,8.44423573919e-29,1.43343363811e+23,1.03276140576e-08,1.23433683033e-28,6.9762559871e-24,1.23433683033e-28
8,96382901.3624,1.03752841582e-08,-18.3838393825,5.78422150236e-15,13.7969074704,6.00397370976e+15,8.91832288118e+13,7.9536483013e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.82753238257e+23,7.95336554806e+27,0.684111138201,7.9536483013e+27,3.55501309016e-05,0.999964449869,8.60122439773e-29,1.41376619128e+23,1.03752841582e-08,1.25728465997e-28,7.07330537514e-24,1.25728465997e-28
9,95940062.1516,1.04231742939e-08,-18.3792342123,6.53767780115e-15,13.7969074704,5.94892943601e+15,8.83655993055e+13,7.80847914062e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.78873718389e+23,7.8082002669e+27,0.684111138201,7.80847914062e+27,3.57142169898e-05,0.999964285783,8.76113166061e-29,1.39436859194e+23,1.04231742939e-08,1.28065911683e-28,7.17170485465e-24,1.28065911683e-28
10,95499257.6021,1.04712854805e-08,-18.3746290421,7.29810568271e-15,13.7969074704,5.89438980896e+15,8.75554658382e+13,7.66595959814e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.75047427528e+23,7.66568455071e+27,0.684111138201,7.66595959814e+27,3.58790604108e-05,0.99996412094,8.92401178799e-29,1.37523713764e+23,1.04712854805e-08,1.30446813239e-28,7.27147320727e-24,1.30446813239e-28
11,95060478.3656,1.05196187382e-08,-18.3700238719,8.06556965341e-15,13.7969074704,5.84035020197e+15,8.6752759686e+13,7.52604131314e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.71273635347e+23,7.5257700395e+27,0.684111138201,7.52604131314e+27,3.60446646597e-05,0.999963955335,9.08992004876e-29,1.35636817673e+23,1.05196187382e-08,1.3287197856e-28,7.37262947593e-24,1.3287197856e-28
