t,signal
0,235.352
1,198.024
2,338.789
3,96.2145
4,275.648
5,218.021
6,147.771
7,574.543
8,263.203
9,229.579
10,90.6792
11,228.243
12,148.95
13,321.56
14,212.443
15,147.017
16,377.941
17,144.289
18,175.023
19,199.203
20,186.73
21,588.978
22,126.477
23,188.223
24,180.834
25,304.72
26,205.786
27,227.73
28,200.886
29,392.912
30,87.4615
31,274.442
32,198.179
33,277.991
34,165.084
35,189.823
36,128.583
37,281.273
38,233.772
39,246.191
40,236.92
41,328.306
42,211.815
43,206.077
44,211.378
45,390.279
46,96.6096
47,109.823
48,157.87
49,121.563
50,187.283
51,194.901
52,169.947
53,239.757
54,160.656
55,204.405
56,126.292
57,289.451
58,172.656
59,217.122
60,185.041
61,136.477
62,221.318
63,272.775
64,246.268
65,156.115
66,96.3386
67,477.964
68,212.614
69,89.0166
70,293.502
71,383.023
72,214.1
73,209.337
74,124.634
75,235.929
76,276.642
77,187.414
78,210.004
79,269.471
80,160.54
81,216.238
82,598.988
83,567.962
84,271.037
85,297.315
86,357.088
87,185.881
88,182.313
89,233.018
90,209.543
91,253.252
92,157.516
93,220.238
94,258.244
95,257.669
96,515.341
97,208.728
98,226.866
99,129.913
100,479.151
101,187.577
102,205.801
103,680.2
