time,amplitude
0.0,0.0
0.01,-1.0843342579391901e-07
0.02,-6.13354586675996e-07
0.03,-1.7807203676056815e-06
0.04,-3.665262738650199e-06
0.05,-6.083592325012432e-06
0.06,-8.608567441115156e-06
0.07,-1.0593173101369757e-05
0.08,-1.1291157534287777e-05
0.09,-1.004579371510772e-05
0.1,-6.4386795202153735e-06
0.11,-8.191159395209979e-08
0.12,9.895679795590695e-06
0.13,2.4665096134413034e-05
0.14,4.461339267436415e-05
0.15,6.836234388174489e-05
0.16,9.266568667953834e-05
0.17,0.00011348923726473004
0.18,0.00012751658505294472
0.19,0.00013298264821060002
0.2,0.00012987141963094473
0.21,0.00012122897896915674
0.22,0.00011547938629519194
0.23,0.00012493078247644007
0.24,0.000159667048137635
0.25,0.00022195014753378928
0.26,0.0003049283113796264
0.27,0.00039663093048147857
0.28,0.00048537104157730937
0.29,0.0005621328018605709
0.3,0.0006208729464560747
0.31,0.0006585048977285624
0.32,0.0006746314465999603
0.33,0.0006708300206810236
0.34,0.0006496179266832769
0.35,0.0006135462899692357
0.36,0.0005635851994156837
0.37,0.0004966778215020895
0.38,0.0004057702608406544
0.39,0.00028327235486358404
0.4,0.00012465115287341177
0.41,-7.386675861198455e-05
0.42,-0.00032281744643114507
0.43,-0.0006369371549226344
0.44,-0.0010190722532570362
0.45,-0.0014455560594797134
0.46,-0.0018629557453095913
0.47,-0.0022005741484463215
0.48,-0.0023932992480695248
0.49,-0.0024001654237508774
0.5,-0.0022134408354759216
0.51,-0.0018567355582490563
0.52,-0.0013711315114051104
0.53,-0.000801979738753289
0.54,-0.00019613679614849389
0.55,0.0003966765361838043
0.56,0.000926499255001545
0.57,0.0013522285735234618
0.58,0.001650406513363123
0.59,0.0018164332723245025
0.6,0.001861243974417448
0.61,0.0018081815214827657
0.62,0.001689812634140253
0.63,0.001541503588669002
0.64,0.0013926090905442834
0.65,0.0012598410248756409
0.66,0.0011440140660852194
0.67,0.001030985964462161
0.68,0.0008986596949398518
0.69,0.0007268377812579274
0.7,0.0005047253798693419
0.71,0.00023368658730760217
0.72,-7.580895908176899e-05
0.73,-0.00041040213545784354
0.74,-0.0007585951243527234
0.75,-0.001113210921175778
0.76,-0.0014774523442611098
0.77,-0.00187251390889287
0.78,-0.0023279802408069372
0.79,-0.002854806836694479
0.8,-0.003422629088163376
0.81,-0.003953645005822182
0.82,-0.004339960869401693
0.83,-0.004479664843529463
0.84,-0.004309697076678276
0.85,-0.0038237739354372025
0.86,-0.0030702860094606876
0.87,-0.0021276273764669895
0.88,-0.0010789008811116219
0.89,-4.743575118482113e-06
0.9,0.0010154291521757841
0.91,0.0018915163818746805
0.92,0.0025048512034118176
0.93,0.002728621941059828
0.94,0.0024884138256311417
0.95,0.0018130149692296982
0.96,0.0008371571893803775
0.97,-0.0002562180161476135
0.98,-0.0013059335760772228
0.99,-0.0022010658867657185
1.0,-0.0028816284611821175
1.01,-0.0033350465819239616
1.02,-0.0035887425765395164
1.03,-0.0036944779567420483
1.04,-0.003707677125930786
1.05,-0.0036708307452499866
1.06,-0.003605436999350786
1.07,-0.003514781128615141
1.08,-0.003394922474399209
1.09,-0.003245461033657193
1.1,-0.003076054621487856
1.11,-0.002926480956375599
1.12,-0.0028954569716006517
1.13,-0.003115343861281872
1.14,-0.0036677331663668156
1.15,-0.004509958438575268
1.16,-0.005461684428155422
1.17,-0.006269082892686129
1.18,-0.006699026562273502
1.19,-0.006594580598175526
1.2,-0.005892588756978512
1.21,-0.004606752190738916
1.22,-0.0027791797183454037
1.23,-0.0004649211186915636
1.24,0.0022279461845755577
1.25,0.005097308661788702
1.26,0.007817903533577919
1.27,0.009947188198566437
1.28,0.01104135811328888
1.29,0.010840177536010742
1.3,0.009401358664035797
1.31,0.007094653323292732
1.32,0.004421276040375233
1.33,0.0018122161272913218
1.34,-0.000438435235992074
1.35,-0.0021606667432934046
1.36,-0.0032795651350170374
1.37,-0.0037757421378046274
1.38,-0.0036675550509244204
1.39,-0.003022730816155672
1.4,-0.001970782643184066
1.41,-0.0007802590262144804
1.42,1.5916419215500355e-05
1.43,-0.0002736992319114506
1.44,-0.0021313256584107876
1.45,-0.005505872890353203
1.46,-0.009764352813363075
1.47,-0.013990983366966248
1.48,-0.017373301088809967
1.49,-0.019371341913938522
1.5,-0.01973230391740799
1.51,-0.01845410466194153
1.52,-0.015698913484811783
1.53,-0.011709433048963547
1.54,-0.006769183091819286
1.55,-0.0011845673434436321
1.56,0.004745303187519312
1.57,0.010771602392196655
1.58,0.016705714166164398
1.59,0.02238144539296627
1.6,0.02761303260922432
1.61,0.03219595178961754
1.62,0.03596175089478493
1.63,0.03881741315126419
1.64,0.04072079434990883
1.65,0.0416373647749424
1.66,0.04145734757184982
1.67,0.03989435359835625
1.68,0.03657298535108566
1.69,0.031312569975852966
1.7,0.024370107799768448
1.71,0.016453679651021957
1.72,0.008443785831332207
1.73,0.0010672062635421753
1.74,-0.005215086508542299
1.75,-0.010186707600951195
1.76,-0.013885353691875935
1.77,-0.016640594229102135
1.78,-0.018970150500535965
1.79,-0.021316589787602425
1.8,-0.02381628006696701
1.81,-0.026242244988679886
1.82,-0.028167761862277985
1.83,-0.02920372411608696
1.84,-0.029120421037077904
1.85,-0.02787373773753643
1.86,-0.02559194713830948
1.87,-0.02251722663640976
1.88,-0.01892761141061783
1.89,-0.015079527162015438
1.9,-0.011175958439707756
1.91,-0.007351813372224569
1.92,-0.0036763257812708616
1.93,-0.00016779708676040173
1.94,0.003188887843862176
1.95,0.006427190266549587
1.96,0.009618770331144333
1.97,0.01291690208017826
1.98,0.016503553837537766
1.99,0.020430780947208405
2.0,0.02448739856481552
2.01,0.028177402913570404
2.02,0.030858777463436127
2.03,0.03198355808854103
2.04,0.031284723430871964
2.05,0.028860479593276978
2.06,0.025226633995771408
2.07,0.02130088582634926
2.08,0.018144406378269196
2.09,0.01653456501662731
2.1,0.01663723960518837
2.11,0.017980139702558517
2.12,0.019798189401626587
2.13,0.021431492641568184
2.14,0.02245207130908966
2.15,0.022634027525782585
2.16,0.021772440522909164
2.17,0.019371824339032173
2.18,0.01470186561346054
2.19,0.007323296740651131
2.2,-0.0024186214432120323
2.21,-0.01327152457088232
2.22,-0.02345351129770279
2.23,-0.031314998865127563
2.24,-0.03583299368619919
2.25,-0.03683265298604965
2.26,-0.03496041148900986
2.27,-0.031347911804914474
2.28,-0.027155499905347824
2.29,-0.02327555976808071
2.3,-0.020205175504088402
2.31,-0.018043875694274902
2.32,-0.016635261476039886
2.33,-0.015741927549242973
2.34,-0.015134446322917938
2.35,-0.01462138444185257
2.36,-0.014057336375117302
2.37,-0.013331211172044277
2.38,-0.01236569881439209
2.39,-0.011138513684272766
2.4,-0.009700404480099678
2.41,-0.008243133313953876
2.42,-0.007201964035630226
2.43,-0.007155765313655138
2.44,-0.008503939025104046
2.45,-0.011183926835656166
2.46,-0.014612452127039433
2.47,-0.017915287986397743
2.48,-0.020275209099054337
2.49,-0.021144332364201546
2.5,-0.020316943526268005
2.51,-0.017923034727573395
2.52,-0.01432837825268507
2.53,-0.009981073439121246
2.54,-0.005285466555505991
2.55,-0.0005277004092931747
2.56,0.004223682917654514
2.57,0.009235251694917679
2.58,0.015024389140307903
2.59,0.02205103263258934
2.6,0.03043556772172451
2.61,0.03991403803229332
2.62,0.05005355924367905
2.63,0.060414768755435944
2.64,0.07046374678611755
2.65,0.07943219691514969
2.66,0.08620648831129074
2.67,0.08931543678045273
2.68,0.08727449923753738
2.69,0.0791701003909111
2.7,0.06509365886449814
2.71,0.046175140887498856
2.72,0.02414221502840519
2.73,0.0007743816822767258
2.74,-0.02234870381653309
2.75,-0.04390319436788559
2.76,-0.06287684291601181
2.77,-0.07864412665367126
2.78,-0.09095227718353271
2.79,-0.09977841377258301
2.8,-0.10517077893018723
2.81,-0.10718239098787308
2.82,-0.10593455284833908
2.83,-0.10170251876115799
2.84,-0.09490896761417389
2.85,-0.08606875687837601
2.86,-0.07565928250551224
2.87,-0.06392955034971237
2.88,-0.05093245208263397
2.89,-0.03683316707611084
2.9,-0.02219977416098118
2.91,-0.008081752806901932
2.92,0.004216860979795456
2.93,0.013569391332566738
2.94,0.01937543787062168
2.95,0.021722663193941116
2.96,0.02132420241832733
2.97,0.019181763753294945
2.98,0.01622042804956436
2.99,0.013146257027983665
3.0,0.010441201739013195
3.01,0.008292739279568195
3.02,0.00646029831841588
3.03,0.004382614977657795
3.04,0.0015789549797773361
3.05,-0.0019814600236713886
3.06,-0.005793137475848198
3.07,-0.009088128805160522
3.08,-0.011208825744688511
