time,amplitude
0.0,-2404418.0
0.025,-2373582.0
0.05,-2342546.0
0.075,-2311052.0
0.1,-2281058.0
0.125,-2250195.0
0.15,-2220554.0
0.175,-2189828.0
0.2,-2163235.0
0.225,-2166474.0
0.25,-2194203.0
0.275,-2223282.0
0.3,-2252764.0
0.325,-2283023.0
0.35,-2312645.0
0.375,-2342524.0
0.4,-2372415.0
0.425,-2402654.0
0.45,-2432170.0
0.475,-2461767.0
0.5,-2491998.0
0.525,-2521484.0
0.55,-2550964.0
0.575,-2580449.0
0.6,-2609636.0
0.625,-2639131.0
0.65,-2668647.0
0.675,-2698090.0
0.7,-2727787.0
0.725,-2757658.0
0.75,-2787154.0
0.775,-2816548.0
0.8,-2846260.0
0.825,-2875381.0
0.85,-2905033.0
0.875,-2935135.0
0.9,-2964206.0
0.925,-2994064.0
0.95,-3022773.0
0.975,-3053322.0
1.0,-3078546.0
1.025,-3073357.0
1.05,-3045116.0
1.075,-3014815.0
1.1,-2983486.0
1.125,-2952464.0
1.15,-2921505.0
1.175,-2890237.0
1.2,-2859331.0
1.225,-2827980.0
1.25,-2797083.0
1.275,-2766094.0
1.3,-2735073.0
1.325,-2704373.0
1.35,-2673487.0
1.375,-2642327.0
1.4,-2611536.0
1.425,-2580950.0
1.45,-2549949.0
1.475,-2519272.0
1.5,-2488643.0
1.525,-2457778.0
1.55,-2426979.0
1.575,-2396231.0
1.6,-2365842.0
1.625,-2335399.0
1.65,-2305054.0
1.675,-2274904.0
1.7,-2243856.0
1.725,-2212704.0
1.75,-2182372.0
1.775,-2151747.0
1.8,-2120753.0
1.825,-2090145.0
1.85,-2060096.0
1.875,-2029811.0
1.9,-1999260.0
1.925,-1969250.0
1.95,-1938823.0
1.975,-1907894.0
2.0,-1877935.0
2.025,-1847943.0
2.05,-1817148.0
2.075,-1787159.0
2.1,-1757027.0
2.125,-1726262.0
2.15,-1695965.0
2.175,-1665563.0
2.2,-1635384.0
2.225,-1605500.0
2.25,-1575273.0
2.275,-1545145.0
2.3,-1515163.0
2.325,-1485285.0
2.35,-1455355.0
2.375,-1424824.0
2.4,-1394667.0
2.425,-1365100.0
2.45,-1335332.0
2.475,-1305588.0
2.5,-1275579.0
2.525,-1245352.0
2.55,-1215096.0
2.575,-1184861.0
2.6,-1154757.0
2.625,-1124745.0
2.65,-1094906.0
2.675,-1064880.0
2.7,-1035077.0
2.725,-1005592.0
2.75,-975656.0
2.775,-945630.0
2.8,-916463.0
2.825,-887251.0
2.85,-857248.0
2.875,-828070.0
2.9,-798897.0
2.925,-768396.0
2.95,-738795.0
2.975,-709435.0
3.0,-679126.0
3.025,-649807.0
3.05,-620454.0
3.075,-590582.0
3.1,-561058.0
3.125,-531300.0
3.15,-501827.0
3.175,-472293.0
3.2,-442491.0
3.225,-413224.0
3.25,-383989.0
3.275,-354242.0
3.3,-324707.0
3.325,-295947.0
3.35,-266608.0
3.375,-236854.0
3.4,-207795.0
3.425,-178309.0
3.45,-149156.0
3.475,-119863.0
3.5,-89785.0
3.525,-61107.0
3.55,-32059.0
3.575,-2131.0
3.6,27182.0
3.625,56384.0
3.65,85659.0
3.675,114978.0
3.7,143794.0
3.725,172697.0
3.75,201521.0
3.775,230108.0
3.8,259202.0
3.825,288584.0
3.85,318099.0
3.875,347380.0
3.9,376832.0
3.925,406027.0
3.95,434671.0
3.975,463833.0
4.0,492691.0
4.025,521013.0
4.05,549797.0
4.075,578633.0
4.1,607688.0
4.125,636828.0
4.15,665154.0
4.175,693808.0
4.2,723014.0
4.225,751567.0
4.25,779846.0
4.275,808764.0
4.3,838072.0
4.325,866754.0
4.35,895476.0
4.375,924730.0
4.4,953233.0
4.425,981777.0
4.45,1010779.0
4.475,1039271.0
4.5,1067748.0
4.525,1096338.0
4.55,1125108.0
4.575,1153588.0
4.6,1181792.0
4.625,1210214.0
4.65,1238292.0
4.675,1266666.0
4.7,1295464.0
4.725,1324116.0
4.75,1352826.0
4.775,1381385.0
4.8,1409710.0
4.825,1438104.0
4.85,1466205.0
4.875,1493965.0
4.9,1522172.0
4.925,1550687.0
4.95,1579268.0
4.975,1607509.0
5.0,1635580.0
5.025,1664102.0
5.05,1692345.0
5.075,1720924.0
5.1,1749513.0
5.125,1777481.0
5.15,1805978.0
5.175,1834157.0
5.2,1861877.0
5.225,1889789.0
5.25,1917931.0
5.275,1946079.0
5.3,1973725.0
5.325,2002143.0
5.35,2030479.0
5.375,2057868.0
5.4,2086141.0
5.425,2114836.0
5.45,2142719.0
5.475,2170372.0
5.5,2198435.0
5.525,2226333.0
5.55,2253816.0
5.575,2281459.0
5.6,2309190.0
5.625,2336482.0
5.65,2364137.0
5.675,2392122.0
5.7,2419675.0
5.725,2447518.0
5.75,2475568.0
5.775,2503440.0
5.8,2531065.0
5.825,2558780.0
5.85,2586740.0
5.875,2614180.0
5.9,2641604.0
5.925,2669152.0
5.95,2696466.0
5.975,2724639.0
6.0,2752568.0
6.025,2779597.0
6.05,2807259.0
6.075,2834860.0
6.1,2862278.0
6.125,2889529.0
6.15,2916757.0
6.175,2944524.0
6.2,2971625.0
6.225,2998695.0
6.25,3026354.0
6.275,3054164.0
6.3,3081633.0
6.325,3108984.0
6.35,3136946.0
6.375,3164282.0
6.4,3191802.0
6.425,3219509.0
6.45,3246724.0
6.475,3274277.0
6.5,3301526.0
6.525,3329433.0
6.55,3355989.0
6.575,3384006.0
6.6,3407001.0
6.625,3400058.0
6.65,3369337.0
6.675,3336561.0
6.7,3303251.0
6.725,3269556.0
6.75,3236076.0
6.775,3202812.0
6.8,3169716.0
6.825,3136072.0
6.85,3103172.0
6.875,3070412.0
6.9,3037098.0
6.925,3004300.0
6.95,2971792.0
6.975,2938626.0
7.0,2905495.0
7.025,2873171.0
7.05,2840502.0
7.075,2807102.0
7.1,2774336.0
7.125,2741470.0
7.15,2707851.0
7.175,2675110.0
7.2,2642290.0
7.225,2609006.0
7.25,2576306.0
7.275,2543595.0
7.3,2511253.0
7.325,2478370.0
7.35,2446090.0
7.375,2412137.0
7.4,2383607.0
7.425,2385062.0
7.45,2410402.0
7.475,2437735.0
7.5,2465788.0
7.525,2493956.0
7.55,2521915.0
7.575,2550030.0
7.6,2577348.0
7.625,2604641.0
7.65,2632132.0
7.675,2660430.0
7.7,2688050.0
7.725,2715171.0
7.75,2743238.0
7.775,2770604.0
7.8,2797683.0
7.825,2825665.0
7.85,2852970.0
7.875,2880074.0
7.9,2908144.0
7.925,2935784.0
7.95,2963070.0
7.975,2991087.0
8.0,3018918.0
8.025,3045820.0
8.05,3073864.0
8.075,3101921.0
8.1,3128473.0
8.125,3156364.0
8.15,3182943.0
8.175,3211127.0
8.2,3234353.0
8.225,3227270.0
8.25,3196599.0
8.275,3164188.0
8.3,3131136.0
8.325,3097645.0
8.35,3064919.0
8.375,3031814.0
8.4,2998481.0
8.425,2965337.0
8.45,2932327.0
8.475,2899305.0
8.5,2866468.0
8.525,2833850.0
8.55,2801286.0
8.575,2768500.0
8.6,2735700.0
8.625,2702590.0
8.65,2668939.0
8.675,2635957.0
8.7,2603397.0
8.725,2570391.0
8.75,2537817.0
8.775,2505768.0
8.8,2473249.0
8.825,2440132.0
8.85,2407951.0
8.875,2375813.0
8.9,2342598.0
8.925,2310143.0
8.95,2277613.0
8.975,2244717.0
9.0,2212583.0
9.025,2180369.0
9.05,2147409.0
9.075,2114567.0
9.1,2082510.0
9.125,2050122.0
9.15,2017656.0
9.175,1985623.0
9.2,1953428.0
9.225,1921178.0
9.25,1888922.0
9.275,1856669.0
9.3,1824290.0
9.325,1791580.0
9.35,1759444.0
9.375,1727476.0
9.4,1695018.0
9.425,1663160.0
9.45,1631468.0
9.475,1599465.0
9.5,1567399.0
9.525,1535235.0
9.55,1502890.0
9.575,1470571.0
9.6,1438568.0
9.625,1406232.0
9.65,1373796.0
9.675,1342077.0
9.7,1310291.0
9.725,1278315.0
9.75,1246967.0
9.775,1215284.0
9.8,1183147.0
9.825,1151373.0
9.85,1119248.0
9.875,1086900.0
9.9,1055386.0
9.925,1023990.0
9.95,992294.0
9.975,960928.0
10.0,928896.0
10.025,896619.0
10.05,865156.0
10.075,833210.0
10.1,801355.0
10.125,770061.0
10.15,738380.0
10.175,706843.0
10.2,675633.0
10.225,644043.0
10.25,612141.0
10.275,580853.0
10.3,548938.0
10.325,516901.0
10.35,486001.0
10.375,454585.0
10.4,423290.0
10.425,392335.0
10.45,360746.0
10.475,329360.0
10.5,298063.0
10.525,265738.0
10.55,234180.0
10.575,203199.0
10.6,170799.0
10.625,139607.0
10.65,109233.0
10.675,77880.0
10.7,47316.0
10.725,16629.0
10.75,-15041.0
10.775,-46334.0
10.8,-77850.0
10.825,-109450.0
10.85,-140024.0
10.875,-170962.0
10.9,-202363.0
10.925,-232870.0
10.95,-263596.0
10.975,-294541.0
11.0,-325224.0
11.025,-356597.0
11.05,-387438.0
11.075,-418090.0
11.1,-449718.0
11.125,-481022.0
11.15,-511550.0
11.175,-542413.0
11.2,-574110.0
11.225,-604880.0
11.25,-635022.0
11.275,-665925.0
11.3,-696519.0
11.325,-726733.0
11.35,-757659.0
11.375,-788972.0
11.4,-819624.0
11.425,-850570.0
11.45,-881602.0
11.475,-911537.0
11.5,-942519.0
11.525,-973746.0
11.55,-1003524.0
11.575,-1034055.0
11.6,-1065061.0
11.625,-1095728.0
11.65,-1126403.0
11.675,-1156744.0
11.7,-1186882.0
11.725,-1217538.0
11.75,-1248634.0
11.775,-1278739.0
11.8,-1308223.0
11.825,-1338761.0
11.85,-1369918.0
11.875,-1399693.0
11.9,-1429074.0
11.925,-1459751.0
11.95,-1490305.0
11.975,-1520381.0
12.0,-1550596.0
12.025,-1580939.0
12.05,-1611132.0
12.075,-1640953.0
12.1,-1671360.0
12.125,-1701717.0
12.15,-1731679.0
12.175,-1762590.0
12.2,-1792716.0
12.225,-1822317.0
12.25,-1852904.0
12.275,-1882943.0
12.3,-1912389.0
12.325,-1942154.0
12.35,-1972468.0
12.375,-2002298.0
12.4,-2032115.0
12.425,-2062546.0
12.45,-2092360.0
12.475,-2122351.0
12.5,-2152520.0
12.525,-2182093.0
12.55,-2211953.0
12.575,-2242054.0
12.6,-2271704.0
12.625,-2301588.0
12.65,-2331700.0
12.675,-2361421.0
12.7,-2391275.0
12.725,-2421234.0
12.75,-2450899.0
12.775,-2480342.0
12.8,-2510100.0
12.825,-2539848.0
12.85,-2569426.0
12.875,-2599296.0
12.9,-2629460.0
12.925,-2659974.0
12.95,-2688586.0
12.975,-2719395.0
13.0,-2745145.0
13.025,-2740523.0
13.05,-2712248.0
13.075,-2681920.0
13.1,-2650735.0
13.125,-2619774.0
13.15,-2589344.0
13.175,-2558046.0
13.2,-2527132.0
13.225,-2496182.0
13.25,-2465285.0
13.275,-2434591.0
13.3,-2403938.0
13.325,-2373502.0
13.35,-2342819.0
13.375,-2312273.0
13.4,-2281994.0
13.425,-2250976.0
13.45,-2220396.0
13.475,-2190263.0
13.5,-2159981.0
13.525,-2130003.0
13.55,-2099126.0
13.575,-2068516.0
13.6,-2038180.0
13.625,-2007255.0
13.65,-1976375.0
13.675,-1945534.0
13.7,-1915093.0
13.725,-1884200.0
13.75,-1854572.0
13.775,-1823233.0
13.8,-1797660.0
13.825,-1801788.0
13.85,-1829380.0
13.875,-1858841.0
13.9,-1888554.0
13.925,-1919181.0
13.95,-1949247.0
13.975,-1979222.0
14.0,-2009237.0
14.025,-2039738.0
14.05,-2069628.0
14.075,-2099151.0
14.1,-2129662.0
14.125,-2159489.0
14.15,-2189011.0
14.175,-2219465.0
14.2,-2249120.0
14.225,-2278534.0
14.25,-2309079.0
14.275,-2338677.0
14.3,-2367576.0
14.325,-2398180.0
14.35,-2428309.0
14.375,-2457002.0
14.4,-2486526.0
14.425,-2516386.0
14.45,-2545722.0
14.475,-2575262.0
14.5,-2604983.0
14.525,-2634672.0
14.55,-2664710.0
14.575,-2694445.0
14.6,-2723659.0
14.625,-2752818.0
14.65,-2782102.0
14.675,-2811447.0
14.7,-2840389.0
14.725,-2870051.0
14.75,-2899763.0
14.775,-2928985.0
14.8,-2958807.0
14.825,-2988275.0
14.85,-3017640.0
14.875,-3046565.0
14.9,-3075453.0
14.925,-3105142.0
14.95,-3134375.0
14.975,-3163940.0
15.0,-3193615.0
15.025,-3222752.0
15.05,-3252049.0
15.075,-3281118.0
15.1,-3309999.0
15.125,-3339242.0
15.15,-3368820.0
15.175,-3398022.0
15.2,-3426847.0
15.225,-3455986.0
15.25,-3484910.0
15.275,-3513651.0
15.3,-3542766.0
15.325,-3571608.0
15.35,-3600651.0
15.375,-3630125.0
15.4,-3659073.0
15.425,-3687828.0
15.45,-3716889.0
15.475,-3745648.0
15.5,-3774240.0
15.525,-3803497.0
15.55,-3832182.0
15.575,-3860505.0
15.6,-3889711.0
15.625,-3918412.0
15.65,-3947072.0
15.675,-3976013.0
15.7,-4004457.0
15.725,-4033442.0
15.75,-4062224.0
15.775,-4090996.0
15.8,-4119952.0
15.825,-4148101.0
15.85,-4176925.0
15.875,-4205393.0
15.9,-4233487.0
15.925,-4262291.0
15.95,-4290863.0
15.975,-4319779.0
16.0,-4348287.0
16.025,-4376645.0
16.05,-4405299.0
16.075,-4433540.0
16.1,-4462075.0
16.125,-4490718.0
16.15,-4519366.0
16.175,-4547394.0
16.2,-4575293.0
16.225,-4604004.0
16.25,-4632232.0
16.275,-4660596.0
16.3,-4688491.0
16.325,-4716506.0
16.35,-4745467.0
16.375,-4772997.0
16.4,-4801376.0
16.425,-4830348.0
16.45,-4858060.0
16.475,-4886520.0
16.5,-4914971.0
16.525,-4942763.0
16.55,-4970499.0
16.575,-4998747.0
16.6,-5027067.0
16.625,-5054643.0
16.65,-5083248.0
16.675,-5112243.0
16.7,-5139950.0
16.725,-5168125.0
