time,amplitude
0.0,1343.0
0.025,1897.0
0.05,3373.0
0.075,-2918.0
0.1,-3941.0
0.125,6891.0
0.15,3054.0
0.175,-6721.0
0.2,-7183.0
0.225,-10418.0
0.25,-2510.0
0.275,-753.0
0.3,-14740.0
0.325,-11477.0
0.35,334.0
0.375,6155.0
0.4,-1209.0
0.425,-9411.0
0.45,-9356.0
0.475,-11931.0
0.5,-12153.0
0.525,-10826.0
0.55,-7588.0
0.575,-5900.0
0.6,-4065.0
0.625,-3591.0
0.65,-4052.0
0.675,-6833.0
0.7,-17673.0
0.725,-16051.0
0.75,-11870.0
0.775,-7995.0
0.8,1568.0
0.825,-62.0
0.85,1597.0
0.875,3963.0
0.9,-1893.0
0.925,-5358.0
0.95,-8819.0
0.975,-6118.0
1.0,1989.0
1.025,-335.0
1.05,-7714.0
1.075,-2848.0
1.1,7969.0
1.125,9540.0
1.15,1264.0
1.175,-8233.0
1.2,-3069.0
1.225,7259.0
1.25,5873.0
1.275,1847.0
1.3,-3276.0
1.325,-2071.0
1.35,3484.0
1.375,3683.0
1.4,5042.0
1.425,3779.0
1.45,5792.0
1.475,6957.0
1.5,5453.0
1.525,8773.0
1.55,2375.0
1.575,-261.0
1.6,1276.0
1.625,-273.0
1.65,5890.0
1.675,131.0
1.7,-8787.0
1.725,-708.0
1.75,8678.0
1.775,10195.0
1.8,4083.0
1.825,-9248.0
1.85,-9851.0
1.875,7569.0
1.9,15701.0
1.925,10850.0
1.95,2185.0
1.975,-1865.0
2.0,2033.0
2.025,2364.0
2.05,4458.0
2.075,10941.0
2.1,10520.0
2.125,1798.0
2.15,2954.0
2.175,9435.0
2.2,5363.0
2.225,10138.0
2.25,18169.0
2.275,13723.0
2.3,127.0
2.325,-3204.0
2.35,6686.0
2.375,87.0
2.4,-9732.0
2.425,-6301.0
2.45,2988.0
2.475,5907.0
2.5,205.0
2.525,-2376.0
2.55,-4963.0
2.575,-4264.0
2.6,-2905.0
2.625,548.0
2.65,-361.0
2.675,-3900.0
2.7,2307.0
2.725,478.0
2.75,-1716.0
2.775,-4780.0
2.8,-6543.0
2.825,-1842.0
2.85,1357.0
2.875,10431.0
2.9,4817.0
2.925,1991.0
2.95,11238.0
2.975,911.0
3.0,-5492.0
3.025,2454.0
3.05,7000.0
3.075,4964.0
3.1,3265.0
3.125,10570.0
3.15,12146.0
3.175,1907.0
3.2,-4225.0
3.225,-1305.0
3.25,-3262.0
3.275,-6035.0
3.3,3052.0
3.325,6829.0
3.35,4601.0
3.375,11336.0
3.4,10238.0
3.425,-1397.0
3.45,3415.0
3.475,5763.0
3.5,-4149.0
3.525,-10185.0
3.55,-14382.0
3.575,-2291.0
3.6,3599.0
3.625,-7096.0
3.65,-3320.0
3.675,29.0
