kappa,eps,giant_ratio,n_components,mean_degree,edge_density,is_connected,in_chain
0.01000000,0.00041954,0.11475410,40,0.918033,0.01530055,false,true
0.01333521,0.00055947,0.18032787,34,1.311475,0.02185792,false,true
0.01778279,0.00074606,0.18032787,31,1.770492,0.02950820,false,true
0.02371374,0.00099489,0.32786885,26,2.426230,0.04043716,false,true
0.03162278,0.00132670,0.32786885,23,3.245902,0.05409836,false,true
0.04216965,0.00176919,0.52459016,19,4.459016,0.07431694,false,true
0.05623413,0.00235925,0.52459016,18,5.868852,0.09781421,false,true
0.07498942,0.00314611,0.72131148,13,7.442623,0.12404372,false,true
0.10000000,0.00419540,0.72131148,13,9.704918,0.16174863,false,true
0.13335214,0.00559466,0.72131148,13,11.901639,0.19836066,false,true
0.17782794,0.00746059,0.72131148,11,14.852459,0.24754098,false,true
0.23713737,0.00994886,0.81967213,9,18.426230,0.30710383,false,true
0.31622777,0.01326702,0.81967213,8,21.901639,0.36502732,false,true
0.42169650,0.01769186,0.81967213,8,25.967213,0.43278689,false,true
0.56234133,0.02359247,0.88524590,6,30.819672,0.51366120,false,true
0.74989421,0.03146106,0.88524590,6,34.524590,0.57540984,false,true
1.00000000,0.04195400,0.88524590,6,37.508197,0.62513661,false,true
2.00000000,0.08390800,0.93442623,5,,,false,ext
10.00000000,0.41954000,0.96721311,3,,,false,ext
13.60598350,0.57082543,0.96721311,3,,,false,ext
185.12278698,7.76664140,1.00000000,1,,,true,ext
