aid,candid,corrected,dec,dubious,e_dec,e_mag,e_mag_corr,e_mag_corr_ext,e_ra,fid,has_stamp,isdiffpos,mag,mag_corr,mjd,oid,parent_candid,pid,ra,sid,tid,diffmaglim,distnr,drb,drbversion,magap,magapbig,nid,rb,rbversion,rfid,sigmagap,sigmagapbig,step_id_corr
"","1395448125415015002",false,-14.5692107,false,"",0.236357,"","","",1,false,1,19.8108,"",59149.44812500011,"ZTF20acobvxk",1416289125415015000,1395448125415,37.6734963,"ztf","ztf",19.7275,1.93818,"","",19.7588,19.5443,1395,0.564286,"t17_f5_c3","",0.3004,0.3158,"bulk_1.0.0"
"","1397272535415015001",true,-14.5690449,true,"",0.277572,0.14299057,0.14705294,"",1,false,1,19.5685,18.878746,59151.27253470011,"ZTF20acobvxk",1416289125415015000,1397272535415,37.6736415,"ztf","ztf",19.0361,1.1736,"","",18.8304,18.6726,1397,0.397143,"t17_f5_c3","",0.2517,0.2795,"bulk_1.0.0"
"","1397350405415015001",false,-14.5692042,false,"",0.217224,"","","",2,false,1,19.3859,"",59151.3504050998,"ZTF20acobvxk",1416289125415015000,1397350405415,37.6733969,"ztf","ztf",19.2608,2.02155,"","",19.2221,19.4907,1397,0.702857,"t17_f5_c3","",0.3262,0.5357,"bulk_1.0.0"
"","1398264155415015000",true,-14.5689556,true,"",0.222367,0.13188246,0.13496746,"",1,false,1,19.2262,18.684097,59152.2641551001,"ZTF20acobvxk",1416289125415015000,1398264155415,37.6735127,"ztf","ztf",19.034,1.24819,"","",18.6856,18.7257,1398,0.48,"t17_f5_c3","",0.2535,0.3378,"bulk_1.0.0"
"","1399332115415015005",false,-14.5692051,false,"",0.16761047,"","","",2,false,1,18.783262,"",59153.33211810002,"ZTF20acobvxk",1416289125415015000,1399332115415,37.6735572,"ztf","ztf",18.957815,1.7279363,0.99993193,"d6_m7",19.1346,19.1889,1399,0.8428571,"t17_f5_c3",299120254,0.402,0.5431,"bulk_1.0.0"
"","1401214075415015000",false,-14.5690613,false,"",0.11001001,"","","",1,false,1,18.412407,"",59155.2140740999,"ZTF20acobvxk",1416289125415015000,1401214075415,37.673486,"ztf","ztf",19.084452,1.5560501,0.9999833,"d6_m7",18.4242,18.3136,1401,0.93142855,"t17_f5_c3",299120154,0.2065,0.2394,"bulk_1.0.0"
"","1401253115415015000",false,-14.569112,false,"",0.13115542,"","","",2,false,1,18.58105,"",59155.25311340019,"ZTF20acobvxk",1416289125415015000,1401253115415,37.6735393,"ztf","ztf",19.101625,1.4673994,0.99965465,"d6_m7",18.3448,18.3862,1401,0.74,"t17_f5_c3",299120254,0.1555,0.2072,"bulk_1.0.0"
"","1402336365415015001",false,-14.569094,false,"",0.08630645,"","","",1,false,1,18.297352,"",59156.33636569977,"ZTF20acobvxk",1416289125415015000,1402336365415,37.6734919,"ztf","ztf",19.558329,1.624107,0.9999989,"d6_m7",18.3678,18.3312,1402,0.92,"t17_f5_c3",299120154,0.1324,0.164,"bulk_1.0.0"
"","1404285465415015003",false,-14.5691043,false,"",0.0825565,"","","",1,false,1,18.124166,"",59158.28546300018,"ZTF20acobvxk",1416289125415015000,1404285465415,37.6735717,"ztf","ztf",19.404066,1.4810251,0.999992,"d6_m7",18.0898,18.0452,1404,0.8428571,"t17_f5_c3",299120154,0.0819,0.1005,"bulk_1.0.0"
"","1404346425415015001",false,-14.5691042,false,"",0.092766084,"","","",2,false,1,18.234959,"",59158.34642359987,"ZTF20acobvxk",1424232045415015000,1404346425415,37.6735441,"ztf","ztf",19.285904,1.4349623,0.99997866,"d6_m7",18.3902,18.4713,1404,0.82857144,"t17_f5_c3",299120254,0.1185,0.1633,"bulk_1.0.0"
"","1411192445415015001",false,-14.5691062,false,"",0.06925076,"","","",1,false,1,17.895514,"",59165.19244210003,"ZTF20acobvxk",1424232045415015000,1411192445415,37.6735136,"ztf","ztf",20.069798,1.6068845,0.9999998,"d6_m7",17.8564,17.8939,1411,0.94857144,"t17_f5_c3",299120154,0.0464,0.0606,"bulk_1.0.0"
"","1411318125415015003",false,-14.5691052,false,"",0.051471364,"","","",2,false,1,18.091896,"",59165.31812500022,"ZTF20acobvxk",1424232045415015000,1411318125415,37.6735093,"ztf","ztf",20.302195,1.5059981,0.9999999,"d6_m7",18.0552,18.1123,1411,0.95285714,"t17_f5_c3",299120254,0.052,0.0692,"bulk_1.0.0"
"","1413237705415015001",false,-14.5691214,false,"",0.060708772,"","","",2,false,1,18.080828,"",59167.23770829989,"ZTF20acobvxk",1424232045415015000,1413237705415,37.6735281,"ztf","ztf",19.827475,1.5163133,0.99999654,"d6_m7",18.0122,18.0186,1413,0.89428574,"t17_f5_c3",299120254,0.0571,0.073,"bulk_1.0.0"
"","1413326575415015002",false,-14.5691504,false,"",0.067112826,"","","",1,false,1,17.93618,"",59167.32657410018,"ZTF20acobvxk",1424232045415015000,1413326575415,37.6735459,"ztf","ztf",19.878939,1.6661346,0.99998105,"d6_m7",17.9171,17.8744,1413,0.75285715,"t17_f5_c3",299120154,0.0433,0.0525,"bulk_1.0.0"
"","1414230605415015006",false,-14.5691133,false,"",0.054093964,"","","",1,false,1,17.979136,"",59168.23060189979,"ZTF20acobvxk",1424232045415015000,1414230605415,37.6735201,"ztf","ztf",20.328964,1.6121505,0.99999994,"d6_m7",17.9816,17.9376,1414,0.9514286,"t17_f5_c3",299120154,0.0443,0.0536,"bulk_1.0.0"
"","1414276425415015005",false,-14.5691245,false,"",0.058873028,"","","",2,false,1,18.11771,"",59168.27642360004,"ZTF20acobvxk",1424232045415015000,1414276425415,37.673506,"ztf","ztf",20.077322,1.5682561,1,"d6_m7",18.1502,18.1845,1414,0.95714283,"t17_f5_c3",299120254,0.0679,0.0891,"bulk_1.0.0"
"","1416229255415015009",false,-14.5690985,false,"",0.055949163,"","","",1,false,1,18.110926,"",59170.229259300046,"ZTF20acobvxk",1424232045415015000,1416229255415,37.6735139,"ztf","ztf",20.20621,1.5854683,0.9999995,"d6_m7",18.0307,18.0392,1416,0.95714283,"t17_f5_c3",299120154,0.0484,0.0615,"bulk_1.0.0"
"","1416289125415015004",false,-14.5691236,false,"",0.069448255,"","","",2,false,1,18.194536,"",59170.28912039986,"ZTF20acobvxk",1428229205415015000,1416289125415,37.6735218,"ztf","ztf",20.107403,1.5350193,0.9999999,"d6_m7",18.1728,18.2554,1416,0.95428574,"t17_f5_c3",299120254,0.065,0.0889,"bulk_1.0.0"
"","1418237925415015005",false,-14.5691131,false,"",0.0631914,"","","",1,false,1,18.166513,"",59172.23792820005,"ZTF20acobvxk",1428229205415015000,1418237925415,37.6735373,"ztf","ztf",20.127138,1.5751472,0.9999999,"d6_m7",18.096,18.0627,1418,0.95428574,"t17_f5_c3",299120154,0.0518,0.0635,"bulk_1.0.0"
"","1422257015415015004",false,-14.5691028,false,"",0.11285677,"","","",1,false,1,18.472422,"",59176.257013900205,"ZTF20acobvxk",1428229205415015000,1422257015415,37.6735357,"ztf","ztf",19.332403,1.5496893,0.9999858,"d6_m7",18.5537,18.3507,1422,0.93857145,"t17_f5_c3",299120154,0.1575,0.1675,"bulk_1.0.0"
"","1422293925415015003",false,-14.5691161,false,"",0.08436179,"","","",2,false,1,18.521338,"",59176.29392360011,"ZTF20acobvxk",1428229205415015000,1422293925415,37.6735222,"ztf","ztf",19.744543,1.5119904,0.99999714,"d6_m7",18.5856,18.7241,1422,0.9442857,"t17_f5_c3",299120254,0.1178,0.1708,"bulk_1.0.0"
"","1424171385415015003",false,-14.5691035,false,"",0.09257498,"","","",1,false,1,18.528467,"",59178.17138889991,"ZTF20acobvxk",1428229205415015000,1424171385415,37.6735303,"ztf","ztf",19.50607,1.5631429,0.99999946,"d6_m7",18.675,18.8664,1424,0.94714284,"t17_f5_c3",299120154,0.1838,0.281,"bulk_1.0.0"
"","1424232045415015003",false,-14.5691011,false,"",0.08537562,"","","",2,false,1,18.6854,"",59178.23204859998,"ZTF20acobvxk",1428229205415015000,1424232045415,37.6734925,"ztf","ztf",19.797129,1.5298613,0.99999905,"d6_m7",18.8016,18.9752,1424,0.93714285,"t17_f5_c3",299120254,0.17,0.2553,"bulk_1.0.0"
