kappa,eps,giant_ratio,n_components,mean_degree,edge_density,is_connected,in_chain
0.01000000,0.00000000,0.05714286,29,0.342857,0.01008403,false,true
0.01333521,0.00000000,0.08571429,28,0.400000,0.01176471,false,true
0.01778279,0.00000000,0.11428571,24,0.685714,0.02016807,false,true
0.02371374,0.00000000,0.14285714,19,0.971429,0.02857143,false,true
0.03162278,0.00000000,0.14285714,18,1.257143,0.03697479,false,true
0.04216965,0.00000000,0.17142857,14,1.485714,0.04369748,false,true
0.05623413,0.00000000,0.17142857,13,2.057143,0.06050420,false,true
0.07498942,0.00000000,0.31428571,9,2.742857,0.08067227,false,true
0.10000000,0.00000000,0.31428571,8,3.542857,0.10420168,false,true
0.13335214,0.00000000,0.40000000,6,4.400000,0.12941176,false,true
0.17782794,0.00000000,0.40000000,6,5.542857,0.16302521,false,true
0.23713737,0.00000000,0.88571429,4,7.600000,0.22352941,false,true
0.31622777,0.00000000,0.91428571,3,9.257143,0.27226891,false,true
0.42169650,0.00000000,0.91428571,3,12.400000,0.36470588,false,true
0.56234133,0.00000000,0.91428571,2,15.942857,0.46890756,false,true
0.74989421,0.00000000,1.00000000,1,20.285714,0.59663866,true,true
1.00000000,0.00000000,1.00000000,1,24.342857,0.71596639,true,true
