file,class,length,alpha,xmin,seed,path
pareto_0000_n98.csv,R2_pareto,98,1.2,0.1,3324115916,CLE_PILOT_I\adversarial\raw\pareto\pareto_0000_n98.csv
pareto_0001_n658.csv,R2_pareto,658,1.2,0.1,1884968544,CLE_PILOT_I\adversarial\raw\pareto\pareto_0001_n658.csv
pareto_0002_n439.csv,R2_pareto,439,1.2,0.1,3687649985,CLE_PILOT_I\adversarial\raw\pareto\pareto_0002_n439.csv
pareto_0003_n95.csv,R2_pareto,95,1.2,0.1,2995172877,CLE_PILOT_I\adversarial\raw\pareto\pareto_0003_n95.csv
pareto_0004_n209.csv,R2_pareto,209,1.2,0.1,404488628,CLE_PILOT_I\adversarial\raw\pareto\pareto_0004_n209.csv
pareto_0005_n531.csv,R2_pareto,531,1.2,0.1,4190266092,CLE_PILOT_I\adversarial\raw\pareto\pareto_0005_n531.csv
pareto_0006_n739.csv,R2_pareto,739,1.2,0.1,3269070126,CLE_PILOT_I\adversarial\raw\pareto\pareto_0006_n739.csv
pareto_0007_n721.csv,R2_pareto,721,1.2,0.1,3376120482,CLE_PILOT_I\adversarial\raw\pareto\pareto_0007_n721.csv
pareto_0008_n518.csv,R2_pareto,518,1.2,0.1,550243861,CLE_PILOT_I\adversarial\raw\pareto\pareto_0008_n518.csv
pareto_0009_n842.csv,R2_pareto,842,1.2,0.1,1934392872,CLE_PILOT_I\adversarial\raw\pareto\pareto_0009_n842.csv
pareto_0010_n505.csv,R2_pareto,505,1.2,0.1,1592565386,CLE_PILOT_I\adversarial\raw\pareto\pareto_0010_n505.csv
pareto_0011_n190.csv,R2_pareto,190,1.2,0.1,3980425317,CLE_PILOT_I\adversarial\raw\pareto\pareto_0011_n190.csv
pareto_0012_n784.csv,R2_pareto,784,1.2,0.1,2765379632,CLE_PILOT_I\adversarial\raw\pareto\pareto_0012_n784.csv
pareto_0013_n408.csv,R2_pareto,408,1.2,0.1,3533734220,CLE_PILOT_I\adversarial\raw\pareto\pareto_0013_n408.csv
pareto_0014_n550.csv,R2_pareto,550,1.2,0.1,1904449481,CLE_PILOT_I\adversarial\raw\pareto\pareto_0014_n550.csv
pareto_0015_n456.csv,R2_pareto,456,1.2,0.1,975982877,CLE_PILOT_I\adversarial\raw\pareto\pareto_0015_n456.csv
pareto_0016_n101.csv,R2_pareto,101,1.2,0.1,2381923522,CLE_PILOT_I\adversarial\raw\pareto\pareto_0016_n101.csv
pareto_0017_n889.csv,R2_pareto,889,1.2,0.1,274093026,CLE_PILOT_I\adversarial\raw\pareto\pareto_0017_n889.csv
pareto_0018_n860.csv,R2_pareto,860,1.2,0.1,3554648815,CLE_PILOT_I\adversarial\raw\pareto\pareto_0018_n860.csv
pareto_0019_n284.csv,R2_pareto,284,1.2,0.1,2712977935,CLE_PILOT_I\adversarial\raw\pareto\pareto_0019_n284.csv
pareto_0020_n173.csv,R2_pareto,173,1.2,0.1,3255962050,CLE_PILOT_I\adversarial\raw\pareto\pareto_0020_n173.csv
pareto_0021_n704.csv,R2_pareto,704,1.2,0.1,1522677437,CLE_PILOT_I\adversarial\raw\pareto\pareto_0021_n704.csv
pareto_0022_n77.csv,R2_pareto,77,1.2,0.1,4169116268,CLE_PILOT_I\adversarial\raw\pareto\pareto_0022_n77.csv
pareto_0023_n451.csv,R2_pareto,451,1.2,0.1,3835926006,CLE_PILOT_I\adversarial\raw\pareto\pareto_0023_n451.csv
pareto_0024_n681.csv,R2_pareto,681,1.2,0.1,3343131662,CLE_PILOT_I\adversarial\raw\pareto\pareto_0024_n681.csv
pareto_0025_n763.csv,R2_pareto,763,1.2,0.1,835966883,CLE_PILOT_I\adversarial\raw\pareto\pareto_0025_n763.csv
pareto_0026_n370.csv,R2_pareto,370,1.2,0.1,2004551446,CLE_PILOT_I\adversarial\raw\pareto\pareto_0026_n370.csv
pareto_0027_n503.csv,R2_pareto,503,1.2,0.1,188135740,CLE_PILOT_I\adversarial\raw\pareto\pareto_0027_n503.csv
pareto_0028_n551.csv,R2_pareto,551,1.2,0.1,662668321,CLE_PILOT_I\adversarial\raw\pareto\pareto_0028_n551.csv
pareto_0029_n746.csv,R2_pareto,746,1.2,0.1,2933672914,CLE_PILOT_I\adversarial\raw\pareto\pareto_0029_n746.csv
pareto_0030_n924.csv,R2_pareto,924,1.2,0.1,3198729101,CLE_PILOT_I\adversarial\raw\pareto\pareto_0030_n924.csv
pareto_0031_n373.csv,R2_pareto,373,1.2,0.1,4155422658,CLE_PILOT_I\adversarial\raw\pareto\pareto_0031_n373.csv
pareto_0032_n417.csv,R2_pareto,417,1.2,0.1,1399409256,CLE_PILOT_I\adversarial\raw\pareto\pareto_0032_n417.csv
pareto_0033_n907.csv,R2_pareto,907,1.2,0.1,1591112320,CLE_PILOT_I\adversarial\raw\pareto\pareto_0033_n907.csv
pareto_0034_n85.csv,R2_pareto,85,1.2,0.1,2016726852,CLE_PILOT_I\adversarial\raw\pareto\pareto_0034_n85.csv
pareto_0035_n798.csv,R2_pareto,798,1.2,0.1,813773289,CLE_PILOT_I\adversarial\raw\pareto\pareto_0035_n798.csv
pareto_0036_n468.csv,R2_pareto,468,1.2,0.1,558008615,CLE_PILOT_I\adversarial\raw\pareto\pareto_0036_n468.csv
pareto_0037_n690.csv,R2_pareto,690,1.2,0.1,2043137099,CLE_PILOT_I\adversarial\raw\pareto\pareto_0037_n690.csv
pareto_0038_n337.csv,R2_pareto,337,1.2,0.1,974568232,CLE_PILOT_I\adversarial\raw\pareto\pareto_0038_n337.csv
pareto_0039_n569.csv,R2_pareto,569,1.2,0.1,2876829200,CLE_PILOT_I\adversarial\raw\pareto\pareto_0039_n569.csv
pareto_0040_n941.csv,R2_pareto,941,1.2,0.1,1877553193,CLE_PILOT_I\adversarial\raw\pareto\pareto_0040_n941.csv
pareto_0041_n169.csv,R2_pareto,169,1.2,0.1,3576325619,CLE_PILOT_I\adversarial\raw\pareto\pareto_0041_n169.csv
pareto_0042_n634.csv,R2_pareto,634,1.2,0.1,3007615710,CLE_PILOT_I\adversarial\raw\pareto\pareto_0042_n634.csv
pareto_0043_n106.csv,R2_pareto,106,1.2,0.1,1341604508,CLE_PILOT_I\adversarial\raw\pareto\pareto_0043_n106.csv
