n,value
1,0.0
2,0.31577182416186667
3,0.6956287865819732
4,1.230935706056027
5,1.7479744811382416
6,2.2528408541139546
7,2.741148314316124
8,3.3186407898273114
9,3.8418140903297355
10,4.4821863427882285
11,5.410464386008551
12,6.6349736903849275
13,7.792480643491839
14,8.851319388593742
15,10.002136110007127
16,10.746742646270357
17,11.308683009498251
18,11.863967490729225
19,12.44988275146193
20,12.873195458302453
21,13.331732542013388
22,13.707332087826437
23,14.295690296896858
24,15.423264813157443
25,16.71952744400638
26,17.961507035368452
27,19.34993613791935
28,20.610421808208628
29,21.429070145172663
30,22.103028378044097
31,23.09485600206432
32,23.875416373310305
33,24.628145604245507
34,25.406138507631116
35,26.12601573113314
36,26.612390014177382
37,27.099426683923138
38,27.499119936809933
39,28.093021375636585
40,28.816828895360796
41,29.564820444125676
42,30.225970586651677
43,31.001501336060695
44,31.605333181340594
45,32.17788795181347
46,32.69093096283669
47,33.348145226804206
48,34.22574789063156
49,35.00069820307454
50,35.67658944705444
51,36.38899730496788
52,37.11562381589308
53,37.64136729795386
54,38.11726728694592
55,38.70619779467491
56,39.21078290536936
57,39.60735065749118
58,39.87010421117731
59,40.1280809805954
60,40.325341858031784
61,40.731296448921626
62,41.18200631222744
63,41.729009225897215
64,42.50913469966823
65,43.263685063281315
66,44.170592392804
67,45.078580603084575
68,46.04793821915435
69,46.99472371596936
70,48.05564023354712
71,48.916200244596524
72,50.01124981794966
73,51.087161553618664
74,52.00357935107807
75,52.874836888718356
76,54.02011926673858
77,54.98956971304328
78,56.01532301290351
79,57.17006823857803
80,58.358660057213804
81,59.298117593709165
82,60.090907125282314
83,60.87946881917429
84,61.69799909655783
85,62.58207111319367
86,63.44436131235321
87,64.31561022359654
88,65.30063508328091
89,66.17891766447605
90,67.08697863224322
91,68.09645608860707
92,69.42506721569659
93,70.57140982014623
94,71.79737119295417
95,72.9032552904271
96,74.01164830100629
97,74.78349086983528
98,75.46405073026187
99,76.23931584474946
100,77.10172518778147
101,77.93808454182866
102,79.06804005459924
103,80.23075198916784
104,81.3971079550333
105,82.54596450176717
106,83.48943864207322
107,84.14553911532938
108,84.91726994566048
109,85.52558680129107
110,86.4018866112405
111,87.29382380709252
112,88.21547918720985
113,88.94301346830393
114,89.78264319145069
115,90.3234417223684
116,91.09607861404342
117,92.19401879360991
118,93.4266372458309
119,94.69591411840175
120,95.93270828712195
121,96.97324107416323
122,97.98304484460726
123,99.08085839688289
124,100.23482963120036
125,101.79054928005533
126,103.76750735013907
127,105.93841131111053
128,108.00437499431378
129,110.14088309336589
130,111.90153958601223
131,113.30888459418269
132,114.2177279899178
133,115.08190907456532
134,115.71400502955517
135,116.57773355584332
136,117.32348992487347
137,118.19859227910891
138,119.13046690944803
139,120.04966941786489
140,120.86812011132372
141,122.1587582490097
142,123.45561119543675
143,124.80956721605303
144,126.37108039430596
145,127.71075038661762
146,128.741126715421
147,129.82013437537296
148,130.84536163989273
149,131.76574419558182
150,132.88966964722096
151,134.03162559843256
152,135.0140950933804
153,136.03513539548953
154,136.8452738610404
155,137.48997987070348
156,138.06832738016888
157,138.61874728124312
158,139.1274616597545
159,139.58493934028067
160,140.06056335754496
161,140.58649131221256
162,141.18009607402405
163,141.65133260852198
164,142.3430852963876
165,143.00694476031762
166,143.47503604529768
167,143.92755435569475
168,144.55067460922268
169,144.9438600605999
170,145.38026872641598
171,146.001555500411
172,146.71198079287407
173,147.3875121041076
174,148.4193783067151
175,149.37442711227976
176,150.2665728568733
177,151.22294310529398
178,152.40398608344748
179,153.685443878031
180,155.16341023307655
181,156.83198587632774
182,158.48728842209334
183,159.89426181953837
184,161.01119751467647
185,162.04429904568434
186,163.07473552424972
187,164.0323748408588
188,164.92354462362567
189,165.67654427887294
190,166.2992524121728
191,166.67869677926564
192,166.97404311325045
193,167.64448295248295
194,168.4623956519873
195,169.52095866603716
196,170.60424820966767
197,171.67944374488914
198,172.49142394801666
199,173.30453750351649
200,173.92762983264421
201,174.56013287545528
202,175.2107041168736
203,175.89005158996608
204,176.40938269143373
205,177.07190821393533
206,177.85022958678837
207,178.63326121561005
208,179.23786172929235
209,179.91928140555342
210,180.72255146340143
211,181.44616045110243
212,182.35929621406166
213,183.4135231887547
214,184.54745575917977
215,185.55489747446452
216,186.43957464460482
217,187.09771985967706
218,187.60302712021033
219,188.08697426195297
220,188.49368473808036
221,189.02293615201233
222,189.56133021039824
223,190.13511343275871
224,190.68330758439336
225,191.10285509270557
226,191.55292407787422
