n,value
1,0.0
2,0.0007867700000000477
3,0.001286495000000048
4,1.001286495
5,2.7706390949999906
6,3.7706390949999906
7,3.8036632949999905
8,3.8043133949999905
9,3.8216556409999907
10,3.8338561409999894
11,4.833856140999989
12,5.833856140999989
13,6.833856140999989
14,7.833856140999989
15,8.83385614099999
16,8.83749113099999
17,9.83749113099999
18,9.898327430999995
19,10.898327430999995
20,10.900227076999995
21,11.900227076999995
22,11.923179476999996
23,12.005637876999996
24,13.005637876999996
25,13.887772776999993
26,13.919850576999997
27,13.942184076999995
28,14.942184076999995
29,15.942184076999995
30,15.995476976999997
31,16.995476976999996
32,17.995476976999996
33,18.995476976999996
34,19.995476976999996
35,20.04916977699999
36,21.04916977699999
37,21.20464227699999
38,21.303037077
39,22.303037077
40,22.370609076999997
41,23.370609076999997
42,23.401066676999996
43,24.401066676999996
44,25.401066676999996
45,26.401066676999996
46,27.401066676999996
47,28.401066676999996
48,28.672892176999987
49,28.708734776999982
50,29.708734776999982
51,29.70879891599998
52,30.70879891599998
53,30.727596015999982
54,31.727596015999982
55,32.72759601599998
56,33.72759601599998
57,34.72759601599998
58,35.72759601599998
59,35.75974171599998
60,35.77496371599998
61,35.77935029199998
62,35.873388091999985
63,35.87409539199999
64,36.87409539199999
65,36.88938069199999
66,37.88938069199999
67,37.928388191999986
68,38.115605491999986
69,39.115605491999986
70,39.11922918499999
71,40.11922918499999
72,40.119391794999984
73,41.119391794999984
74,42.119391794999984
75,42.12230800199998
76,43.12230800199998
77,43.210964881999985
78,44.210964881999985
79,44.225706211999984
80,45.225706211999984
81,45.240435541999986
82,45.272788111099985
83,45.28344927909998
84,46.28344927909998
85,47.28344927909998
86,47.30530017909998
87,48.30530017909998
88,48.34418217909998
89,48.381041479099984
90,49.381041479099984
91,50.381041479099984
92,51.381041479099984
93,52.381041479099984
94,52.38284960009999
95,53.38284960009999
96,54.38284960009999
97,55.38284960009999
98,56.38284960009999
99,56.402677000099985
100,57.402677000099985
101,57.43978820009998
102,58.43978820009998
103,59.43978820009998
104,60.43978820009998
105,61.43978820009998
106,62.43978820009998
107,63.43978820009998
108,64.43978820009998
109,64.46348110009998
110,65.46348110009998
111,66.46348110009998
112,66.47988510009998
113,66.48742110009998
114,66.48926850009998
115,66.49016190009998
116,67.49016190009998
117,68.49016190009998
118,69.49016190009998
119,69.49746370009998
120,69.50231403009998
121,70.50231403009998
122,71.50231403009998
123,72.50231403009998
124,73.50231403009998
125,73.65967191009999
126,73.67011671009999
127,75.42280531009999
128,75.49840831009999
129,76.49840831009999
130,77.49840831009999
131,77.54182601009998
132,77.54769870109997
133,77.61736147109997
134,78.61736147109997
135,79.61736147109997
136,79.63754791109997
137,79.86606108109997
138,79.87381958109997
139,80.87381958109997
140,82.44469858109997
141,82.76523958109996
142,83.76523958109996
143,84.76523958109996
144,85.76523958109996
145,86.76523958109996
146,86.87502658109996
147,86.90596408109997
148,87.90596408109997
149,88.90596408109997
150,89.65314208109997
151,90.65314208109997
152,91.65314208109997
153,92.65314208109997
154,92.67298158109998
155,92.67418584109997
156,92.73909118109997
157,93.73909118109997
158,93.75007978109997
159,94.75007978109997
160,94.77545289909997
161,94.77768407009998
162,94.81555537009999
163,95.81555537009999
164,100.85607837009998
165,100.86014668009997
166,100.86217894009997
167,100.87004324009996
168,101.87004324009996
169,102.87004324009996
170,103.15300028009996
171,104.15300028009996
172,104.18060208009996
173,105.18060208009996
174,105.18154820821997
175,105.29408110821996
176,106.29408110821996
177,107.29408110821996
178,108.29408110821996
179,108.36022980821996
180,108.38185370821995
181,108.40535830821995
182,109.40535830821995
183,110.40535830821995
184,111.40535830821995
185,111.41559790821995
186,112.41559790821995
187,113.41559790821995
188,114.41559790821995
189,114.42111952421995
190,115.42111952421995
191,116.42111952421995
192,116.47963582421994
193,116.49294340421994
194,116.51893040421994
195,117.51893040421994
196,117.53704790421995
197,117.63623340421995
198,117.75970760421995
199,118.75970760421995
200,118.77290650421995
201,119.13982167421995
202,119.17870857421994
203,120.17870857421994
204,120.20702087421994
205,120.25853566421993
206,121.25853566421993
207,122.25853566421993
208,122.25912906421993
209,123.25912906421993
210,123.27311476421994
211,124.27311476421994
212,125.27311476421994
213,126.27311476421994
214,127.27311476421994
215,127.28550656421994
216,128.28550656421993
217,128.31327403421994
218,128.32300703421996
219,128.38912713421996
220,128.41344343421997
221,128.42099453421997
222,129.42099453421997
223,129.79343893421998
224,129.83190903421996
225,130.83190903421996
226,130.90312377421995
227,132.66239447421995
228,133.61610417421997
229,134.61610417421997
230,134.78768277421997
231,135.78768277421997
232,136.78768277421997
233,148.73817677421997
234,149.73817677421997
235,150.73817677421997
236,151.73817677421997
237,152.73817677421997
238,153.73817677421997
239,154.73817677421997
240,154.79168447421998
241,155.03691667421998
242,156.03691667421998
243,157.03691667421998
244,157.04252478421998
245,158.04252478421998
246,159.04252478421998
247,159.15350121421997
248,160.15350121421997
249,161.15350121421997
250,161.20075031422
251,162.20075031422
252,163.20075031422
253,164.20075031422
254,164.20076202622
255,164.25139362622
256,164.28752910622
257,164.41109870622
258,164.42177534622002
259,164.43205704622002
260,165.43205704622002
261,165.69906914622004
262,166.69906914622004
263,166.72219324622003
264,166.76324694622002
265,167.36817804622
266,167.37931584622
267,167.40174667622
268,168.40174667622
269,169.40174667622
270,170.40174667622
271,170.40322416902
272,170.41070295902
273,170.45259347902
274,171.45259347902
275,171.46093107902
276,171.60645857902
277,171.73460307902002
278,175.27534547902002
279,175.27725327902002
280,176.27725327902002
281,177.27725327902002
282,177.30307287902002
283,177.66744857902003
284,177.67311750902002
285,177.67600400902
286,177.72210120902
287,178.72210120902
288,179.47696420902
289,180.47696420902
290,181.47696420902
291,182.47696420902
292,182.49409850902
293,183.49409850902
294,183.49934740902
295,184.49934740902
296,185.49934740902
297,185.50447230902
298,186.50447230902
299,187.44417830902
300,187.46278537902
301,187.50298089902
302,188.50298089902
303,189.50298089902
304,189.51660309902
305,190.51660309902
306,190.62904353902
307,190.64908413901998
308,191.14017423901998
309,191.25950003902
310,191.27750030901998
311,192.27750030901998
312,193.27750030901998
313,194.27750030901998
314,195.27750030901998
315,195.28414510902
316,195.29055520902
317,195.29163067402
318,196.29163067402
319,196.37148927402
320,196.70426727402
321,196.71825387402
322,196.73917613402
323,197.73917613402
324,198.73917613402
325,198.74192599402
326,199.74192599402
327,199.77334799401999
328,200.77334799401999
329,201.77334799401999
330,201.84682369401997
331,201.85601129401996
332,201.87482659401996
333,201.88141949401995
334,202.88141949401995
335,202.89472479401996
336,202.89486509401996
337,203.89486509401996
338,204.89486509401996
339,205.89486509401996
340,205.90038569401997
341,206.90038569401997
342,206.92911649401998
343,206.92947622402
344,206.98014115402
345,207.98014115402
346,208.10229995402
347,209.10229995402
348,209.10939815402
349,209.11093285402
350,210.11093285402
351,211.11093285402
352,211.11920935402
353,212.11920935402
354,212.14244565402
355,213.14244565402
356,214.14244565402
357,215.14244565402
358,215.18057714402002
359,215.19460304402003
360,216.19460304402003
361,216.24558204402
362,217.24558204402
363,217.57973094402
364,217.59381294402002
365,218.59381294402002
366,218.59559414402003
367,219.59559414402003
368,220.59559414402003
369,221.59559414402003
370,222.59559414402003
371,222.60423534402003
372,222.64441994402003
373,223.64441994402003
374,223.76696694402003
375,223.77178814402004
376,223.79117474402003
377,223.84623074402003
378,223.84764459402004
379,223.91402179402004
380,224.91402179402004
381,225.91402179402004
382,226.91402179402004
383,226.96687339402004
384,227.96687339402004
