n,value
1,0.0
2,0.04848309999999856
3,1.2326501000000007
4,2.2326501000000007
5,2.2779389000000023
6,3.2779389000000023
7,4.277938900000002
8,5.277938900000002
9,5.291092900000002
10,5.459304899999999
11,5.505280619999999
12,5.572840819999998
13,6.572840819999998
14,7.572840819999998
15,8.572840819999998
16,9.572840819999998
17,9.582008119999998
18,10.582008119999998
19,10.624079219999999
20,10.686897119999998
21,11.188334119999993
22,11.291352119999992
23,11.410742519999992
24,11.417767619999992
25,11.514987019999992
26,11.688868629999993
27,12.688868629999993
28,12.866641729999989
29,13.05132482999999
30,13.35298382999999
31,14.35298382999999
32,14.35876708699999
33,15.35876708699999
34,16.35876708699999
35,17.35876708699999
36,18.35876708699999
37,18.40089428699999
38,19.40089428699999
39,20.40089428699999
40,21.40089428699999
41,21.530262786999987
42,21.543474786999983
43,22.543474786999983
44,23.543474786999983
45,24.543474786999983
46,25.543474786999983
47,25.556306726999985
48,26.556306726999985
49,26.675812326999985
50,26.78971432699998
51,26.84970372699998
52,27.84970372699998
53,27.85217422699998
54,27.872578046999983
55,28.872578046999983
56,28.935964046999985
57,29.042649246999982
58,29.18213104699998
59,29.339250046999982
60,29.45440494699998
61,30.45440494699998
62,30.46261684699998
63,31.45267584699998
64,31.46354474699998
65,31.57848194699998
66,32.57848194699998
67,33.57848194699998
68,34.414484946999984
69,35.414484946999984
70,35.425123046999985
71,36.425123046999985
72,36.66651984699999
73,37.66651984699999
74,38.66651984699999
75,39.25974584699999
76,40.25974584699999
77,41.25974584699999
78,41.35612684699999
79,41.75865584699999
80,42.124810847
81,43.124810847
82,44.124810847
83,45.124810847
84,45.223254647
85,45.242562297
86,45.256298497
87,45.315425177
88,45.375836577
89,46.375836577
90,47.375836577
91,47.423420277000005
92,48.423420277000005
93,49.423420277000005
94,49.52352487700001
95,49.549990177000005
96,53.72788717700001
97,54.72788717700001
98,55.923184177
99,56.923184177
100,56.932890077
101,56.942097477000004
102,57.260312377000005
103,58.260312377000005
104,59.260312377000005
105,60.260312377000005
106,61.260312377000005
107,62.260312377000005
108,62.331335077000006
109,63.331335077000006
110,63.34933567700001
111,63.79534597700001
112,63.80864467700001
113,63.822122277000005
114,63.892281877
115,64.892281877
116,65.892281877
117,66.892281877
118,67.892281877
119,67.899270477
120,68.899270477
121,78.246745477
122,79.246745477
123,79.24976647700001
124,79.32297627700001
125,80.32297627700001
126,81.32297627700001
127,82.32297627700001
128,82.45702067700002
129,82.47325344700002
130,83.47325344700002
131,83.96663084700002
132,84.96663084700002
133,85.41935684700003
134,86.41935684700003
135,86.57432424700002
136,86.76609254700003
