n,value
1,0.0
2,0.3457779999999957
3,1.3457779999999957
4,15.885317999999756
5,15.991147999999725
6,16.55224199999975
7,18.14500199999975
8,18.222523999999765
9,27.205013999999636
10,30.068563999999668
11,30.28664199999966
12,30.497040999999655
13,39.46443099999945
14,39.660460999999515
15,40.251426999999495
16,41.251426999999495
17,41.60704699999954
18,41.86738899999952
19,42.02511699999954
20,42.20458699999958
21,43.20458699999958
22,45.51849699999988
23,46.24247799999986
24,46.26023799999986
25,46.283942299999865
26,47.09487129999985
27,47.64093129999975
28,47.79556029999975
29,48.79556029999975
30,48.81891729999978
31,49.402117299999816
32,49.41751730000004
33,49.52060430000006
34,50.52060430000006
35,51.76876012000006
36,52.31711412000008
37,53.31711412000008
38,54.31711412000008
39,54.993249520000084
40,55.993249520000084
41,56.8608595200001
42,57.57277552000007
43,57.78089552000031
44,57.90619552000046
45,59.29382552000063
46,60.29382552000063
47,60.38839552000061
48,61.33444052000063
49,62.33444052000063
50,62.49417052000049
51,63.49417052000049
52,64.22284052000046
53,65.22284052000046
54,65.42249952000046
55,65.46211952000047
56,65.76364452000044
57,66.76364452000044
58,67.76364452000044
59,68.76364452000044
60,70.05658442000043
61,70.43532642000042
62,70.8912064200004
63,83.45099642000065
64,83.85543242000062
65,84.51467242000058
66,85.51467242000058
67,89.71789242000091
68,89.97014242000091
69,90.15838242000092
70,91.15838242000092
71,91.91281242000088
72,92.91281242000088
73,93.91281242000088
74,94.91281242000088
75,95.91281242000088
76,96.24499242000098
77,96.513224420001
78,97.20933442000097
79,97.23133442000102
80,97.75056742000103
81,97.75253332000104
82,97.92572332000101
83,98.92572332000101
84,98.92689332000101
85,99.92689332000101
86,100.55479332000097
87,101.20610332000093
88,102.20610332000093
89,102.22362112000093
90,102.81948112000083
91,102.86589112000087
92,103.86589112000087
93,104.69387707000087
94,104.74344727000087
95,104.80067827000087
96,105.09963827000095
97,105.131682270001
98,106.131682270001
99,107.131682270001
100,107.82763227000103
101,118.07153227000052
102,118.82635427000052
103,119.66999427000057
104,120.66999427000057
105,120.71587827000057
106,121.71587827000057
107,122.20463827000076
108,143.07353827000026
109,143.62741827000025
110,144.36105827000017
111,144.5628862700002
112,145.0756362700003
113,146.0756362700003
114,146.7020262700002
115,146.8329362700003
116,154.82276627000027
117,154.96807627000038
118,155.71423627000007
119,155.96532127000006
120,156.96532127000006
121,157.96532127000006
122,158.71213127000004
123,159.71213127000004
124,159.99360126999994
125,160.09591226999993
126,160.42244026999992
127,160.46664926999995
128,187.90830926999945
129,188.70014926999943
130,189.4681692699994
131,190.01924726999948
132,190.36653726999964
133,190.36730926999968
134,190.50459926999957
135,192.3352192699993
136,193.3352192699993
137,193.4837872699993
138,193.5045672699993
139,194.5045672699993
140,194.66111626999935
141,197.1960762699993
142,198.1960762699993
143,198.81181626999927
144,199.10253926999928
145,200.10253926999928
146,200.3331722699993
147,201.0591742699993
148,201.74029426999925
149,202.74029426999925
150,203.74029426999925
151,204.1269282699992
152,206.89224826999873
153,207.1845382699987
154,208.1845382699987
155,209.1845382699987
156,209.77574826999876
157,210.6071852699988
158,211.29692726999883
159,211.76944726999864
160,212.76944726999864
161,213.76944726999864
162,214.76944726999864
163,214.88367126999864
164,215.01469126999868
165,216.01469126999868
166,216.6543612699987
167,216.68347126999865
168,216.8681212699988
169,217.8681212699988
170,219.10372126999877
171,219.1705272699988
172,220.1705272699988
173,220.9555702699988
174,221.01505526999878
175,221.91301326999877
176,222.91301326999877
177,222.98498326999874
178,223.98498326999874
179,224.98498326999874
180,225.98498326999874
181,226.13486626999878
182,226.20516026999877
183,226.28322926999877
184,227.28322926999877
185,227.62355926999876
186,227.78909926999873
187,228.78909926999873
188,229.78909926999873
189,229.85953026999871
190,230.20858026999852
191,230.30074226999855
192,260.82057226999825
193,261.0382722699984
194,262.0382722699984
195,263.0382722699984
196,268.6038298699984
197,286.72809986999863
198,287.72809986999863
199,288.0023108699986
200,288.14530086999866
201,288.89736986999867
202,288.9684498699986
203,289.0362498699984
204,289.7524798699984
205,290.0231478699984
206,290.0326988699984
207,291.0326988699984
208,291.17887886999836
209,292.17887886999836
210,292.8212088699985
211,293.0030988699983
212,294.0030988699983
213,294.45801786999834
214,295.45801786999834
215,295.8545678699983
216,295.95480786999826
217,295.98173286999827
218,296.12234686999824
219,296.50008686999814
220,297.21941686999804
221,297.328327869998
222,298.10122786999796
223,299.10122786999796
224,299.54708786999777
225,300.54708786999777
226,300.71798586999785
227,301.0987368699979
228,301.11549286999787
229,301.19852986999786
230,301.2238898699977
231,302.03178986999774
232,302.62273986999776
233,302.68546986999786
234,303.68546986999786
235,304.0781398699978
236,304.32815986999776
237,305.32815986999776
238,306.1629698699976
239,306.24385286999757
240,306.45080786999756
241,306.49934686999757
242,307.49934686999757
243,307.6004368699977
244,308.6004368699977
245,309.6004368699977
246,310.6004368699977
247,310.6263956699977
248,310.6690626699977
249,310.7343536699977
250,311.7343536699977
251,312.5388836699976
252,313.1699636699977
253,313.72500166999765
254,314.0359416699977
255,314.06989166999773
256,315.06989166999773
257,316.06989166999773
258,316.48950166999765
259,317.46320666999765
260,317.9616566699977
261,317.9826266699977
262,318.7290166699975
263,319.1562136699975
264,320.1562136699975
265,320.3863126699975
266,321.3863126699975
267,321.8235426699975
268,322.0565711699975
269,322.1275701699975
270,322.2097521699975
271,322.3530021699976
272,323.10594016999755
273,324.10594016999755
274,325.10594016999755
275,325.2418001699974
276,325.3604521699974
277,326.1844331699974
278,326.39884716999745
279,326.82297616999745
280,327.82297616999745
281,328.82297616999745
282,329.82297616999745
283,329.95765616999734
284,330.95765616999734
285,331.0531851699974
286,331.43744516999743
287,331.7582881699974
288,332.2116811699974
289,332.6189611699973
290,333.6189611699973
291,333.7581951699973
292,334.6161251699974
293,335.6161251699974
294,335.8707491699974
295,336.5453491699972
296,336.5848491699973
297,336.6339691699973
298,337.3993291699974
299,338.3993291699974
300,339.3993291699974
301,339.8709501699974
302,339.9319101699974
303,340.9319101699974
304,341.34539016999736
305,341.8630301699974
306,342.8630301699974
307,343.1026071699974
308,344.1026071699974
309,344.3155661699974
310,345.3155661699974
311,358.6234761699974
312,362.68370616999744
313,362.83612016999746
314,362.84361716999746
315,363.2604171699974
316,363.6747271699973
317,363.6759071699973
318,364.4381391699973
319,365.4381391699973
320,366.4381391699973
321,367.4381391699973
322,367.76149916999765
323,367.77770216999767
324,368.77770216999767
325,369.77770216999767
326,370.77770216999767
327,371.77770216999767
328,372.77770216999767
329,372.97746076999766
330,373.30286076999784
331,374.1364040699978
332,380.8073740699975
333,406.73641406999747
334,410.41543636999745
335,410.57816336999747
336,411.14622336999753
337,412.14622336999753
338,412.5350533699975
339,412.5435233699975
340,413.42805336999754
341,417.6733433699974
342,418.6733433699974
343,444.6920583699974
344,444.73590636999745
345,445.73590636999745
346,446.0092063699974
347,446.2557763699974
348,446.9519363699974
349,447.12071936999735
350,448.12071936999735
351,448.3249893699975
352,449.3249893699975
353,449.5223183699975
354,449.91584836999755
355,450.8346473699975
356,450.84564336999756
357,451.4196933699975
358,451.5382323699975
359,451.8800823699975
360,452.8800823699975
361,452.92708236999755
362,494.07405236999733
363,494.1671003699974
364,494.33709036999727
365,494.50392336999727
366,495.50392336999727
367,495.68629636999725
368,495.91407586999725
369,496.82338586999725
370,497.82338586999725
371,498.65668286999727
372,519.2056628699972
373,519.4663428699972
374,521.236172869997
375,521.544818869997
376,522.1783188699969
377,523.1783188699969
378,524.1783188699969
379,524.4712528699969
380,524.8078628699967
381,525.0526528699969
382,525.058282869997
383,525.639355869997
384,525.8681358699969
385,526.8681358699969
386,527.748565869997
387,528.3308358699971
388,529.2228458699972
389,530.2228458699972
390,531.1821378699972
391,531.2434048699972
392,532.2434048699972
393,532.4741648699971
394,532.5285068699972
395,533.5285068699972
396,533.7248308699972
397,533.7279868699972
398,536.7516568699967
399,537.6666428699967
400,538.6666428699967
401,538.7188538699968
402,538.9065838699969
403,539.9065838699969
404,548.4522738699968
405,549.1314308699968
406,550.1314308699968
407,550.1643138699968
408,551.1181238699968
409,551.2668178699968
410,551.2792478699968
411,551.5895058699967
412,552.5895058699967
413,552.9526558699966
414,553.9526558699966
415,553.9977918699967
416,554.9977918699967
417,608.9123518699969
418,609.3845547699968
419,610.3118147699968
420,610.9512798699968
421,611.4450698699968
422,611.8865658699967
423,611.9775726699968
424,628.9015426699966
425,629.4585126699967
426,629.8432726699966
427,629.8800916699965
428,629.9447456699966
429,630.2641456699967
430,630.6537246699967
431,630.8141616699967
432,631.0055066699966
433,632.0055066699966
434,632.0075186699967
435,632.5879086699968
436,633.5879086699968
437,633.9143238699968
438,634.9143238699968
439,635.9143238699968
440,636.9143238699968
441,651.947723869997
442,652.198801869997
443,653.198801869997
444,653.206101869997
445,653.206821869997
446,654.107071869997
447,655.107071869997
448,655.814011869997
449,656.406547869997
450,657.406547869997
451,658.5132078699974
452,658.7308018699973
453,659.2783718699973
454,659.3098748699972
455,659.3439108699972
456,660.3439108699972
457,660.4418908699972
458,660.5070328699973
459,672.151752869997
460,672.4551808699971
461,672.582088869997
462,672.658038869997
463,673.021259869997
464,673.6029198699971
465,674.6029198699971
466,675.0976118699971
467,675.3508018699971
468,675.5023718699971
469,675.6886768699972
470,676.237076869997
471,676.7099528699971
472,677.6438528699971
473,677.6922338699972
474,677.7615808699971
475,678.2393008699972
476,678.3133008699972
477,678.8933008699972
478,679.8933008699972
479,680.3942158699972
480,680.6094158699973
481,681.6094158699973
482,682.3806358699974
483,683.0226358699974
484,683.8093758699974
485,684.1546358699975
486,684.2603288699975
487,684.8283988699973
488,685.8283988699973
489,686.1681588699973
490,686.2485888699973
491,686.2546758699973
492,686.3026578699973
493,686.4515778699974
494,687.4515778699974
495,688.0577548699974
496,688.9704148699974
497,689.5605928699974
498,690.5605928699974
499,691.5605928699974
500,692.5605928699974
501,692.7129578699974
502,693.0359478699975
503,694.0359478699975
504,695.0359478699975
505,695.1079178699974
506,696.1079178699974
507,733.1244278699978
508,733.7652778699976
509,734.2168778699977
510,734.4667778699975
511,734.6645438699975
512,735.6645438699975
513,735.9807578699974
514,736.1354978699974
515,736.2553178699973
516,736.4370278699972
517,737.4370278699972
518,738.0362798699972
519,738.1046298699972
520,738.3156998699973
521,738.5490398699975
522,742.1975798699976
523,742.3409468699977
524,742.4886818699977
525,742.8984718699976
526,742.9125058699976
527,742.9802758699977
528,743.2747558699978
529,743.6989558699977
530,744.6989558699977
531,745.6989558699977
532,746.6989558699977
