n,value
1,0.0
2,2.3487555479984046e-06
3,5.561421182603832e-06
4,6.533320030061018e-06
5,1.1122842365179908e-05
6,1.166278616929195e-05
7,4.173765605955393e-05
8,4.794700980711997e-05
9,4.924287493704438e-05
10,5.8502911177954475e-05
11,5.8516409773057276e-05
12,6.0622190609177506e-05
13,0.00010775928471004614
14,0.0001121328295234647
15,0.00011218682390387591
16,0.00011853116360246996
17,0.00011993501749321678
18,0.00012160884328607513
19,0.00012522646677373683
20,0.00014199172189208187
21,0.0001539784743439243
22,0.00015573329170734396
23,0.00015943190676562247
24,0.00016043080280322974
25,0.00016350848248683492
26,0.0001678550301101034
27,0.00017649413097622912
28,0.00018988473731876288
29,0.0002030593661396518
30,0.00020845880418099427
31,0.0002109425456800207
32,0.0002125083827119456
33,0.0002265199244292082
34,0.00023367417983402583
35,0.0002354020000072954
36,0.00023631990447434137
37,0.00025782316647396386
38,0.0002613328012009142
39,0.00027839502541152084
40,0.00027842202260172644
41,0.00028476636230029273
42,0.00028490134825132074
43,0.0002865211796637124
44,0.0002892748930647948
45,0.0002901658003415797
46,0.00029767101921907013
47,0.000303313431972263
48,0.00031314040920749076
49,0.0003147602406198824
50,0.000326800987452025
51,0.00032731393406593146
52,0.00032739492563654826
53,0.0003362500040243188
54,0.0003556069894025127
55,0.00036251827009542437
56,0.0003878416345093061
57,0.0003914592579969678
58,0.00039334906131141545
59,0.0003969666847991049
60,0.0004000713616729157
61,0.0004061727266596038
62,0.0004076575721209674
63,0.0004083594990663131
64,0.00041896939481753104
65,0.00042021126556709976
66,0.0004218310969794914
67,0.0004417010289716472
68,0.00044445474237272964
69,0.0004520679500110425
70,0.0004636227474194843
71,0.0004905659432457576
72,0.0004960193756675113
73,0.0004983951284057153
74,0.0005059813388537671
75,0.0005079791309290371
76,0.0005082491028311487
77,0.00051294661392709
78,0.0005158083160889948
79,0.0005254193158025777
80,0.0005259322624165119
81,0.0006274956919740948
82,0.0006297094615710652
83,0.0006402383657516941
84,0.0006435860173372998
85,0.0006445039218043458
86,0.0006873484626623572
87,0.0006885633362216648
88,0.000689535235069122
89,0.0006939897714532128
90,0.0006991192375924438
91,0.0007056795548126549
92,0.000720433519260627
93,0.000735713928917664
94,0.0007374957434713447
95,0.0007466747881415825
96,0.0007513183048571681
97,0.0007530461250304377
98,0.0007612532708532738
99,0.0007708372733766511
100,0.0007854157560882868
101,0.0011291169846096016
102,0.001135542315878757
103,0.0011359742709220466
104,0.0011422376190499683
105,0.00114385745046236
106,0.001150444764872749
107,0.0011512546805789725
108,0.0011514166637202061
109,0.0011544943434037558
110,0.0011579499837502394
111,0.0011609196746729666
112,0.001161135652194667
113,0.0011612436409554894
114,0.0011711246125711283
115,0.001171556567614418
116,0.0011756871377160416
117,0.00117671303094391
118,0.0011884838058739966
119,0.001189131738438931
120,0.0011972038983107391
121,0.0012021173869283253
122,0.0012043311565252401
123,0.0012068688924046223
124,0.0012105405102726952
125,0.0012140501449995345
126,0.0012175867769165793
127,0.0012188826420465038
128,0.0012220683104908758
129,0.0012487415344150793
130,0.0012493624697898636
131,0.0012498214220234144
132,0.0012539789893152437
133,0.0012542489612172997
134,0.001259864376780287
135,0.0012696913540155147
136,0.0012699613259175707
137,0.0012791403705878363
138,0.0012813541401848066
139,0.001285943662519981
140,0.001286618592275121
141,0.0012868885641771771
142,0.0013060025748435206
