n,value
1,0.0
2,2.2374295340910066e-06
3,4.783470038433046e-06
4,5.979337548062125e-06
5,1.3193118976934093e-05
6,1.7938012644075352e-05
7,2.4997488587891192e-05
8,3.190265904653988e-05
9,6.154860037328735e-05
10,8.788661786299917e-05
11,9.529328114824681e-05
12,0.00010127261869633669
13,0.00010443588114109753
14,0.00010838995919702082
15,0.0001154880115121007
16,0.00011568089336847637
17,0.0001301084562262203
18,0.00013109215369378618
19,0.00013421683976722748
20,0.00013587562373219148
21,0.0001365699984151661
22,0.000139521090817947
23,0.00013982970178817028
24,0.00014183567309456607
25,0.00014339801613128672
26,0.00014490249461113908
27,0.00014544256380900206
28,0.00015809561358804541
29,0.00016473074944773486
30,0.00016893557391698538
31,0.00017970802559622717
32,0.00018125108044728805
33,0.0002247652272483261
34,0.0002251124145897579
35,0.00023363779264210655
36,0.0002440534128870589
37,0.00024586650233713453
38,0.00024667660613395676
39,0.00025134434705851444
40,0.0002566678862948382
41,0.000270941143667415
42,0.00027190555294934887
43,0.00028224402045177316
44,0.00028309270061991493
45,0.0002887827153833303
46,0.00029912118288569906
47,0.00030737652633908846
48,0.00031169707992221435
49,0.0003145903077680229
50,0.00032269134573630065
51,0.0003255459972108382
52,0.000331409605645025
53,0.0003347657499461615
54,0.00033519009003023237
55,0.00035943533937814187
56,0.0003598982558334768
57,0.00036996668873694183
58,0.00037297564569659103
59,0.000410819065919818
60,0.0004110505241474577
61,0.00041425236296348256
62,0.0004148310085326651
63,0.00042370357392650104
64,0.0004239157439685365
65,0.0004272526000840132
66,0.000433135496703832
67,0.00043604801273529337
68,0.00043681954016085156
69,0.0004459235637823272
70,0.00045329165069631083
71,0.0004563777603984326
72,0.0004571396437311609
73,0.0004590298859237646
74,0.0004602643298046577
75,0.0004664751255803318
76,0.0004666294310654434
77,0.0004883093517233789
78,0.0004900838648021905
79,0.0004959667614220092
80,0.0005007502314604145
81,0.000502949084623186
82,0.0005122845664723569
83,0.0005199226879852997
84,0.0005226423221603577
85,0.0005342538099148836
86,0.0005536191482962
87,0.0005676609474413036
88,0.0005777293803447686
89,0.0005828214613533972
90,0.0006119080452966913
91,0.0006122166562669146
92,0.0006154956478254675
93,0.0006178102301021421
94,0.0006900155530407959
95,0.0006910956914365773
96,0.0006926387462875827
97,0.0007228054686266028
98,0.0007254672382447092
99,0.0007323338323320938
100,0.0007399912420306409
101,0.0007424794179780592
102,0.000742517994349351
103,0.0007457584095366399
104,0.0007489409601670327
105,0.0007514291361144232
106,0.0007525285626958089
107,0.0007533000901213671
108,0.0007564247761948084
109,0.0007603595660651274
110,0.0007615168572034647
111,0.0007617097390598682
112,0.0007798020571890829
113,0.0007831967778614835
114,0.0007841997635147091
115,0.0007857428183658255
116,0.0008057253786875884
117,0.0008153308951357185
118,0.0008167196445016678
119,0.0008239720023018593
120,0.0008280225212860259
121,0.0008438195453241704
122,0.0008580542263255386
123,0.0008580928026968582
124,0.0008678526246300444
125,0.0008847876516208941
126,0.0008981157878972523
127,0.0008986172807238513
128,0.0008996009781914449
129,0.0009127748089826915
130,0.0009169410570806502
131,0.000922881818257365
132,0.0009263151153010851
133,0.0009287840030628713
134,0.0009325644874480787
135,0.0009474549667612131
136,0.0009557488865858943
137,0.000963734195440269
138,0.0009942577492135923
139,0.0009959358213641606
140,0.0009966301960471352
141,0.0010081066665021815
142,0.0010155519061587487
143,0.0010169985200816772
144,0.0010217434137487907
145,0.0010235565031988109
146,0.0010238265377977146
147,0.0010244437597381056
148,0.001031464659310602
149,0.0010339721234436522
150,0.0010375790141580882
151,0.0010440212681614575
152,0.0010478789052892207
153,0.0010479946344030683
154,0.001051697966045692
155,0.0010662412580173114
156,0.0010662605462029434
157,0.0010706196761573888
158,0.0010845457461886449
159,0.0010933411588398972
160,0.0011195730913085983
161,0.0011333448558546871
162,0.001134232112394093
163,0.0011345792997355802
164,0.0011363923891856559
165,0.0011389770060612342
166,0.0011395170752591527
167,0.0011464222457178014
168,0.0011490647271503035
169,0.001159538211952152
170,0.001160232586635182
171,0.0012488039350883745
172,0.0012640030253717321
173,0.001268825071781457
174,0.0012743222046884967
175,0.0012749394266289432
176,0.00129781521479648
177,0.0013046432325126006
178,0.0013086551751254477
179,0.0013181063860884107
180,0.0013264774586555922
181,0.001334530276159776
182,0.0013399309681385724
183,0.0013483599052627054
184,0.0013554772457633896
185,0.0013792402904703321
186,0.0013795489014405554
187,0.0013856439681023819
188,0.0013908132018536495
189,0.0013939185997414866
190,0.0013955002309638115
191,0.0013999365136607295
192,0.0014012673984698104
193,0.0014121073587987781
194,0.0014131103444520315
195,0.0014408563994933732
196,0.0014439617973812102
197,0.0014458713277594182
198,0.0014503076104563362
199,0.0014576756973703753
200,0.0014608389598151361
201,0.0014688242686695663
202,0.0014722961420845504
203,0.0014746107243611972
204,0.0014856821429178602
205,0.0014874566559965607
206,0.0014890382872189412
207,0.001502771475393766
208,0.001503813037418228
209,0.0015066291125215014
210,0.0015692771394761607
211,0.0015776867884146062
212,0.0015905712964212892
213,0.0015926544204702686
214,0.0016083164272089057
215,0.0016124826753068644
216,0.0016125212516781284
217,0.001616745364333011
218,0.001624074874875786
