n,value
1,0.0
2,0.005504309068631752
3,0.1103301823486777
4,0.1178674957196107
5,0.19866351922604103
6,0.21132608061537
7,0.21286836921687974
8,0.26261961299797426
9,0.26500767281289356
10,0.6634654051795787
11,0.6833659026920166
12,0.6883410340492536
13,0.6899330738100303
14,0.7028888951028006
15,0.7082371414329585
16,0.7751525627765199
17,0.7801028116085883
18,0.9450281591218156
19,0.9798540297685817
20,0.9815876568230588
21,0.9847966119242458
22,0.9859657783466682
23,0.988901101724378
24,0.9958457779440455
25,0.9965422761286853
26,1.0
