n,value
1,0.0
2,1.3560425254935973e-05
3,2.7120850509871967e-05
4,5.424170101974386e-05
5,0.00036613148188327185
6,0.00037969190713820785
7,0.00039325233239314385
8,0.00040681275764807985
9,0.00042037318290301585
10,0.00046105445866782385
11,0.00047461488392275985
12,0.00048817530917769585
13,0.0005017357344326318
14,0.0005152961596875678
15,0.0005288565849425038
16,0.0005424170101974398
17,0.0005559774354523758
18,0.0005695378607073118
19,0.0005830982859622478
20,0.0006237795617270556
21,0.0006373399869819916
22,0.0008949880668257756
23,0.0009356693425905836
24,0.0009627901931004556
25,0.0009763506183553916
26,0.0010983944456498156
27,0.0011119548709047516
28,0.0011255152961596876
29,0.0011390757214146236
30,0.0011526361466695596
31,0.0011661965719244956
32,0.0011797569971794316
33,0.0011933174224343676
34,0.0012068778476893036
35,0.0012746799739639836
36,0.0013967238012584076
37,0.0014102842265133436
38,0.0014238446517682796
39,0.0014374050770232156
40,0.0014509655022781516
41,0.0014645259275330876
42,0.0014780863527880236
43,0.0015187676285528316
44,0.0015730093295725756
45,0.0015865697548275116
46,0.0016814927316120636
47,0.0016950531568669996
48,0.0017086135821219356
49,0.0017221740073768716
50,0.0017357344326318076
51,0.0017628552831416796
52,0.0017764157083966156
53,0.9991321327836841
54,0.999145693208939
55,0.9991592536341939
56,0.9991863744847037
57,0.9991999349099586
58,0.9992134953352135
59,0.9992270557604684
60,0.9992406161857234
61,0.9992541766109783
62,0.9995796268170968
63,0.9995931872423517
64,0.9996881102191363
65,0.9997016706443912
66,0.9997152310696461
67,0.9999593187242349
68,0.9999728791494898
69,0.9999864395747448
70,0.9999999999999997
