n,value
1,0.0
2,2.6472993002138456e-05
3,0.00011643509154017628
4,0.00012481145816438388
5,0.00012686412472655284
6,0.0003097952964349754
7,0.0003694689602983664
8,0.0003785879673868092
9,0.0004259088215007728
10,0.0006676124373106995
11,0.0007024387681703603
12,0.0007654157787526927
13,0.0007793918125829635
14,0.0009627329898360126
15,0.0009706781020349942
16,0.001089507719281263
17,0.0013121648824499788
18,0.0013444268378257351
19,0.0015690115249974157
20,0.0015849987029447898
21,0.0018376120740750401
22,0.0019387639977614668
23,0.0019525443550742205
24,0.0019589590537189283
25,0.0021594490831230995
26,0.002239270888886563
27,0.002333864520371126
28,0.0024217032309924724
29,0.0025062332234739304
30,0.002577858175570824
31,0.0028253939049017185
32,0.003058159648563777
33,0.00311507385996819
34,0.0031495055575639502
35,0.0032295830776988416
36,0.0034026895295335563
37,0.0034984570411549926
38,0.0035741348716184645
39,0.003579787606638865
40,0.003585614459728728
41,0.003593279744612779
42,0.0037258828156587903
43,0.0037700116351238044
44,0.0037753565502302022
45,0.003784587504349665
46,0.0037992721135121643
47,0.003812360762792233
48,0.003859199785179568
49,0.003949332028514885
50,0.003980922581585999
51,0.004042006565662226
52,0.004089140040717809
53,0.004136794931321297
54,0.004219342947486993
55,0.004415981509005074
56,0.004637544254051773
57,0.0047809466255238076
58,0.00494224454656772
59,0.0049585330691861995
60,0.005036894718993639
61,0.005152640133986457
62,0.005157127698552515
63,0.005173410491361257
64,0.005241499928589948
65,0.005267392097913475
66,0.005746054611046252
67,0.005772313794670785
68,0.006190325277093903
69,0.006401398132443118
70,0.006476675195842187
71,0.006612469545139856
72,0.006679761156606647
73,0.0066973832385008834
74,0.006725242468457956
75,0.006935027990062511
76,0.007040570656167474
77,0.007052448486467241
78,0.007092458067194492
79,0.007133682048874514
80,0.007168293174714204
81,0.007182439483110006
82,0.007275472220257342
83,0.007391365323305723
84,0.007403684717739414
85,0.007644463574797169
86,0.007723846087614752
87,0.007931152966760249
88,0.008053949743996116
89,0.008104150030506043
90,0.008137422946554753
91,0.008150566142698292
92,0.008403649112396463
93,0.00840477020568443
94,0.008451176894534018
95,0.008619145932711413
96,0.008630801743178467
97,0.00870841409030863
98,0.008766490873737359
99,0.008810707478578577
100,0.008867316972612765
101,0.00886857537766526
102,0.0088956411493815
103,0.008971057153869848
104,0.00912279833676689
105,0.009228694279939786
106,0.009247655967849832
107,0.009299816456327503
108,0.009310422464781875
109,0.00937005507054271
110,0.009498148982982606
111,0.009521434157533242
112,0.009548907696696345
113,0.009596331156732068
114,0.009689569982382778
115,0.009779458186566097
116,0.009826435786301973
117,0.010052505024055008
118,0.010124889028515698
119,0.010212877972451889
120,0.01024878586111842
121,0.01049306407767268
122,0.0105249860513613
123,0.010540703048319205
124,0.010712905320150994
125,0.010906519056567681
126,0.010960536264146042
127,0.011064006791440466
128,0.011408426621060546
129,0.011416610321096903
130,0.011428354438582904
131,0.01157587663640412
132,0.011616187715672115
133,0.011639196985845517
134,0.011656068650065892
135,0.011679967236359317
136,0.011810142587567723
137,0.011951413431795493
138,0.012029560120189225
139,0.012057100169212392
140,0.012080537892587711
141,0.012176199052552333
142,0.012303815674984755
143,0.012374146700212581
144,0.012432976784864349
145,0.012526606554723037
146,0.012553318106624852
147,0.012619354184944528
148,0.01267672012107612
149,0.012725700645779044
150,0.01290891506670738
151,0.012924173438826621
152,0.0129577970384504
153,0.013088434588610028
154,0.013250515056811515
155,0.013290637374036181
156,0.01331752861537117
157,0.013317765594236208
158,0.013405569515009607
159,0.013412059761669825
160,0.013414798714034403
161,0.013450086120283266
162,0.013525054642845657
163,0.013551949232860138
164,0.013719518310991118
165,0.01390542300044979
166,0.013927768949324858
167,0.014028332051341918
168,0.014117336250645273
169,0.01439199850464724
170,0.014452903045043607
171,0.014705301892147648
172,0.014720713973255316
173,0.015051471001890592
174,0.015067344318959546
175,0.015112809345689742
176,0.015237652531100519
177,0.015263690937397188
178,0.015362982112588523
179,0.015381953336037816
180,0.015433507470770106
181,0.015444337722532401
182,0.015463687142492969
183,0.015497643177825244
184,0.01561119028698514
185,0.0158970936000105
186,0.01590435645985748
187,0.01610122162759174
188,0.016347477384420092
189,0.016534386381074948
190,0.016595895513329226
191,0.016597622141036925
192,0.016711722802341948
193,0.016915715860099986
194,0.016921674623915913
195,0.01695565191648973
196,0.017260381193572757
197,0.01734865769833138
198,0.01754293123333239
199,0.017560593011012312
200,0.01759131929095747
201,0.017723192258886963
202,0.017765432016527468
203,0.017799081388818135
204,0.017803193743076647
205,0.017855086887744228
206,0.01787218229567727
207,0.01787708831681095
208,0.017955285672328455
209,0.01799987190259433
210,0.018031080747190505
211,0.01813055474495395
212,0.018167422450855005
213,0.018265502819633458
214,0.018623778898088802
215,0.018689983038631616
216,0.018737499403442572
217,0.01875647082285944
218,0.018858982447489427
219,0.019022587261767334
220,0.019202660281876862
221,0.019288800336032166
222,0.019327470935739468
223,0.019533281667790083
224,0.01957811696166015
225,0.01962136199211376
226,0.019645712972713923
227,0.019696709719198433
228,0.0197068131705713
229,0.020087812001913872
230,0.02027425135048586
231,0.02038486458996844
232,0.020457162465806786
233,0.02079068972923895
234,0.02082135957995832
235,0.020969912097229957
236,0.021002539959077502
237,0.021022050565043696
238,0.021076187087051838
239,0.02115002861776272
240,0.02134967880282671
241,0.021405027708086475
242,0.021489659011114357
243,0.021505103497271392
244,0.021521211871204125
245,0.02162169689112878
246,0.02164193497022968
247,0.021789880006285924
248,0.021953857386872857
249,0.021977908163593376
250,0.021982910410335423
251,0.022020714788503006
252,0.02202127957576788
253,0.022030573116421922
254,0.02215310897836223
255,0.02221365287127053
256,0.022223936707811087
257,0.022372288066941748
258,0.02239619553830735
259,0.02248022910507292
260,0.022596792389879723
261,0.022746072458414042
262,0.022758406711006103
263,0.02297055370395202
264,0.02301795114896927
265,0.023060746228010597
266,0.023064279572047562
267,0.023126798027364302
268,0.023198619178816902
269,0.02329787112453493
270,0.023360926805401104
271,0.0234672916829279
272,0.023586077366452702
273,0.023589812319229648
274,0.0236542205783087
275,0.0237060837558767
276,0.02374539056634641
277,0.023816496129444076
278,0.023898070386155146
279,0.023961303683140023
280,0.024016328531799847
281,0.024115046885802283
282,0.02421164944784764
283,0.02427686950208662
284,0.02450453135908869
285,0.024672403471444216
286,0.024693386785031458
287,0.024799123248963818
288,0.024836437770691545
289,0.024932069870295687
290,0.02494217905483827
291,0.02498103837471895
292,0.02504791749540521
293,0.025122143964867578
294,0.025128680028487133
295,0.02515148719102835
296,0.025171485226160323
297,0.02517194861088125
298,0.02519957344480685
299,0.025201682074712534
300,0.025229825524083222
301,0.02534886617143735
302,0.025406137505740518
303,0.025548591062035903
304,0.0256463431067492
305,0.025675188889860232
306,0.02575958819699867
307,0.025947567367844055
308,0.025979569233506934
309,0.02602556007150077
310,0.02612738746630579
311,0.02617472957734786
312,0.026322142365736007
313,0.026500561564677245
314,0.026555196142858745
315,0.026813995858933865
316,0.026816266495856573
317,0.026821630403356878
318,0.026917738730585106
319,0.02694301811649096
320,0.027046221106608582
321,0.027182569241565747
322,0.027197351835351314
323,0.027220410978845522
324,0.02722680413510319
325,0.027257496236878332
326,0.027333098969116055
327,0.027338073584888257
328,0.027450841659895853
329,0.02751175977426167
330,0.02766104477693464
331,0.02773187435537371
332,0.0277699956754499
333,0.027793704986203083
334,0.02793642486406008
335,0.02805482062582031
336,0.028062842257590082
337,0.028161019502929086
338,0.028396495713530413
339,0.028539548888293565
340,0.028544570808181225
341,0.02857819504235608
342,0.02866758588962114
343,0.028735888535429733
344,0.028807019488333353
345,0.02881565188903128
346,0.028973793151410066
347,0.02924661724401727
348,0.029294807293002257
349,0.029547551090646707
350,0.02973985020134955
351,0.02980221938029461
352,0.029813857494626773
353,0.030027983180801177
354,0.030332583968272143
355,0.030367277838562457
356,0.030392883689232004
357,0.03042324920226171
358,0.0304646767583537
359,0.030488717630332746
360,0.03065601441362816
361,0.030668129523356586
362,0.030789275693081725
363,0.031201132058995818
364,0.03143408746321524
365,0.031520868936195434
366,0.031614887186328655
367,0.03164738559563074
368,0.03167898712534226
369,0.03168969278856016
370,0.03183057589108463
371,0.03205438358807478
372,0.03218798766721465
373,0.03235674206455264
374,0.03240861631805037
375,0.03244030596892434
376,0.032526071865782054
377,0.0325908991447676
378,0.03263145525227102
379,0.03265981237560595
380,0.032801377296305174
381,0.03293295712586309
382,0.033069747198926976
383,0.03324130117110081
384,0.03329624629290751
385,0.033369843833757414
386,0.03349448267215644
387,0.033526885369261024
388,0.033666409558010764
389,0.033702576281485826
390,0.03379304546409812
391,0.03383741774503419
392,0.03407576127005519
393,0.03420385133954396
394,0.03431724021695871
395,0.03458033405498929
396,0.03459545123071162
397,0.03468236489561228
398,0.03469376515003925
399,0.03487552872211914
400,0.03508323207720771
401,0.0350948818645272
402,0.03509974747524853
403,0.035260492254655974
404,0.03533871598834457
405,0.035360030692048496
406,0.03536619390235516
407,0.0353787329099313
408,0.03542902856136785
409,0.035446040865843444
410,0.035756924577112194
411,0.03577842955143288
412,0.03589518810350765
413,0.03589846628610669
414,0.035931468310932614
415,0.03620023321090413
416,0.03620093311121484
417,0.0363045830579121
418,0.03639137823336506
419,0.03665850899951748
420,0.036750480228569284
421,0.036764757615564726
422,0.036823746220451974
423,0.03691438035220256
424,0.037230307390406496
425,0.037407997840727174
426,0.037452198450145295
427,0.03747347335151446
428,0.037474463589858335
429,0.037507877742483146
430,0.03759202844778791
431,0.03760365421721228
432,0.03763669882959416
433,0.03769620365657616
434,0.037751778238679805
435,0.03785572658540531
436,0.03786700661093997
437,0.03794567422892011
438,0.038115475969926725
439,0.038196148468250764
440,0.03849373018887376
441,0.03878605643842977
442,0.03885657942201239
443,0.0390759266259749
444,0.0391418370095715
445,0.03920323444258953
446,0.039241445690434675
447,0.03938406645383622
448,0.03952267740434693
449,0.03966846452829601
450,0.03978725132868014
451,0.03980578058690524
452,0.03988487359839769
453,0.039958599029986254
454,0.040069253449625676
455,0.04013475079364496
456,0.04017477291672337
457,0.04050714747686804
458,0.04075239993258294
459,0.0407772698899939
460,0.041006896290825226
461,0.04105153513859193
462,0.041074339770443044
463,0.04129727896201203
464,0.04145709960740403
465,0.04146000463627021
466,0.04154119882412717
467,0.041563749001628694
468,0.04158023975625476
469,0.04168436531634791
470,0.04177256321073693
471,0.04180695424759191
472,0.042008120909212424
473,0.04228261091318171
474,0.04234235172944731
475,0.042456628125659174
476,0.042499813733079955
477,0.04280231296456091
478,0.04294461997908747
479,0.04299177353352554
480,0.04303346015529727
481,0.043416981380252476
482,0.04345722616178872
483,0.043515265559766717
484,0.043550563722020166
485,0.043797952403656595
486,0.043826409048423734
487,0.04395496425358138
488,0.044101954252886565
489,0.04424115393604968
490,0.044337514976823554
491,0.04434693821893148
492,0.04452324021488668
493,0.04453505927557879
494,0.044859587008926026
495,0.04487909298558614
496,0.0449829309654405
497,0.04504738875790106
498,0.04507596266651372
499,0.045077812100004035
500,0.045209649354450855
501,0.045232771290447234
502,0.04534347718189103
503,0.04562129813314531
504,0.04565053700044853
505,0.04569846463146574
506,0.04571534064355721
507,0.0457352022792833
508,0.045755073028909694
509,0.04575640064992582
510,0.045905755214027295
511,0.0460930110722776
512,0.046171369024688665
513,0.04631906040886031
514,0.04659779282298399
515,0.04659872965410223
516,0.04666601775160518
517,0.04666942288571075
518,0.047013582674054984
519,0.04713535100406153
520,0.047436972612309176
521,0.04753011959375753
522,0.047632730776091876
523,0.0478599195877707
524,0.04786518927944217
525,0.047948204636449894
526,0.04797215769264874
527,0.04799785996497997
528,0.04804569404925497
529,0.04809121518771125
530,0.04810204165281006
531,0.048137481157550725
532,0.048269187605687595
533,0.04830923071599252
534,0.04846926751872504
535,0.048537506951564106
536,0.04861763836339301
537,0.04874411154315723
538,0.04890248417108207
539,0.049031918601707254
540,0.04914013031734111
541,0.04935791504146101
542,0.04939248185092191
543,0.049448386237339055
544,0.049451746571236584
545,0.049521092326199424
546,0.04956783950071284
547,0.04964608360892656
548,0.04975310596383268
549,0.049761428741290116
550,0.04993061580684636
551,0.05009713421990595
552,0.050147755031002196
553,0.05017220961415767
554,0.05017788963857182
555,0.05019541848733553
556,0.05031572397542781
557,0.05034985388830302
558,0.05040937389402498
559,0.05055883438688922
560,0.0506803387648642
561,0.05072388648607682
562,0.050848387096118254
563,0.050849960083333014
564,0.05086581351193362
565,0.05088703120244029
566,0.0510322167461054
567,0.05116762763185393
568,0.05119857657301
569,0.05125594235530787
570,0.051324493611143655
571,0.0513563816024482
572,0.0514195042613289
573,0.051738108166978096
574,0.05179416197606584
575,0.05179844117641715
576,0.05201414958886665
577,0.05203680267114021
578,0.052038058178098166
579,0.05206250919434487
580,0.0520757765904041
581,0.05220678572266226
582,0.052246152533106736
583,0.05231590316751846
584,0.05231680722723377
585,0.052356817466929655
586,0.05249971418736359
587,0.05255552179113262
588,0.052564501323805045
589,0.05256502068961096
590,0.052598304628667235
591,0.052623517931947354
592,0.052668714933872644
593,0.05293503908490765
594,0.052945334462957176
595,0.05300060457410232
596,0.05302572804637735
597,0.05338821889219853
598,0.05355840533031015
599,0.053582427021280195
600,0.05361868383194241
601,0.05381083726477682
602,0.054237947768992045
603,0.05426609668415905
604,0.0543187162864785
605,0.054382102415632516
606,0.05452643155227738
607,0.054537631164180034
608,0.05458784117837018
609,0.054599743006703186
610,0.05460005007341258
611,0.05461438244995277
612,0.05468558770937838
613,0.05471966169641264
614,0.054750885754050266
615,0.05480053593042419
616,0.05488416932435933
617,0.05496816190862272
618,0.05502599440096187
619,0.055238918233991824
620,0.05524724957223462
621,0.05533433548967023
622,0.05554769656213471
623,0.05558090179578151
624,0.05559513788978113
625,0.05567471619730566
626,0.05583718011251612
627,0.05597225057258978
628,0.05599826838234964
629,0.056221652280339984
630,0.056335303512700885
631,0.05633801077638978
632,0.056432687325636555
633,0.0564684767447966
634,0.05667776674550873
635,0.056804076210637544
636,0.05688589169719205
637,0.05697700525056578
638,0.057135989028262855
639,0.05729606095509489
640,0.0577279215428427
641,0.057747083290739715
642,0.05779396534143663
643,0.05780046455300522
644,0.05791646422336558
645,0.05802801340102223
646,0.05805136078615733
647,0.05807741800656971
648,0.05815390560965203
649,0.05819416424121221
650,0.05830039088862676
651,0.058326154829883736
652,0.05846009112368894
653,0.05858494562118477
654,0.05859071904934787
655,0.0588097555278716
656,0.058852901143548075
657,0.05889239408929564
658,0.05893266271114067
659,0.05904481797955535
660,0.05920159169732514
661,0.05924813686370273
662,0.05931113362903821
663,0.05934856568666978
664,0.05935135330783535
665,0.059388098795618
666,0.059504137391914055
667,0.05969518648121361
668,0.05971055671381284
669,0.05972028121804576
670,0.05984713868315153
671,0.05985033340008564
672,0.06002776534917479
673,0.06020317998100861
674,0.060473555262915264
675,0.060541525861629815
676,0.06057822732237495
677,0.06063098427925551
678,0.06072771461556046
679,0.06082113191586245
680,0.06097672718632061
681,0.061162109824432244
682,0.06116337597615971
683,0.061173662752547604
684,0.06141357748575161
685,0.06142341038601879
686,0.06149112986603817
687,0.06172372843053937
688,0.061808880901793324
689,0.062022142907131546
690,0.062034649225695855
691,0.06214242436672252
692,0.06219429778603731
693,0.06227630041814645
694,0.06232898240991295
695,0.06234639862359046
696,0.06276620714848477
697,0.06276711373155072
698,0.06279664434599322
699,0.062799332925104
700,0.06291691319627615
701,0.0631145594138817
702,0.06314611089473424
703,0.06321462692131588
704,0.0635948439000126
705,0.06366431811469053
706,0.06374428832986834
707,0.063857631526368
708,0.06391835474353327
709,0.06407786693004516
710,0.0643087906554354
711,0.06432795954821438
712,0.0643468645883162
713,0.06449177535155107
714,0.06456210788998087
715,0.06459719828651436
716,0.06469857720008224
717,0.06480643672899214
718,0.06483362092805758
719,0.06506566264851563
720,0.0650814708949374
721,0.06526448274007254
722,0.06533496181149331
723,0.06537289593687809
724,0.06547201032438563
725,0.06550766075956169
726,0.06554124948088995
727,0.06570656490998221
728,0.06581948112128554
729,0.0659441827913214
730,0.0659551833842532
731,0.06627330909822403
732,0.06632182858107924
733,0.06668351998021586
734,0.0667883711266986
735,0.06682185921299715
736,0.06683978871482192
737,0.06684477184122499
738,0.06692263319594162
739,0.06717784580680965
740,0.06768363428795078
741,0.0679440946357157
742,0.06796102077034248
743,0.06806120751830357
744,0.06825643648787248
745,0.06856499459350464
746,0.06857288357450482
747,0.06860584409474182
748,0.06899458469943978
749,0.06903724584660778
750,0.06925237257216883
751,0.06929407927027655
752,0.06952745446763088
753,0.06953691272653352
754,0.0695549417421047
755,0.06964774626302735
756,0.0697141385257371
757,0.0697711103329523
758,0.06984689078812828
759,0.06987090515175093
760,0.06988039666790385
761,0.07012567330017289
762,0.07019513172012065
763,0.07021409316338695
764,0.07021796726230384
765,0.0702512565702578
766,0.07025516278283331
767,0.07027949763087196
768,0.07043997537486194
769,0.07065019215930848
770,0.0707009273358847
771,0.07082730069162219
772,0.07089840981474699
773,0.07090720360647301
774,0.070930299273605
775,0.07107840733690302
776,0.07110725312688092
777,0.07113286063392964
778,0.07137069946438511
779,0.07138212308985513
780,0.07152233277254393
781,0.07154321799125495
782,0.07156103709569007
783,0.0716257169125236
784,0.07164275974817856
785,0.07167784676385645
786,0.07168736311796463
787,0.07171484061891951
788,0.07173063241518297
789,0.07178071350509409
790,0.07194584887166484
791,0.0722802516992846
792,0.07241885575647274
793,0.0724444975578273
794,0.0724500647208897
795,0.0725052603371477
796,0.07268665947196638
797,0.07305987370990928
798,0.07312649733136888
799,0.07314606863817999
800,0.07323555497476844
801,0.07323601122497195
802,0.073336547026331
803,0.07339086744904202
804,0.0733951549825242
805,0.07342579431975889
806,0.07374356956679558
807,0.073771868672397
808,0.07381507284151406
809,0.07387002246755109
810,0.07403198420982698
811,0.0740877242054408
812,0.07408878218041098
813,0.07426226648869233
814,0.07429657059327172
815,0.07429925873066534
816,0.07434618841729312
817,0.07435825342871949
818,0.07436136860509945
819,0.07439246766261243
820,0.07439980603460561
821,0.07452401574785339
822,0.07454116014428097
823,0.07462879270517003
824,0.0747602066401501
825,0.07498732023158705
826,0.0750977814861149
827,0.07513655361766242
828,0.0751494588120179
829,0.07521670617976706
830,0.07521843323470945
831,0.07534385014596379
832,0.07535331580614413
833,0.07538216430424616
834,0.07574400345531657
835,0.07578651171976414
836,0.07592251060349275
