n,value
1,0.0
2,0.010437053418918985
3,0.02079946980998021
4,0.024328092432537987
5,0.02892986195469229
6,0.03102893801310371
7,0.03245307535686267
8,0.035503419976643656
9,0.04715138453552594
10,0.04976119784730306
11,0.06188828498585632
12,0.07503854364145848
13,0.07748600963285127
14,0.08137203755570258
15,0.08227633192869724
16,0.08881274428036326
17,0.08979185638138834
18,0.09164268182861587
19,0.10526951754841254
20,0.1250250431780117
21,0.18872961630852061
22,0.19843739525650664
23,0.21294281092906867
24,0.21462989059370566
25,0.2369608179369749
26,0.2434762376424898
27,0.2680326133171275
28,0.2694755434788481
29,0.27322122236320995
30,0.29978788745922547
31,0.2999403984049911
32,0.31014199164234213
33,0.3204193021803225
34,0.3432351659349064
35,0.3703609330783392
36,0.39166611196296625
37,0.39491016716789035
38,0.4076020444810367
39,0.41291739505695074
40,0.4408373001767896
41,0.4442861279600383
42,0.4472866936105029
43,0.4520390453004924
44,0.4721849304423166
45,0.4863934321615314
46,0.48872946114206806
47,0.49328455109569436
48,0.5120636358442128
49,0.515730089487636
50,0.5207490289280747
51,0.5386766701758511
52,0.5455502061975565
53,0.5558008713165916
54,0.5675884621132725
55,0.591583685186359
56,0.5936063329282442
57,0.5975709889958113
58,0.6001437194895369
59,0.607119877496282
60,0.6265997332276211
61,0.630370741562279
62,0.6332731320232583
63,0.6349664340590598
64,0.636126937707367
65,0.6450913318578901
66,0.6455733456403244
67,0.6488034162231868
68,0.6618601821807356
69,0.6646989033286876
70,0.6732672341267517
71,0.6826557237260917
72,0.6906561845900975
73,0.693000698622222
74,0.693940968042644
75,0.6976427760676841
76,0.7140395411653357
77,0.7248091457542716
78,0.7399720665030844
79,0.7402580755938352
80,0.7654683109151525
81,0.7666739738935782
82,0.7691603454178079
83,0.7743514214140742
84,0.7808811400028208
85,0.7823829941339027
86,0.7909579244165352
87,0.8045338184006867
88,0.8089838351321478
89,0.811359838133499
90,0.8193959990664085
91,0.8313381749325766
92,0.8484392621642689
93,0.8519832717993593
94,0.8666082324209616
95,0.8836895683381241
96,0.8962142272827522
97,0.8979317431416967
98,0.9040025775701156
99,0.9052626705831726
100,0.9079753730019838
101,0.9092178359634079
102,0.9107806017657509
103,0.9149215583496472
104,0.9202672037023423
105,0.9257891495713664
106,0.9626350775528805
107,0.9661667131544049
108,0.9797346877570743
109,0.9817323831620672
110,0.986897422620405
111,0.9885753887111142
112,1.0
