n,value
1,0.0
2,0.0009342998053046836
3,0.019164633826015784
4,0.02208085410606768
5,0.02752622882300186
6,0.03856660787679915
7,0.042778338216594755
8,0.05505236164753062
9,0.07406731252113245
10,0.09136333607004181
11,0.09906423757629375
12,0.10270304902917589
13,0.11199887983248454
14,0.12012309193871502
15,0.12355023742511091
16,0.13284605931189472
17,0.14650331407390996
18,0.16617890510576086
19,0.16726287719698243
20,0.17728136317210344
21,0.18025953446673662
22,0.18468297343900655
23,0.19295693249663295
24,0.20429665612226414
25,0.204446243076205
26,0.2263774142298586
27,0.22710004806867704
28,0.23116214878854383
29,0.23777913153605926
30,0.23835209308896074
31,0.24015865635301278
32,0.24632670757475347
33,0.25475025358632075
34,0.25953498814500586
35,0.26468101829010626
36,0.26642558787358894
37,0.26985273335998483
38,0.27240760472113645
39,0.27306820221339745
40,0.3068243372742481
41,0.3316459797841933
42,0.3376023223734596
43,0.3548107099830095
44,0.36627437830379134
45,0.37638054288426
46,0.3793587141788931
47,0.3856763950205626
48,0.38720929863755893
49,0.39120941434338513
50,0.40595068386260996
51,0.4269475338779649
52,0.42890372676194577
53,0.43579434382358634
54,0.46064164992531575
55,0.46740830495874797
56,0.4678572364845228
57,0.4770033950019145
58,0.4866605427246324
59,0.49210591744156656
60,0.5010404313254659
61,0.5031462538293757
62,0.5102742044492231
63,0.5262489903476224
64,0.5288658660558403
65,0.5380120272398563
66,0.5620490208974198
67,0.5708338624954024
68,0.5838924707797379
69,0.5981226657616607
70,0.6170756229546932
71,0.6265211047109248
72,0.6406016487399246
73,0.6445140771738744
74,0.6649999486504002
75,0.6679781199450333
76,0.6778468483022614
77,0.6785074817939498
78,0.7007999192011519
79,0.7027561440846238
80,0.7103073839714558
81,0.7178586238582878
82,0.7248369021922183
83,0.7359393175925729
84,0.792225142286793
85,0.8010976624901232
86,0.8032655213405903
87,0.8119883692580034
88,0.8120503202725847
89,0.8121999925585016
90,0.8178570092423039
91,0.8456824439726784
92,0.8496825510119759
93,0.8544052918900916
94,0.862828837901659
95,0.8640004032662522
96,0.8692961056972693
97,0.8729349171501515
98,0.8746794440676461
99,0.8769969858705272
100,0.8842745234443156
101,0.8882126474695407
102,0.898107146083523
103,0.9035525208004572
104,0.9052970903839399
105,0.9065306920950904
106,0.9135709641095903
107,0.9503929384039247
108,0.9530718504587
109,0.9641122721784853
110,0.9672401157590353
111,0.9983430663558769
112,1.0
