n,value
1,0.0
2,0.0027025519823329347
3,0.006009672701711155
4,0.007175630039807063
5,0.012201900902454238
6,0.015530447773912298
7,0.01926922935387973
8,0.020677922749308214
9,0.032895161498333325
10,0.04531245962472871
11,0.05957258245418488
12,0.0616554386019386
13,0.0739252943604974
14,0.07576316646119215
15,0.08112724461335115
16,0.08739599813103065
17,0.08872840037511924
18,0.10163772725288174
19,0.134043810486364
20,0.15999928719992434
21,0.1728138179900835
22,0.1732801353589548
23,0.1869758488511655
24,0.2034141800592704
25,0.23003974504377692
26,0.23226216388704504
27,0.239378784196534
28,0.24007088403355123
29,0.2496622600330973
30,0.2533770630559832
31,0.257070650675826
32,0.2609094209654993
33,0.2820330310946272
34,0.28382037025959705
35,0.2841821092730712
36,0.2896690775302737
37,0.2962026137961963
38,0.3092665953421676
39,0.3148843216684561
40,0.3219653312448572
41,0.3451391080044674
42,0.3590026479796901
43,0.3851837666620384
44,0.3910147241805004
45,0.4055860999208251
46,0.41113228865738266
47,0.4294127537800387
48,0.4400308054208821
49,0.44285090853265824
50,0.46276088520824277
51,0.4628941254326516
52,0.4668651290346688
53,0.46895660247637383
54,0.4859876068092218
55,0.4872578380874394
56,0.49091872448173096
57,0.4909964440432095
58,0.5025875942368709
59,0.504682533329404
60,0.5060053816171554
61,0.5098249971610349
62,0.5106472462365872
63,0.5202977724658093
64,0.5333638966269887
65,0.5602193185610201
66,0.5871658074955307
67,0.5936833385429325
68,0.5986867080102419
69,0.6033920549228851
70,0.6169287114336727
71,0.626094608544377
72,0.6310260657570012
73,0.633761073091009
74,0.6534100956258533
75,0.6717664304017755
76,0.7049023609664309
77,0.7051668275911187
78,0.7061632022042288
79,0.712336416158536
80,0.7376396011864842
81,0.7380364650394334
82,0.7452562587107405
83,0.7581806307280782
84,0.7734629332193789
85,0.7807134025838275
86,0.7836788756979114
87,0.7849723127867423
88,0.8072661420678224
89,0.8074653701573251
90,0.8138145829739623
91,0.8200377678665628
92,0.8260013099457634
93,0.8396634675079955
94,0.8461795935618183
95,0.84662179187425
96,0.8468949694591277
97,0.8479604229232055
98,0.8509111904378291
99,0.8532778318719819
100,0.8803201179520209
101,0.8816603881601518
102,0.883526406965546
103,0.8858064071289935
104,0.9238816862868751
105,0.9349189880116932
106,0.944602859421857
107,0.9471155499385472
108,0.955911043908707
109,0.9754190753378982
110,0.9781515068503446
111,0.9965688417641552
112,0.9999999999999998
