n,value
1,0.0
2,0.0001250000000000001
3,0.9740000000000001
4,0.9741250000000001
5,0.9742500000000002
6,0.9753750000000002
7,0.9877500000000002
8,0.9880000000000002
9,0.9881250000000003
10,0.9882500000000003
11,0.9886250000000003
12,0.9887500000000004
13,0.9900000000000003
14,0.9901250000000004
15,0.9902500000000004
16,0.9903750000000004
17,0.9907500000000005
18,0.9908750000000005
19,0.9910000000000005
20,0.9912500000000005
21,0.9916250000000005
22,0.9917500000000006
23,0.9918750000000006
24,0.9922500000000006
25,0.9923750000000007
26,0.9980000000000007
27,0.9987500000000007
28,0.9990000000000007
29,0.9991250000000007
30,0.9996250000000007
31,0.9997500000000007
32,1.0000000000000007
