n,value
1,0.0
2,4.152134196977258e-05
3,9.688313126280268e-05
4,0.00024912805181863515
5,0.0002906493937884063
6,0.0007612246027791607
7,0.0007889054974256757
8,0.0008442672867187059
9,0.0013702042850024902
10,0.001411725626972263
11,0.0014532469689420356
12,0.0015501301002048373
13,0.002366716492277029
14,0.0028511321485910424
15,0.0030864197530864196
16,0.003100260200409677
17,0.0032248242263189946
18,0.006020594585617007
19,0.006131318164203066
20,0.006172839506172838
21,0.006449648452637988
22,0.006463488899961246
23,0.006546531583900791
24,0.009965122072745393
25,0.010200409677240771
26,0.010241931019210544
27,0.010283452361180317
28,0.01049105907102918
29,0.010560261307645468
30,0.022864418978021373
31,0.02293362121463766
32,0.02298898300393069
33,0.02304434479322372
34,0.9981592205060067
35,0.9982976249792392
36,0.9983114654265625
37,0.9998615955267673
38,0.9999999999999999
