n,value
1,0.0
2,0.006303362560469344
3,0.0064237485654838195
4,0.2764031234367296
5,0.27692494007502744
6,0.27751941279299536
7,0.27783319373550236
8,0.2783076069689646
9,0.27890083153595535
10,0.2802810547925363
11,0.2806842338904797
12,0.2862902539733263
13,0.2867712318489536
14,0.28735936901575865
15,0.2902307903702376
16,0.29073004022820875
17,0.2909621489118346
18,0.2912458847010712
19,0.29163332235061407
20,0.2922489399047574
21,0.29269207563335153
22,0.29285280272058356
23,0.2934887382767106
24,0.2945190684758021
25,0.2954289837043501
26,0.3043157133330098
27,0.31150561067365834
28,0.31482072073501244
29,0.31591484882835763
30,0.3166073224638772
31,0.321976330789006
32,0.3623583649981094
33,0.36298929741740793
34,0.36430621782695827
35,0.36480530969113484
36,0.3655029365575878
37,0.3663546284396011
38,0.36780748671001295
39,0.36829824440152514
40,0.36923122935731256
41,0.37619030829699107
42,0.3771067513024854
43,0.37760835526799585
44,0.3779553254402855
45,0.3875629491548807
46,0.3885140612653669
47,0.38923714093212763
48,0.3899865686973654
49,0.39052518007602766
50,0.41417807294418396
51,0.4145221044318943
52,0.4149055027067556
53,0.4160110985163578
54,0.4163193180772954
55,0.416996937662894
56,0.41758043771182796
57,0.4180357547619846
58,0.4182677581164141
59,0.4189817215412272
60,0.41925491914436497
61,0.4200325488019363
62,0.42107498132569304
63,0.4216146617956987
64,0.4218230503442974
65,0.4222289574684273
66,0.4229047179937096
67,0.4231063812731188
68,0.42322189580280023
69,0.4236041933875592
70,0.42499837276266195
71,0.4253554334719658
72,0.4682080271799254
73,0.46888937015261634
74,0.4697046444649776
75,0.47163203183096775
76,0.4729284341130612
77,0.47345657313637235
78,0.47382152826894564
79,0.4767813287188859
80,0.4777005366157855
81,0.4822960073226228
82,0.4844304613557969
83,0.4847616558476972
84,0.48642778467496045
85,0.4876842145270237
86,0.4880042046256579
87,0.48828820900434533
88,0.48892456061079814
89,0.48942539567317495
90,0.48998347188733016
91,0.49184550248696
92,0.5121476208278644
93,0.5124511479731028
94,0.5137572826729426
95,0.5144868769505001
96,0.5632769195906686
97,0.5636983206395876
98,0.5642482443739422
99,0.5646628622226135
100,0.6906314831725003
101,0.6910033794991157
102,0.6934509561673194
103,0.6965430211223971
104,0.6982041046811532
105,0.6987064643836478
106,0.6990126458246353
107,0.6996582664003704
108,0.7025548087681885
109,0.7037860438764751
110,0.7471778809382753
111,0.7474623382325072
112,0.7481979889388571
113,0.7521394074677882
114,0.7525356374719997
115,0.7530936136234183
116,0.7535405359366227
117,0.7540139222104202
118,0.7543767654926059
119,0.755141502856539
120,0.756006129163869
121,0.7565976368649585
122,0.7570085260600777
123,0.7580731198467551
124,0.7585562622373682
125,0.7590910448997417
126,0.7596432595441177
127,0.7600016684671353
128,0.7604120731479511
129,0.7606401319239757
130,0.7618568948006783
131,0.7634690397815616
132,0.7637652202153518
133,0.7640299335517202
134,0.764568471199945
135,0.7753979346585089
136,0.7758592765386991
137,0.7770292495531352
138,0.7774182250089454
139,0.7892434285585062
140,0.7899783419604813
141,0.7965529903991739
142,0.7967038744730033
143,0.7971644158513009
144,0.797372909729096
145,0.7979287950959664
146,0.7982474949119448
147,0.7984269547967549
148,0.7987499678433254
149,0.8037256348174537
150,0.8043174216409137
151,0.8048952892110707
152,0.8053480151629961
153,0.8057828878161335
154,0.8068185950707008
155,0.8071058225227977
156,0.8076924297830252
157,0.8082769752242334
158,0.8124140848671383
159,0.831704493894258
160,0.8321885552821097
161,0.8326892665826807
162,0.833421407193561
163,0.8340014234793243
164,0.8341939494509466
165,0.8346804281438555
166,0.840808933705397
167,0.8476454094604771
168,0.8480058249046859
169,0.8524123034344397
170,0.8526884765873756
171,0.8531309856072512
172,0.8539269478114543
173,0.8544776246495631
174,0.8547886407006648
175,0.8559592588564288
176,0.8566162655182937
177,0.8569914691816758
178,0.8578588445810316
179,0.8584086103215915
180,0.8588574812249291
181,0.8594028284057005
182,0.8827913028592381
183,0.8832771285111293
184,0.884808488631611
185,0.8899268029364109
186,0.8906750299488099
187,0.8910413438280166
188,0.8915429425270672
189,0.891853374001129
190,0.8922416595507028
191,0.9070694825017664
192,0.9075545023853052
193,0.9080313434567443
194,0.9086429848337239
195,0.9090384433015718
196,0.9944392714716009
197,0.9977949859381636
198,0.9986178492191249
199,0.9993173193465147
200,0.9999999999999998
