n,value
1,0.0
2,0.006086956521739406
3,0.008695652173913992
4,0.010434782608696347
5,0.016304347826087584
6,0.023260869565218223
7,0.02500000000000069
8,0.02830434782608815
9,0.035881987577641494
10,0.05686024844720705
11,0.057729813664598284
12,0.0785993788819892
13,0.08356832298136885
14,0.08617701863354255
15,0.08704658385093478
16,0.08965527950310836
17,0.09139440993789083
18,0.09243788819876042
19,0.09330745341615154
20,0.09852484472049972
21,0.10635093167702059
22,0.10776397515528102
23,0.11124223602484584
24,0.11211180124223696
25,0.11703933747412054
26,0.1387784679089037
27,0.14561076604554968
28,0.22126293995859253
29,0.22734989648033194
30,0.24039337474120198
31,0.2516977225672887
32,0.25430641821946226
33,0.260269151138717
34,0.2620082815734995
35,0.2628778467908907
36,0.26722567287784676
37,0.2689648033126291
38,0.2863561076604552
39,0.294182194616977
40,0.29679089026915156
41,0.30287784679089097
42,0.32157349896480397
43,0.3227691511387171
44,0.3315890269151139
45,0.3476759834368532
46,0.351154244306418
47,0.36419772256728805
48,0.3737629399585924
49,0.5998498964803336
50,0.6045703933747428
51,0.6089182194616999
52,0.6123964803312657
53,0.6141356107660482
54,0.6193530020703955
55,0.6237008281573525
56,0.6263095238095261
57,0.7297877846790897
58,0.7306573498964808
59,0.731526915113872
60,0.7323964803312633
61,0.7376138716356115
62,0.7459057971014501
63,0.7496739130434786
64,0.7931521739130438
65,0.7957608695652184
66,0.7966304347826096
67,0.7975000000000009
68,0.8392391304347837
69,0.8588043478260878
70,0.9092391304347838
71,0.9205434782608705
72,0.9222826086956529
73,0.9320652173913054
74,0.9338043478260889
75,0.9593478260869578
76,0.9663043478260884
77,0.9680434782608708
78,0.970478260869566
79,0.9774347826086967
80,0.9867826086956526
81,0.9920000000000008
82,0.9982608695652176
83,1.0
