n,value
1,0.0
2,0.000919844044573459
3,0.0045992202228687384
4,0.0064389083120158785
5,0.02557166443914749
6,0.02833119657286809
7,0.0338502608403104
8,0.03844948106317814
9,0.041209013196898736
10,0.04918099491653716
11,0.05819546655335872
12,0.13331606352687447
13,0.13423590757144804
14,0.13587118587291175
15,0.13679102991748532
16,0.13863071800663346
17,0.18738245236903572
18,0.19145604742357558
19,0.1997346438247385
20,0.2144521485379174
21,0.21721168067163898
22,0.2227307449390803
23,0.23169922437367385
24,0.23261906841824742
25,0.23813813268568973
26,0.24089766481941044
27,0.24273735290855758
28,0.24602251021060617
29,0.2520014965003343
30,0.25936024885692377
31,0.2611999369460709
32,0.270704992073332
33,0.27691393937420394
34,0.278753627463351
35,0.2833528476862187
36,0.28795206790908745
37,0.288871911953661
38,0.2914474752784678
39,0.2948202367752375
40,0.3040186772209741
41,0.3159766498004313
42,0.3564497877616715
43,0.36131182056870376
44,0.3706635683552026
45,0.5841969102447315
46,0.5970747268687622
47,0.6056599379514497
48,0.6093393141297448
49,0.6173550979467433
50,0.6182749419913168
51,0.6470967220546244
52,0.648016566099198
53,0.650980508020602
54,0.6574194163326179
55,0.675816297224092
56,0.6794956734023873
57,0.6804155174469608
58,0.6862411963959276
59,0.7165960498668578
60,0.7414318390703467
61,0.7517340923695718
62,0.7577130786593008
63,0.7586329227038744
64,0.7648878622069754
65,0.7658077062515499
66,0.7878839633213172
67,0.7899076202193792
68,0.7917473083085274
69,0.8052690157637598
70,0.8126277681203492
71,0.8183308011967064
72,0.8215502553527139
73,0.8243097874864346
74,0.8252296315310081
75,0.8325883838875976
76,0.8552778703204149
77,0.8561977143649885
78,0.8773541273901821
79,0.9678054584399238
80,0.9687253024844973
81,0.9871221833759704
82,0.9926412476434117
83,0.998160311910853
84,1.0
