n,value
1,0.0
2,0.010102418512470956
3,0.010712390900950775
4,0.0437525619436131
5,0.047388161989193156
6,0.04980263602692647
7,0.062117752634636925
8,0.06619486507331995
9,0.0674148098502797
10,0.07180661104733554
11,0.07670545179231514
12,0.08179095450695262
13,0.08301089928391225
14,0.13912835902406523
15,0.15084251008019162
16,0.34018920579037254
17,0.372647130462213
18,0.37412287011176115
19,0.40007596774296694
20,0.4012959125199267
21,0.4053870404588229
22,0.40660698523578254
23,0.4128897008371255
24,0.4350734334918428
25,0.4387586833389088
26,0.4519080261902578
27,0.45395753341555034
28,0.45655222656806127
29,0.4571621989565412
30,0.4706524874166731
31,0.47763449279195247
32,0.47945244971448087
33,0.48155962705650235
34,0.48546674749081953
35,0.49367741153432276
36,0.49592349212737075
37,0.4982951287224987
38,0.49890510111097863
39,0.530959932141482
40,0.5318705850367539
41,0.5339716010415183
42,0.5394137165989271
43,0.5538641883977161
44,0.5581071773655127
45,0.5642760145458886
46,0.5704774004954345
47,0.576481848557245
48,0.5770918209457249
49,0.5796832793961758
50,0.5842770024873486
51,0.602869977508864
52,0.6280294863907809
53,0.6297374090785244
54,0.6327872710209237
55,0.6363495097696467
56,0.6462039525790891
57,0.6493362432226345
58,0.6499462156111143
59,0.6520472316158781
60,0.6677031895868631
61,0.6721841405945426
62,0.6820598840270747
63,0.689307791231366
64,0.7028695106685697
65,0.7049582648014898
66,0.7146581054406744
67,0.7199191172913136
68,0.7266288135645927
69,0.7742066598660271
70,0.7760870258756267
71,0.7864787372939119
72,0.7926205282399857
73,0.7991908022530412
74,0.8010207194184807
75,0.8110939777196632
76,0.8328924646553403
77,0.8345529450462024
78,0.8363828622116419
79,0.8369928346001219
80,0.8505220221766062
81,0.8531973396699396
82,0.8849898399179843
83,0.8855998123064648
84,0.8933261292272103
85,0.9783156153554126
86,0.9813654772978125
87,0.9836823022470389
88,0.9879521089663986
89,0.9952717776281576
90,0.9958817500166381
91,0.9972602073550775
92,1.0
